𠻺	aː⁶
䀨	fuːn³
䝔	fuːn¹
㯘	fuːn²
䥗	fuːn²
䲌	fuːn²
䕀	fuːn²
䕀	haːt⁹
㩲	fuːn¹
㩲	kʰyːn⁴
䢵	fuːn²
䢵	waːn⁴
䢵	waːt⁹
㖹	fuː²
㖹	pʰaːn³
㖹	pʰuːn⁴
䯽	fuː¹
䯽	pʰaːu⁴
䦢	fuːt⁸
䱐	fuː¹
䱐	tʰou¹
䭍	fuː⁴
䭍	wuː⁴
gag	kɛːk⁷
𡄟	haː¹
䪗	haː⁴
䫗	haː⁴
hae	hɛː³
hae吓	hɛː³haː⁵
㰺	haː⁴
㰺	haː⁶
㰺	kʰwaːi⁴
𩋘	haːi⁴
𩋧	haːi⁴
㒠	haːi⁶
㳦	haːi⁶
䪥	haːi⁶
䫔	haːi⁶
㜾	haːi⁴
㨙	haːi⁴
䀘	haːi⁴
䒊	haːi⁴
䜁	haːi⁵
䠹	haːi⁴
䱺	haːi⁴
㜎	haːi⁴
㜎	haːi⁶
䂉	haːi⁶
䂉	haːu⁴
㑶	haːi⁴
㑶	hei³
䫣	haːi⁴
䫣	kʰaːi³
䫣	kʰiːt⁸
㦑	haːm¹
䐄	haːm⁶
䧟	haːm⁶
䱤	haːm⁶
䶟	haːm⁶
㖤	haːm⁴
㘅	haːm⁴
㛾	haːm⁴
㤷	haːm⁴
㮀	haːm⁴
䎏	haːm⁴
䕔	haːm⁴
䲗	haːm⁴
䦦	haːm²
䦦	haːm⁴
䦦	kʰaːm⁴
䦦	sɪk⁷
䡩	haːm¹
䡩	haːŋ¹
㖃	haːm¹
㖃	haːu³
㖃	haːu⁶
䭠	haːm²
䭠	hiːm³
㼨	haːm⁶
㼨	hɐm⁴
䚉	haːm¹
䚉	kʰaːi³
㘛	haːm¹
㘛	liːm⁵
㨔	haːm⁶
㨔	ŋaːn⁴
䫲	haːm²
䫲	tsiːm²
䎦	haːm²
䎦	tsiːm²
䎦	tsiːm⁵
㡾	haːn⁶
䁂	haːn⁶
䦘	haːn⁶
㯗	haːn⁴
㸧	haːn²
㓑	haːŋ⁶
䁄	haːŋ⁶
䂔	haːŋ⁶
䪫	haːŋ¹
䰢	haːŋ³
㣜	haːŋ⁴
㦿	haːŋ⁶
㦿	hiːm¹
㦿	wuː⁶
㘡	haːp⁹
㭘	haːp⁹
㭱	haːp⁹
䂒	haːp⁷
䖖	haːp⁹
䨐	haːp⁷
䶝	haːp⁷
䕣	haːp⁹
䕣	hɔːt⁸
㰭	haːp⁹
㰭	hɵy¹
㡊	haːp⁷
㡊	hɐp⁹
䐦	haːp⁹
䐦	hɐu²
䐦	hɔːt⁸
䐦	liːm⁵
㽠	haːp⁷
㽠	kʰiːt⁸
䱑	haːp⁹
䱑	siːt⁸
㮫	haːt⁹
㮫	hɔːt⁸
㵿	haːt⁹
㵿	hɐu⁶
㡚	haːt⁹
㡚	ŋaːu¹
㤊	haːu⁶
㸸	haːu³
㺒	haːu¹
䂪	haːu¹
㚽	haːu²
䯪	haːu²
䲾	haːu²
䳧	haːu⁴
䳎	haːu⁶
䳎	hiːn¹
䳎	kʰaːu³
䳎	kʰaːu⁵
𠾍	hɛː³
𠺬	hɛː²
hea	hɛː³
hea吓	hɛː³haː⁵
𠺪	hɛː³
𠺪	hiː¹
𥋟	hei¹
㗭	hei¹
㚀	hei¹
㜯	hei¹
㠌	hei¹
㠻	hei¹
㣟	hei³
㥡	hei³
㫓	hei³
㰕	hei¹
㰨	hei¹
㰿	hei¹
㱆	hei¹
㷩	hei¹
㸍	hei³
㹷	hei¹
䂀	hei¹
䅤	hei³
䊠	hei³
䖷	hei¹
䛥	hei¹
䤈	hei¹
䨳	hei¹
䫏	hei¹
䬣	hei³
䮎	hei¹
䲪	hei³
䄎	hei²
䄫	hei²
䔇	hei²
㺧	hei³
㺧	hiːu¹
㺧	hɔː²
䁈	hei²
䁈	kʰaːi³
䁉	hei²
䁉	kʰaːi³
䳢	hei¹
䳢	kʰei⁴
㝃	hei¹
㝃	miːn⁵
㩘	hei¹
㩘	ŋaːi⁵
㩬	hei¹
㩬	ŋaːt⁹
㶧	hei¹
㶧	nyːn⁶
㺣	hei¹
㺣	sɪk⁷
㱇	hei¹
㱇	sɐm¹
㱇	sɪk⁷
㱇	tsiːp⁸
䫑	hei¹
䫑	tsiː¹
㰻	hei¹
㰻	tsiː⁵
䎟	hei³
䎟	tsiː⁴
䎲	hei²
䎲	tsiːp⁸
䂆	hɛːk⁸
𡚦	hɐi¹
㖑	hɐi⁶
㙰	hɐi⁶
㰡	hɐi⁶
㾏	hɐi⁶
high	haːi¹
㞓	hɐi¹
㞓	hei³
㰧	hɐi⁶
㰧	hɔːi¹
㩻	hɐi²
㩻	kʰei¹
㪠	hiːm³
䊴	hiːm³
䈴	hiːm³
䈴	hiːp⁸
㕃	hiːm³
㕃	kʰaːi¹
㕃	liːm⁴
㕃	tsɐp⁸
㰸	hiːm³
㰸	lɛːŋ⁵
㰸	liːm⁵
㢘	hiːm³
㢘	liːm⁴
䫡	hiːm³
䫡	ŋɐm⁴
㗔	hiːn¹
㧛	hiːn¹
㷿	hiːn¹
㸝	hiːn¹
䇂	hiːn¹
䙭	hiːn¹
䞿	hiːn¹
䡓	hiːn¹
䧮	hiːn³
㫫	hiːn²
㬎	hiːn²
㹂	hiːn²
䗾	hiːn²
䥪	hiːn²
䧋	hiːn²
䪈	hiːn²
䭤	hiːn²
䲒	hɐi⁵
䲒	ŋɐi⁴
䯐	hɐi⁴
䯐	ŋɔːi⁴
䘆	hiːn²
䘆	hyːn²
䛈	hiːn¹
䛈	saːi⁶
㰽	hiːn²
㰽	tsiːn¹
㰽	tsiːn²
䊙	hiːn²
䊙	tsiːn⁴
䊙	tsiːn⁶
䯈	hiːn²
䯈	tsyːn⁴
㙝	hiːp⁸
㹤	hiːp⁸
㾀	hiːp⁸
䏮	hiːp⁸
䟐	hiːp⁸
䟐	lɪk⁹
㢵	hiːp⁸
㢵	siːp⁸
䁋	hiːp⁸
䁋	siːp⁸
䁋	siːt⁸
㕺	hiːu¹
㚠	hiːu¹
䢪	hiːu¹
䥵	hiːu²
㢗	hiːu¹
㢗	hou⁴
䤿	hiːu³
䤿	kʰiːt⁸
䃝	hiːu³
䃝	kʰiːu³
㠉	hiːu¹
㠉	tʰʊŋ⁴
㦦	hɐk⁷
㪶	hʊk⁹
㲄	hʊk⁷
㺉	hʊk⁹
䈸	hʊk⁹
䓇	hɐk⁷
䚂	hɐk⁷
䧼	hʊk⁹
㮣	hʊk⁷
㮣	kʰœːk⁸
㮣	kʰɔːi³
㴶	hʊk⁹
㴶	kʰɔːk⁸
㷤	hʊk⁹
㷤	kʰɔːk⁸
㿥	hʊk⁹
㿥	lɔːk⁹
㕰	hʊk⁹
㕰	maː³
㵺	hɐk⁷
㵺	pʰɐi⁴
𥔿	hɐm²
㘎	hɐm³
㺖	hɐm³
㽍	hɐm¹
䀍	hɐm³
㙳	hɐm²
㟏	hɐm⁴
㟔	hɐm⁴
㮭	hɐm⁴
㶰	hɐm⁴
䈄	hɐm⁴
䤴	hɐm⁴
䥁	hɐm⁴
䨡	hɐm⁴
䶃	hɐm⁴
㔋	hɐm³
㔋	hɐm⁵
㔋	lɐm⁶
䕿	hɐm³
䕿	hɔːn³
䕿	sœːŋ²
㘕	hɐm³
㘕	lɐm⁴
㺝	hɐm⁵
㺝	lɐm⁶
㯊	hɐn⁴
𢙢	hʊŋ²
㷫	hɪŋ³
㕳	hʊŋ¹
㗢	hʊŋ¹
㧶	hɐŋ¹
㭢	hɪŋ¹
㰢	hɐŋ¹
㲁	hʊŋ¹
㶹	hʊŋ⁶
㸜	hʊŋ¹
㼬	hɐŋ⁶
䃘	hɐŋ¹
䅝	hʊŋ¹
䅽	hɪŋ¹
䋜	hɪŋ³
䓷	hɐŋ⁶
䛭	hɐŋ⁶
㔰	hɐŋ⁴
㖓	hʊŋ⁴
䃔	hʊŋ⁴
䞑	hʊŋ⁴
䧆	hʊŋ⁴
䧺	hʊŋ⁴
䪦	hʊŋ⁴
䯒	hɐŋ⁴
䲨	hʊŋ⁴
䆪	hʊŋ¹
䆪	hʊŋ³
䂫	hɐŋ¹
䂫	hʊŋ⁴
㒷	hɪŋ²
㒷	hɪŋ³
㷫	hɪŋ³
㷫	kʰaːi²
䋯	hɪŋ³
䋯	kʰaːi²
㓙	hʊŋ¹
㓙	kʰʊŋ⁴
㕡	hɐŋ¹
㕡	kʰɔːk⁸
㒑	hʊŋ²
㒑	kʰuːi²
㒑	wɐk⁹
䫹	hʊŋ⁴
䫹	kʰyːn⁴
䆭	hɐn⁶
䆭	hiːn¹
䦥	hɐn⁴
䦥	kʰaː¹
䦥	kʰaː²
䦥	kʰɔːk⁸
㪃	hɔː¹
㵑	hɔː⁶
䏜	hɔː¹
㞹	hɔː²
㪼	hɔː²
㿝	hœːŋ¹
䬕	hœːŋ¹
䊑	hœːŋ²
㗽	hœːŋ¹
㗽	hœːŋ²
𠀅	hɔːi⁶
㚊	hɔːi¹
㝩	hɔːi¹
㤥	hɔːi⁶
㧡	hɔːi⁶
㰩	hɔːi¹
㱼	hɔːi¹
㾂	hɔːi¹
䁗	hɔːi²
䇋	hɔːi⁶
䇋	waːi⁶
𤌍	hɔːk⁸
㙾	hɔːk⁹
㰒	hɔːk⁹
㶅	hɔːk⁹
䮤	hɔːk⁹
䳽	hɔːk⁹
䘔	hɔː²
䘔	kʰaː¹
㿱	hɔːk⁹
㿱	hɔːn³
㒈	hɔːn⁶
㢨	hɔːn⁶
㪋	hɔːn⁶
㲦	hɔːn⁶
㙔	hɔːn⁴
䍐	hɔːn²
䗙	hɔːn⁴
䛞	hɔːn⁵
𠵉	hɔːŋ⁴
㑌	hɔːŋ¹
㳝	hɔːŋ¹
㼹	hɔːŋ¹
㾤	hɔːŋ¹
䢽	hɔːŋ⁶
䉺	hɔːŋ²
䀪	hɔːŋ⁴
䉺	hɔːŋ²
䒰	hɔːŋ⁴
䖱	hɔːŋ⁴
䘕	hɔːŋ⁴
䜶	hɔːŋ⁴
䯑	hɔːŋ⁴
䲳	hɔːŋ⁴
𣚺	hɔːŋ²
𣚺	hɔːŋ⁶
㤚	hɔːŋ²
㤚	hɔːŋ⁴
㟟	hɔːŋ²
㟟	hɔːŋ⁶
㟟	hɔːt⁸
䆲	hɔːŋ¹
䆲	kʰwaːŋ¹
䣈	hɔːŋ⁶
䣈	lʊŋ⁶
䗧	hɔːŋ¹
䗧	wɔːŋ¹
𫘣	hɔːn⁵
𫘣	hɔːn⁶
㸁	hɔːn²
㸁	hɔːn³
䍑	hɔːn²
䍑	hɔːn³
䮧	hɔːn⁴
䮧	hɔːn⁶
䏷	hɔːn⁶
䏷	hɔːŋ²
䎯	hɔːn²
䎯	hɔːn³
䎯	tsiːn⁵
䳚	hɔːn²
䳚	hɔːt⁸
䁔	hɔːn⁶
䁔	hyːn¹
䁔	wuːn⁶
䠭	hɔːn⁵
䠭	lɐi⁶
䠭	lɐn⁵
䠭	maːn⁴
㟧	hɔːn⁶
㟧	ŋɔːk⁹
㟧	tsiːm⁴
㵄	hɔːn³
㵄	wɪk⁹
㱒	hɔː¹
㱒	sœːŋ⁵
𦤦	hɔːt⁸
㓭	hɔːt⁸
㪡	hɔːt⁸
㬞	hɔːt⁸
㿣	hɔːt⁸
䫘	hɔːt⁸
䶎	hɔːt⁸
㷎	hɔːt⁸
㷎	kʰiːt⁸
㵣	hɔːt⁸
㵣	sɐp⁸
䄬	hɔː¹
䄬	tsyː⁴
𧐢	hou⁴
㙱	hou⁶
㚪	hou³
㝀	hou³
㞻	hou⁶
㬶	hou⁶
㵆	hou⁶
䐧	hou³
䒵	hou³
䚽	hou³
䝞	hou⁶
䧚	hou⁶
䪽	hou⁶
䯫	hou⁶
㠙	hou⁴
㩝	hou⁴
㬔	hou⁴
䝥	hou⁴
䧫	hou⁴
㘪	hou³
㘪	kʰaːu³
㗾	hɵy¹
㧁	hɵy³
㫢	hɵy³
㰦	hɵy³
㽳	hɵy¹
䏏	hɵy¹
䖉	hɵy¹
㞰	hɵy²
䔓	hɵy²
䣴	hɵy²
㥦	hiːp⁸
㥦	hɵy³
㥦	tʰiːu⁴
䅨	hœːŋ¹
䅨	hɵy²
䊸	hɵy¹
䊸	tsyː¹
㛍	hɐp⁹
㥺	hɐp⁹
㪉	hɐp⁹
䁍	hɐp⁷
䢔	hɐp⁹
䶗	hɐp⁸
㤲	hɐp⁹
㤲	hiːp⁸
㰰	hɐp⁹
㰰	hɔːt⁸
㰼	hɐp⁹
㰼	hɐu³
㰼	liːu⁴
㰼	liːu⁶
㰼	sɐp⁸
䁯	hɐp⁷
䁯	kʰaːp⁷
㔠	hɐt⁹
㮝	hɐt⁹
䎢	hɐt⁷
𥅠	hɐu¹
䞀	hɐu⁶
䞧	hɐu⁶
䯌	hɐu¹
㗋	hɐu⁴
㤧	hɐu⁴
㫗	hɐu⁵
㬋	hɐu⁴
㮢	hɐu⁴
䗔	hɐu⁴
䙈	hɐu⁴
䫛	hɐu⁴
㹲	hɐu¹
㹲	hɐu³
㪣	hɐu¹
㪣	kʰiːu³
䯨	hɐu¹
䯨	kʰɔːk⁸
㫴	hɐu¹
㫴	ŋɐu⁴
㺅	hɐu⁴
㺅	ŋɐu⁴
䠮	hɐu²
䠮	tʰaːŋ⁴
㡑	hɐu¹
㡑	tsiːu²
㒽	hyːn¹
㦥	hyːn¹
㻹	hyːn¹
䄐	hyːn³
䊎	hyːn³
䌯	hyːn¹
䳦	hyːn¹
䳦	kʰwaːn²
㬉	hyːn¹
㬉	nyːn⁵
㞽	hyːt⁸
䒸	hyːt⁸
䩧	hyːt⁸
䫼	hyːt⁸
䟒	hyːt⁸
䟒	kʰyːn⁴
䳳	hyːt⁸
䳳	sɵt⁷
䅬	ɐi³
IP	ɐi¹piː¹
jacket	tsɛːk⁷kʰɛːk⁹
𨅝	jaːŋ³
𨆪	jaːŋ³
𣚕	jaːp⁸
𠰋	jaːu¹
㭨	jɛː⁴
𠲖	jiː¹
𡄵	jiː¹
𪘲	jiː¹
𫍙	jiː⁴
㞔	jiː⁴
𠯋	jɐi⁴
𠯋	jɐi⁵
𥀬	jiːm²
𥂁	jiːm⁴
㤿	jiːm¹
𦝡	jiːm¹
𦝡	jiːm²
䀋	jiːm⁴
䀋	nɐm⁴
䀋	tsiːm⁴
𪾢	jiːn⁵
𤍠	jiːt⁹
𨍳	jiːu⁴
𡄯	jɪk⁷
𡒃	jʊk⁷
益	jɪk⁷
𩬎	jɐm¹
𣏴	jɐn⁴
𠆌	jʊŋ⁴
𧗴	jʊŋ⁵
㐯	jʊŋ⁴
𠀉	jɐu¹
𤍕	jɐu⁴
㐀	jɐu¹
𩦢	jyː⁴
𫐄	jyːt⁹
䮑	jyːt⁸
𡃉	kaː³
𠿪	kaː²
㰤	kʰaː³
㗎	kaː³
㚙	kaː¹
㧝	kaː¹
䂟	kaː¹
䈔	kaː¹
䕒	kaː¹
䴥	kaː¹
䑝	kaː²
㗇	haː⁴
㗇	kaː⁵
䉯	haːŋ¹
䉯	kaː³
䉯	tsiːm³
䉯	tsiːn⁶
𠝹	kaːi³
㓞	kʰaːi³
㞚	kʰaːi³
㑘	kaːi³
㝏	kaːi³
㠹	kaːi³
㾬	kaːi¹
㿍	kaːi³
䃈	kaːi¹
䇒	kaːi³
䕸	kaːi¹
䛺	kaːi³
䯰	kaːi³
䰺	kaːi³
䱄	kaːi³
䲸	kaːi³
㿽	haːi⁴
㿽	kaːi¹
䳶	haːi⁴
䳶	kaːi¹
𢬿	kʰaːi²
