#name Islandic
#lang lsl
abbadísin	apatiːsɪn
aðalstöðvunum	aːðalstœðvɔnʏm
aðalsættum	aːðalsaihtʏm
aðalveginn	aːðalveiːjɪn
aðalverktaka	aːðalvɛr̥ktaka
aðalverktakar	aːðalvɛr̥ktakar
aðalverktakar	aːðalvɛr̥takar
aðalverktökum	aːðalvɛr̥ktœkʏm
Aðalvík	aːðalviːk
aðbúnað	aðpunað
aðbúnaði	aðpunaðɪ
aðbúnaður	aðpunaðʏr
aðdáandi	aðtauantɪ
aðdáenda	aðtauɛnta
aðdáendum	aðtauɛntʏm
aðdáendur	aðtauɛntʏr
aðdáun	aðtauʏn
aðdáunar	aðtauʏnar
aðdáunaraugum	aðtauʏnarœyːɣʏm
aðdáunarverð	aðtauʏnarvɛrð
aðdáunarvert	aðtauʏnarvɛr̥t
aðdáunin	aðtauʏnɪn
aðdáunina	aðtauʏnɪna
aðdraganda	aðtraɣanta
aðdragandi	aðtraɣantɪ
aðdráttarafl	aðtrauhtarapl̥
aðdróttanir	aðtrouhtanɪr
aðeins	aːðeins
aðfangadag	aðfauŋkataːɣ
aðfangadagskvöld	aðfauŋkataxskvœlt
aðfangadagur	aðfauŋkataːɣʏr
aðfaranótt	aðfaranouht
aðfarir	aðfarɪr
aðfarirnar	aðfarɪtnar
aðferð	aðfɛrð
aðferða	aðfɛrða
aðferðafræði	aðfɛrðafraiːðɪ
aðferðin	aðfɛrðɪn
aðferðina	aðfɛrðɪna
aðferðinni	aðfɛrðɪnɪ
aðferðir	aðfɛrðɪr
aðferðirnar	aðfɛrðɪtnar
aðferðum	aðfɛrðʏm
aðfinnslur	aðfɪnstlʏr
aðframkomnir	aðframkɔmnɪr
aðföng	aðfœyŋk
aðför	aðfœr
aðgang	aðkauŋk
aðgangi	aðkauŋcɪ
aðgangs	aðkauŋks
aðgangseyri	aðkauŋkseiːrɪ
aðgangseyrir	aðkauŋkseiːrɪr
aðgangstölur	aðkauŋkstœːlʏr
aðgangstölurnar	aðkauŋkstœːlʏtnar
aðgangur	aðkauŋkʏr
aðgát	aðkaut
aðgengi	aðceiɲcɪ
aðgengileg	aðceiɲcɪlɛɣ
aðgengilega	aðceiɲcɪlɛɣa
aðgengilegan	aðceiɲcɪlɛɣan
aðgengilegar	aðceiɲcɪlɛɣar
aðgengilegri	aðceiɲcɪlɛɣrɪ
aðgengilegt	aðceiɲcɪlɛxt
aðgengilegur	aðceiɲcɪlɛɣʏr
aðgerð	aðcɛrð
aðgerða	aðcɛrða
aðgerðalaus	aðcɛrðalœyːs
aðgerðaleysi	aðcɛrðaleiːsɪ
aðgerðanna	aðcɛrðana
aðgerðarleysi	aðcɛrðaleiːsɪ
aðgerðin	aðcɛrðɪn
aðgerðina	aðcɛrðɪna
aðgerðinni	aðcɛrðɪnɪ
aðgerðir	aðcɛrðɪr
aðgerðirnar	aðcɛrðɪtnar
aðgerðum	aðcɛrðʏm
aðgerðunum	aðcɛrðɔnʏm
aðgreina	aðkreina
aðgreiningar	aðkreiniŋkar
aðgæslu	aðcaistlʏ
aðgæta	aðcaita
aðgöngumiða	aðkœyŋkʏmɪːða
aðhafast	aːðhavast
aðhafst	aːðhafst
aðhald	aːðhalt
aðhaldi	aːðhaltɪ
aðhalds	aːðhalts
aðhlynningar	aːðl̥ɪniŋkar
aðhlynningu	aːðl̥ɪniŋkʏ
aðhyllast	aːðhɪtlast
aðhyllist	aːðhɪtlɪst
aðhylltist	aːðhɪl̥tɪst
aðila	aːðɪla
aðilar	aːðɪlar
aðilarnir	aːðɪlatnɪr
aðild	aːðɪlt
aðildar	aːðɪltar
aðildarfélaga	aːðɪltarfjɛːlaɣa
aðildarfélög	aːðɪltarfjɛːlœɣ
aðildarlöndum	aːðɪltarlœntʏm
aðildarríki	aːðɪltaricɪ
aðildarríkin	aːðɪltaricɪn
aðildarríkja	aːðɪltarica
aðildarríkjanna	aːðɪltaricana
aðildarríkjum	aːðɪltaricʏm
aðildarríkjunum	aːðɪltaricɔnʏm
aðildarumsókn	aːðɪltarʏmsouhkn̥
aðildarviðræðum	aːðɪltarvɪðraiðʏm
aðildarviðræður	aːðɪltarvɪðraiðʏr
aðili	aːðɪlɪ
aðilinn	aːðɪlɪn
aðilum	aːðɪlʏm
aðkallandi	aðkatlantɪ
aðkasti	aðkastɪ
aðkoma	aðkɔma
aðkoman	aðkɔman
aðkomu	aðkɔmʏ
aðkomufólk	aðkɔmʏfoul̥k
aðkomufólk	aðkɔmʏfoulk
aðkomumaður	aðkɔmʏmaːðʏr
aðkomumanna	aðkɔmʏmana
aðkomumenn	aðkɔmʏmɛn
aðkomumönnum	aðkɔmʏmœnʏm
aðkomunni	aðkɔmʏnɪ
aðlaðandi	aðlaðantɪ
aðlaga	aðlaɣa
aðlagað	aðlaɣað
aðlagast	aðlaɣast
aðliggjandi	aðlɪcantɪ
aðlögun	aðlœɣʏn
aðlögunartíma	aðlœɣʏnartiːma
aðnjótandi	aðnjoutantɪ
aðra	aðra
aðrar	aðrar
aðrir	aðrɪr
aðsetur	aðsɛtʏr
aðsigi	aðsijɪ
aðskildi	aðscɪltɪ
aðskildir	aðscɪltɪr
aðskildu	aðscɪltʏ
aðskildum	aðscɪltʏm
aðskilið	aðscɪlɪð
aðskilin	aðscɪlɪn
aðskilja	aðscɪlja
aðskilnað	aðscɪlnað
aðskilnaðarsinna	aðscɪlnaðarsɪna
aðskilnaði	aðscɪlnaðɪ
aðskilnaður	aðscɪlnaðʏr
aðskotadýr	aðskɔtatiːr
aðskotahlutur	aðskɔtal̥ʏːtʏr
aðsókn	aðsouhkn̥
aðsóknar	aðsouhknar
aðsóknin	aðsouhknɪn
aðspurð	aðspʏrð
aðspurðra	aðspʏrðra
aðspurður	aðspʏrðʏr
aðstaða	aðstaða
aðstaðan	aðstaðan
aðstandenda	aðstantɛnta
aðstandendum	aðstantɛntʏm
aðstandendur	aðstantɛntʏr
aðsteðjandi	aðstɛðjantɪ
aðstoð	aðstɔð
aðstoða	aðstɔða
aðstoðað	aðstɔðað
aðstoðaði	aðstɔðaðɪ
aðstoðar	aðstɔðar
aðstoðardeildarstjóri	aðstɔðarteiltarstjouːrɪ
aðstoðarforingja	aðstɔðarfɔːriɲca
aðstoðarforstjóri	aðstɔðarfɔr̥stjourɪ
aðstoðarforsætisráðherra	aðstɔðarfɔr̥saitɪsrauːðhɛra
aðstoðarframkvæmdastjóri	aðstɔðarframkvaimtastjouːrɪ
aðstoðarmaður	aðstɔðarmaːðʏr
aðstoðarmaðurinn	aðstɔðarmaːðʏrɪn
aðstoðarmann	aðstɔðarman
aðstoðarmanni	aðstɔðarmanɪ
aðstoðarmanns	aðstɔðarmans
aðstoðarmenn	aðstɔðarmɛn
aðstoðarmönnum	aðstɔðarmœnʏm
aðstoðarráðherrann	aðstɔðarauːðhɛran
aðstoðarskólastjóri	aðstɔðarskouːlastjouːrɪ
aðstoðaryfirlögregluþjónn	aðstɔðarɪːvɪrlœɣrɛklʏθjoutn̥
aðstoðarþjálfari	aðstɔðarθjaulvarɪ
aðstoði	aðstɔðɪ
aðstoðina	aðstɔðɪna
aðstoðuðu	aðstɔðʏðʏ
aðstæðna	aðstaiðna
aðstæðum	aðstaiðʏm
aðstæðunum	aðstaiðɔnʏm
aðstæður	aðstaiðʏr
aðstæðurnar	aðstaiðʏtnar
aðstöðu	aðstœðʏ
aðstöðuna	aðstœðʏna
aðstöðunni	aðstœðʏnɪ
aðvaraði	aðvaraðɪ
aðvart	aðvar̥t
aðventista	aðvɛn̥tɪsta
aðventista	aðvɛntɪsta
aðventistar	aðvɛn̥tɪstar
aðventistar	aðvɛntɪstar
aðventkirkjan	aðvɛn̥tcɪr̥can
aðventkirkjan	aðvɛntcɪr̥can
aðventu	aðvɛn̥tʏ
aðventu	aðvɛntʏ
aðventukvöld	aðvɛn̥tʏkvœlt
aðventukvöld	aðvɛntʏkvœlt
aðventunni	aðvɛn̥tʏnɪ
aðventunni	aðvɛntʏnɪ
aðvífandi	aðvivantɪ
aðvörun	aðvœrʏn
af	aːv
afa	aːva
afar	aːvar
afber	avpɛr
afbera	avpɛra
afborgana	avpɔrkana
afborganir	avpɔrkanɪr
afborgun	avpɔrkʏn
afborgunum	avpɔrkʏnʏm
afborið	avpɔrɪð
afbragð	avpraɣð
afbragðs	avpraɣðs
afbrigði	avprɪɣðɪ
afbrigðilegt	avprɪɣðɪlɛxt
afbrigðum	avprɪɣðʏm
afbrot	avprɔt
afbrota	avprɔta
afbrotamenn	avprɔtamɛn
afbrotum	avprɔtʏm
afbrýði	avpriðɪ
afbrýðin	avpriðɪn
afbrýðisemi	avpriðɪsɛːmɪ
afbrýðisemin	avpriðɪsɛːmɪn
afbrýðisöm	avpriðɪsœːm
afburða	avpʏrða
afdráttarlaus	avtrauhtarlœyːs
afdráttarlaust	avtrauhtarlœyst
afdrep	avtrɛp
afdrepið	avtrɛpɪð
afdrepinu	avtrɛpɪnʏ
afdrif	avtrɪv
afdrifarík	avtrɪvariːk
afdrifaríkar	avtrɪvariːkar
afdrifum	avtrɪvʏm
afferma	afɛrma
afföll	afœtl̥
afföllin	afœtlɪn
Afgana	avkana
Afganar	avkanar
afgang	avkauŋk
afgangi	avkauɲcɪ
afganginn	avkauɲcɪn
afganginum	avkauɲcɪnʏm
afgangur	avkauŋkʏr
afgangurinn	avkauŋkʏrɪn
Afganistan	avkanɪstan
Afganistans	avkanɪstans
afganska	avkanska
afganskra	avkanskra
afgerandi	avcɛrantɪ
afgirt	avcɪr̥t
afglöp	avklœp
afgreidd	avkreit
afgreiddar	avkreitar
afgreiddi	avkreitɪ
afgreiða	avkreiða
afgreiði	avkreiðɪ
afgreiðsla	avkreiðstla
afgreiðslu	avkreiðstlʏ
afgreiðsluborð	avkreiðstlʏpɔrð
afgreiðslugjöld	avkreiðstlʏcœlt
afgreiðslukonan	avkreiðstlʏkɔːnan
afgreiðsluna	avkreiðstlʏna
afgreiðslunni	avkreiðstlʏnɪ
afgreiðslustelpan	avkreiðstlʏstɛl̥pan
afgreiðslustelpan	avkreiðstlʏstɛlpan
afgreiðslustúlka	avkreiðstlʏstulkan
afgreiðslustúlkan	avkreiðstlʏstul̥kan
afgreiðslutíma	avkreiðstlʏtiːma
afgreiðslutími	avkreiðstlʏtiːmɪ
afgreitt	avkreiht
afgönsku	avkœnskʏ
afhenda	aːvhɛnta
afhending	aːvhɛntiŋk
afhendingar	aːvhɛntiŋkar
afhendingu	aːvhɛntiŋkʏ
afhendir	aːvhɛntɪr
afhent	aːvhɛn̥t
afhent	aːvhɛnt
afhenta	aːvhɛn̥ta
afhenta	aːvhɛnta
afhentan	aːvhɛn̥tan
afhentan	aːvhɛntan
afhentar	aːvhɛn̥tar
afhentar	aːvhɛntar
afhenti	aːvhɛn̥tɪ
afhenti	aːvhɛntɪ
afhentir	aːvhɛn̥tɪr
afhentir	aːvhɛntɪr
afhentu	aːvhɛn̥tʏ
afhentu	aːvhɛntʏ
afhentum	aːvhɛn̥tʏm
afhentum	aːvhɛntʏm
afhentur	aːvhɛn̥tʏr
afhentur	aːvhɛntʏr
afhjúpa	afçupa
afhjúpað	afçupað
afhjúpaði	afçupaðɪ
afhjúpaður	afçupaðʏr
afhjúpar	afçupar
afhjúpuð	afçupʏð
afhjúpun	afçupʏn
afhomma	aːfhɔma
afhuga	aːfhʏɣa
afhöggvinn	aːfhœkvɪn
afi	aːvɪ
afkastagetu	avkastacɛːtʏ
afkastamikill	avkastamɪcɪtl̥
afkáralega	avkauralɛɣa
afkáralegum	avkauralɛɣʏm
afkima	avcɪma
afklæddi	avklaitɪ
afklæddist	avklaitɪst
afklæðast	avklaiðast
afkoma	avkɔma
afkoman	avkɔman
afkomandi	avkɔmantɪ
afkomenda	avkɔmɛnta
afkomendum	avkɔmɛntʏm
afkomendur	avkɔmɛntʏr
afkomu	avkɔmʏ
afkomuna	avkɔmʏna
afkomutölur	avkɔmʏtœːlʏr
afkomuviðvörun	avkɔmʏvɪðvœrʏn
afkróuð	avkrouʏð
afkvæmi	avkvaimɪ
afkvæmum	avkvaimʏm
afköst	avkœst
afköstin	avkœstɪn
afköstum	avkœstʏm
afl	apl̥
afla	apla
aflabrögð	aplaprœɣð
aflað	aplað
aflaði	aplaðɪ
aflaga	avlaɣa
Aflagranda	aplakranta
Aflagrandi	aplakrantɪ
aflaheimilda	aplaheimɪlta
aflaheimildir	aplaheimɪltɪr
aflaheimildum	aplaheimɪltʏm
aflahlutdeild	aplal̥ʏːteilt
aflahlutdeilda	aplal̥ʏːteilta
aflahlutdeildar	aplal̥ʏːteiltar
aflahlutdeildir	aplal̥ʏːteiltɪr
aflahlutdeildum	aplal̥ʏːteiltʏm
aflamark	aplamar̥k
aflamarki	aplamar̥cɪ
aflamarks	aplamar̥ks
aflamarkskerfi	aplamar̥kscɛrvɪ
aflamarkskerfið	aplamar̥kscɛrvɪð
aflann	aplan
aflans	aplans
aflanum	aplanʏm
aflar	aplar
aflausn	avlœystn̥
aflaverðmæti	aplavɛrðmaitɪ
afláts	avlauts
afleggjara	avlɛcara
afleggjaranum	avlɛcaranʏm
afleiðing	avleiðiŋk
afleiðinga	avleiðiŋka
afleiðingar	avleiðiŋkar
afleiðingarnar	avleiðiŋkatnar
afleiðingin	avleiðiɲcɪn
afleiðingum	avleiðiŋkʏM
afleiðingunum	avleiðiŋkɔnʏm
afleit	avleit
afleitt	avleiht
aflestrar	avlɛstrar
aflétt	avljɛht
aflétta	avljɛhta
afli	aplɪ
aflið	aplɪð
aflinn	aplɪn
aflíðandi	avliðantɪ
aflmeiri	aplmeirɪ
afloknu	avlɔhknʏ
afloknum	avlɔhknʏm
aflóga	avloua
afls	apl̥s
aflýsa	avlisa
aflýst	avlist
aflögð	avlœɣð
aflögu	avlœɣðʏ
afmarka	avmar̥ka
afmarkað	avmar̥kað
afmarkaða	avmar̥kaða
afmarkast	avmar̥kast
afmá	avmau
afmáir	avmauɪr
afmyndað	avmɪntað
afmyndaðist	avmɪntaðɪst
afmæli	amailɪ
afmælið	amailɪð
afmælinu	amailɪnʏ
afmælis	amailɪs
afmælisbarns	amailɪspar̥s
afmælisdag	amailɪstaːɣ
afmælisdaginn	amailɪstaːjɪn
afmælisdaginn	amailɪstaiːjɪn
afmælisdagurinn	amailɪstaːɣʏrɪn
afmælisdegi	amailɪsteiːjɪ
afmælisfréttir	amailɪsfrjɛhtɪr
afmælisgjöf	amailɪscœːv
afmælisgreina	amailɪskreiːna
afmælishátíð	amailɪshauːtið
afmælisins	amailɪsɪns
afmæliskveðjur	amailɪskvɛðjʏr
afmælistilkynningum	amailɪstɪlcɪniŋkʏm
afmælisveislu	amailɪsveistlʏ
afmælum	amailʏm
afmörkuð	avmœr̥kʏð
afmörkuðu	avmœr̥kʏðʏ
afmörkuðum	avmœr̥kʏðʏm
afmörkun	avmœr̥kʏn
afnám	avnaum
afnámi	avnaumɪ
afneita	avneita
afneitað	avneitað
afneitun	avneitʏn
afnema	avnɛma
afnot	avnɔt
afnota	avnɔta
afnotagjald	avnɔtacalt
afnotagjöld	avnɔtacœlt
afnotarétt	avnɔtarjɛht
afnotum	avnɔtʏm
afnumið	avnʏmɪð
afnumin	avnʏmɪn
afplána	avplauna
afplánun	avplaunʏn
afrakstur	avrakstʏr
afrakstur	avraxstʏr
afraksturinn	avrakstʏrɪn
afraksturinn	avraxstʏrɪn
afráðið	avrauðɪð
afrek	avrɛk
afreka	avrɛka
afrekað	avrɛkað
afreki	avrɛcɪ
afrekum	avrɛkʏm
afréð	avrjɛð
afréðu	avrjɛðʏ
afréðum	avrjɛðʏm
afrit	avrɪt
afrita	avrɪta
afritið	avrɪtɪð
Afríka	aːfrika
Afríku	aːfrikʏ
Afríkumaðurinn	aːfrikʏmaːðʏrɪn
Afríkumann	aːfrikʏman
Afríkumenn	aːfrikʏmɛn
afríska	aːfriska
afrískum	aːfriskʏm
afsagnar	afsaknar
afsaka	afsaka
afsakaðan	afsakaðan
afsakið	afsacɪð
afsal	afsal
afsala	afsala
afsalað	afsalað
afsals	afsals
afsíðis	afsiðɪs
afskaplega	afskaplɛɣa
afskekkt	afscɛxt
afskekkta	afscɛxta
afskekktan	afscɛxtan
afskekktu	afscɛxtʏ
afskekktum	afscɛxtʏm
afskipta	afscɪfta
afskiptalausa	afscɪftalœyːsa
afskiptaleysi	afscɪftaleiːsɪ
afskiptasemi	afscɪftasɛːmɪ
afskipti	afscɪftɪ
afskiptum	afscɪftʏm
afskrifa	afskrɪva
afskrifta	avskrɪfta
afskriftareikning	avskrɪftareihkniŋk
afskriftareikning	avskrɪftareixniŋk
afskriftir	afskrɪftɪr
afskræmt	afskraim̥t
afskræmt	afskraimt
afslappað	afstlahpað
afslappaður	afstlahpaðʏr
afslátt	afstlauht
afsláttur	afstlauhtʏr
afslætti	afstlaihtɪ
afslöppuð	afstlœhpʏð
afsprengi	afspreiɲcɪ
afspurn	afspʏrtn̥
afstaða	afstaða
afstaðan	afstaðan
afstaðið	afstaðɪð
afstaðin	afstaðɪn
afstýra	afstira
afstýrt	afstir̥t
afstæður	afstaiðʏr
afstætt	afstaiht
afstöðu	afstœðʏ
afsögn	afsœkn̥
afsökun	afsœkʏn
afsökunar	afsœkʏnar
afsökunarbeiðni	afsœkʏnarpeiðnɪ
aftan	aftan
aftansöngur	aftansœyŋkʏr
aftar	aftar
aftari	aftarɪ
aftarlega	aftarlɛɣa
aftast	aftast
aftra	aftra
aftraði	aftraðɪ
aftur	aftʏr
afturábak	aftʏraupaːk
afturábak	aftʏraupak
afturdyrnar	aftʏrtɪtnar
Afturelding	aftʏrɛltiŋk
Aftureldingar	aftʏrɛltiŋkar
Aftureldingu	aftʏrɛltiŋkʏ
afturenda	aftʏrɛnta
afturendann	aftʏrɛntan
afturfótunum	aftʏrfouːtɔnʏm
afturfæturna	aftʏrfaiːtʏtna
afturför	aftʏrfœːr
afturgluggann	aftʏrklʏkan
afturgöngu	aftʏrkœyŋkʏ
afturgöngur	aftʏrkœyŋkʏr
afturhvarf	aftʏrkvarv
afturhvarf	aftʏrxvarv
afturí	aftʏriː
afturkalla	aftʏrkatla
afturkvæmt	aftʏrkvaim̥t
afturkvæmt	aftʏrkvaimt
afturlappirnar	aftʏrlahpɪtnar
afturlöppunum	aftʏrlœhpɔnʏm
aftursæti	aftʏrsaiːtɪ
aftursætið	aftʏrsaiːtɪð
aftursætinu	aftʏrsaiːtɪnʏ
aftursætum	aftʏrsaiːtʏm
aftöku	aftœkʏ
aftökur	aftœkʏr
afundin	aːvʏntɪn
afundinn	aːvʏntɪn
afurð	aːvʏrð
afurða	aːvʏrða
afurðanna	aːvʏrðana
afurðaverð	aːvʏrðavɛrð
afurðir	aːvʏrðɪr
afurðirnar	aːvʏrðɪtnar
afurðum	aːvʏrðʏm
afviknum	avɪhknʏm
afviknum	avɪxnʏm
afvopna	avɔhpna
afvopnun	avɔhpnʏn
afþakka	afθahka
afþakkað	afθahkað
afþakkaði	afθahkaðɪ
afþreying	afθreijiŋk
afþreyingar	afθreijiŋkar
afþreyingarefni	afθreijiŋkarɛpnɪ
afþreyingu	afθreijiŋkʏ
aga	aːɣa
agalega	aːɣalɛɣa
agalegt	aːɣalɛxt
agaleysi	aːɣaleiːsɪ
Agatha	aːkata
aggagagg	akakak
Aggý	aci
agi	aːjɪ
agi	aiːjɪ
aginn	aːjɪn
aginn	aiːjɪn
Agli	aklɪ
Agna	akna
Agnar	aknar
Agnari	aknarɪ
agnarlítið	aknarliːtɪð
agnarlítil	aknarliːtɪl
Agnars	aknar̥s
Agnarsdóttir	aknar̥stouhtɪr
agnarsmáu	aknarsmauːʏ
Agnarsson	aknar̥sɔːn
Agnarssonar	aknar̥sɔːnar
agnarögn	aknarœkn̥
agndofa	akntɔva
Agnes	aknɛs
agnið	aknɪð
agnir	aknɪr
agúrkunni	aːkur̥kʏnɪ
aha	aːha
aids	eits
ak	aːk
aka	aːka
akademíunnar	aːkatɛmijʏnar
akandi	aːkantɪ
akfeitur	aːkfeitʏr
aki	aːcɪ
akkeri	ahcɛrɪ
akkur	ahkʏr
akkúrat	ahkurat
Akraborginni	aːkrapɔrcɪnɪ
akrana	aːkrana
Akranes	aːkranɛːs
Akranesapótek	aːkranɛːsaːpoutɛk
Akranesi	aːkranɛːsɪ
Akraneskirkja	aːkranɛscɪr̥ca
Akraneskirkju	aːkranɛscɪr̥cʏ
Akraness	aːkranɛs
akrar	aːkrar
akrein	aːkrein
akreina	aːkreina
akreinar	aːkreinar
akrinum	aːkrɪnʏm
Akrópólis	aːkroupoulɪs
akstri	akstrɪ
akstri	axstrɪ
akstur	akstʏr
akstur	axstʏr
aksturinn	akstʏrɪn
aksturinn	axstʏrɪn
aksturs	akstʏr̥s
aksturs	axstʏr̥s
akstursíþróttir	akstʏr̥siːθrouhtɪr
akstursíþróttir	axstʏr̥siːθrouhtɪr
aktífir	axtivɪr
aktífur	axtivʏr
aktu	axtʏ
akur	aːkʏr
Akureyrar	aːkʏreiːrar
Akureyrarbæ	aːkʏreirarpaiː
Akureyrarbæjar	aːkʏreirarpaiːjar
Akureyrarbær	aːkʏreirarpaiːr
Akureyrarkirkja	aːkʏreirarcɪr̥ca
Akureyrarkirkju	aːkʏreirarcɪr̥cʏ
Akureyri	aːkʏreiːrɪ
Akureyringa	aːkʏreiːriŋka
Akureyringar	aːkʏreiːriŋkar
Akurgerði	aːkʏrcɛrðɪ
al	aːl
ala	aːla
Alaska	aːlaska
alast	aːlast
Albana	alpana
Albanar	alpanar
Albaníu	alpanijʏ
albanska	alpanska
albanskra	alpanskra
Albert	alpɛr̥t
Alberts	alpɛr̥ts
Albertsdóttir	alpɛr̥tstouhtɪr
Albertsdóttir	alpɛr̥stouhtɪr
Albertsson	alpɛr̥tsɔːn
Albertssonar	alper̥tsɔːnar
albesta	alpɛsta
albjart	alpjar̥t
albjört	alpjœr̥t
albúin	alpuɪn
albúinn	alpuɪn
albúm	alpum
albönsku	alpœnskʏ
alda	alta
aldamót	altamouːt
aldamótin	altamouːtɪn
aldamótum	altamouːtʏm
aldamótunum	altamouːtɔnʏm
aldanna	altana
aldar	altar
aldaraðir	altaraðɪr
aldarafmæli	altaramailɪ
aldarfjórðung	altarfjourðuŋk
aldarfjórðungi	altarfjourðuɲcɪ
aldarinnar	altarɪnar
aldeilis	alteilɪs
aldimmt	altɪm̥t
aldimmt	altɪmt
aldir	altɪr
aldirnar	altɪtnar
Aldís	altis
aldna	altna
aldni	altnɪ
aldnir	altnɪr
aldraða	altraða
aldraðir	altraðɪr
aldraðra	altraðra
aldraðri	altraðrɪ
aldraður	altraðʏr
aldrei	altrei
aldri	altrɪ
aldrinum	altrɪnʏm
aldur	altʏr
aldurinn	altʏrɪn
aldurs	altʏr̥s
aldursári	altʏr̥sauːrɪ
aldursflokki	altʏr̥sflɔhcɪ
aldursflokkum	altʏr̥sflɔhkʏm
aldurshóp	altʏr̥shouːp
aldurshópa	altʏr̥shouːpa
aldurshópar	altʏr̥shouːpar
aldurshópi	altʏr̥shouːpɪ
aldurshópnum	altʏr̥shouhpnʏm
aldurshópum	altʏr̥shouːpʏm
aldursmun	altʏr̥smʏːn
aldursmunur	altʏr̥smʏːnʏr
aldurstakmark	altʏr̥staːkmar̥k
aldurtila	altʏrtɪːla
alefli	aːlɛplɪ
alein	aːlein
aleina	aːleina
aleini	aːleinɪ
aleinir	aːleinɪr
aleinn	aːleitn̥
Alexander	aːlɛksantɛr
Alexander	aːlɛxsantɛr
Alexander	aːlɛxsantɛr̥s
Alexanders	aːlɛksanter̥s
Alexanders	aːlɛxsantɛr̥s
Alexanderson	aːlɛxsantɛr̥sɔːn
