abá	aˈba
abemolá	abemoˈla
abemolás	abemoˈlas
abemolés	abemoˈles
aberrá	abeˈra
aberrás	abeˈras
aberrés	abeˈres
abés	aˈbes
abetuná	abet̪uˈna
abetunás	abet̪uˈnas
abetunés	abet̪uˈnes
abigarrá	abigaˈra
abigarrás	abigaˈras
abigarrés	abigaˈres
abismá	abisˈma
abismás	abisˈmas
abismés	abisˈmes
abitá	abiˈt̪a
abitás	abiˈt̪as
abités	abiˈt̪es
abjurá	abxuˈɾa
abjurás	abxuˈɾas
abjurés	abxuˈɾes
ablandá	ablanˈd̪a
ablandás	ablanˈd̪as
ablandecé	abland̪eˈse
ablandecés	abland̪eˈses
ablandés	ablanˈd̪es
ablandezcás	abland̪esˈkas
abobá	aboˈba
abobás	aboˈbas
abobés	aboˈbes
abocá	aboˈka
abocadeá	abokad̪eˈa
abocadeás	abokad̪eˈas
abocadeés	abokad̪eˈes
abocardá	abokaɾˈd̪a
abocardás	abokaɾˈd̪as
abocardés	abokaɾˈd̪es
abocás	aboˈkas
abocetá	aboseˈt̪a
abocetás	aboseˈt̪as
abocetés	aboseˈt̪es
abochorná	aboʧoɾˈna
abochornás	aboʧoɾˈnas
abochornés	aboʧoɾˈnes
abociná	abosiˈna
abocinás	abosiˈnas
abocinés	abosiˈnes
abofeteá	abofet̪eˈa
abofeteás	abofet̪eˈas
abofeteés	abofet̪eˈes
abogá	aboˈga
abogás	aboˈgas
abogués	aboˈges
abolí	aboˈli
abolís	aboˈlis
abollá	aboˈʝa
abollás	aboˈʝas
abollés	aboˈʝes
abolloná	aboʝoˈna
abollonás	aboʝoˈnas
abollonés	aboʝoˈnes
abolsá	abolˈsa
abolsás	abolˈsas
abolsés	abolˈses
abombá	abomˈba
abombás	abomˈbas
abombés	abomˈbes
abominá	abomiˈna
abominás	abomiˈnas
abominés	abomiˈnes
aboná	aboˈna
abonancés	abonanˈses
abonanzá	abonanˈsa
abonanzás	abonanˈsas
abonás	aboˈnas
abonés	aboˈnes
aboqués	aboˈkes
aboquillá	abokiˈʝa
aboquillás	abokiˈʝas
aboquillés	abokiˈʝes
abordá	aboɾˈd̪a
abordás	aboɾˈd̪as
abordés	aboɾˈd̪es
aborrajá	aboraˈxa
aborrajás	aboraˈxas
aborrajés	aboraˈxes
aborrascá	aborasˈka
aborrascás	aborasˈkas
aborrasqués	aborasˈkes
aborrecé	aboreˈse
aborrecés	aboreˈses
aborregá	aboreˈga
aborregás	aboreˈgas
aborregués	aboreˈges
aborrezcás	aboresˈkas
abortá	aboɾˈt̪a
abortás	aboɾˈt̪as
abortés	aboɾˈt̪es
aborujá	aboɾuˈxa
aborujás	aboɾuˈxas
aborujés	aboɾuˈxes
abotagá	abot̪aˈga
abotagás	abot̪aˈgas
abotagués	abot̪aˈges
abotargá	abot̪aɾˈga
abotargás	abot̪aɾˈgas
abotargués	abot̪aɾˈges
abotoná	abot̪oˈna
abotonás	abot̪oˈnas
abotonés	abot̪oˈnes
abovedá	abobeˈd̪a
abovedás	abobeˈd̪as
abovedés	abobeˈd̪es
aboyá	aboˈʝa
aboyás	aboˈʝas
aboyés	aboˈʝes
abozalá	abosaˈla
abozalás	abosaˈlas
abozalés	abosaˈles
abracés	abɾaˈses
abrasá	abɾaˈsa
abrás	aˈbɾas
abrasás	abɾaˈsas
abrasés	abɾaˈses
abrazá	abɾaˈsa
abrazás	abɾaˈsas
abrevá	abɾeˈba
abrevás	abɾeˈbas
abrevés	abɾeˈbes
abreviá	abɾebiˈa
abreviás	abɾebiˈas
abreviés	abɾeˈbjes
abrí	aˈbɾi
abriboná	abɾiboˈna
abribonás	abɾiboˈnas
abribonés	abɾiboˈnes
abrigá	abɾiˈga
abrigás	abɾiˈgas
abrigués	abɾiˈges
abrillantá	abɾiʝanˈt̪a
abrillantás	abɾiʝanˈt̪as
abrillantés	abɾiʝanˈt̪es
abrís	aˈbɾis
abrocá	abɾoˈka
abrocás	abɾoˈkas
abrochá	abɾoˈʧa
abrochás	abɾoˈʧas
abrochés	abɾoˈʧes
abrogá	abɾoˈga
abrogás	abɾoˈgas
abrogués	abɾoˈges
abromá	abɾoˈma
abromás	abɾoˈmas
abromés	abɾoˈmes
abroncá	abɾonˈka
abroncás	abɾonˈkas
abronqués	abɾonˈkes
abroquelá	abɾokeˈla
abroquelás	abɾokeˈlas
abroquelés	abɾokeˈles
abroqués	abɾoˈkes
abrotoñá	abɾot̪oˈɲa
abrotoñás	abɾot̪oˈɲas
abrotoñés	abɾot̪oˈɲes
abrumá	abɾuˈma
abrumás	abɾuˈmas
abrumés	abɾuˈmes
absolvás	absolˈbas
absolvé	absolˈbe
absolvés	absolˈbes
absorbás	absoɾˈbas
absorbé	absoɾˈbe
absorbés	absoɾˈbes
absortá	absoɾˈt̪a
absortás	absoɾˈt̪as
absortés	absoɾˈt̪es
abstené	abst̪eˈne
abstenés	abst̪eˈnes
abstengás	abst̪enˈgas
abstergé	abst̪eɾˈxe
abstergés	abst̪eɾˈxes
absterjás	abst̪eɾˈxas
abstraé	abst̪ɾaˈe
abstraés	abst̪ɾaˈes
abstraigás	abst̪ɾajˈgas
abucheá	abuʧeˈa
abucheás	abuʧeˈas
abucheés	abuʧeˈes
abulloná	abuʝoˈna
abullonás	abuʝoˈnas
abullonés	abuʝoˈnes
abultá	abulˈt̪a
abultás	abulˈt̪as
abultés	abulˈt̪es
abundá	abunˈd̪a
abundás	abunˈd̪as
abundés	abunˈd̪es
abuñolá	abuɲoˈla
abuñolás	abuɲoˈlas
abuñolés	abuɲoˈles
abuñuelá	abuɲweˈla
abuñuelás	abuɲweˈlas
abuñuelés	abuɲweˈles
aburá	abuˈɾa
aburás	abuˈɾas
aburés	abuˈɾes
aburguesá	abuɾgeˈsa
aburguesás	abuɾgeˈsas
aburguesés	abuɾgeˈses
aburrá	abuˈra
aburrás	abuˈras
aburrás	abuˈras
aburrés	abuˈres
aburrí	abuˈri
aburrís	abuˈris
aburujá	abuɾuˈxa
aburujás	abuɾuˈxas
aburujés	abuɾuˈxes
abusá	abuˈsa
abusás	abuˈsas
abusés	abuˈses
acabá	akaˈba
acaballá	akabaˈʝa
acaballás	akabaˈʝas
acaballés	akabaˈʝes
acaballoná	akabaʝoˈna
acaballonás	akabaʝoˈnas
acaballonés	akabaʝoˈnes
acabás	akaˈbas
acabés	akaˈbes
acabildá	akabilˈd̪a
acabildás	akabilˈd̪as
acabildés	akabilˈd̪es
acachetá	akaʧeˈt̪a
acachetás	akaʧeˈt̪as
acacheteá	akaʧet̪eˈa
acacheteás	akaʧet̪eˈas
acacheteés	akaʧet̪eˈes
acachetés	akaʧeˈt̪es
academicés	akad̪emiˈses
academizá	akad̪emiˈsa
academizás	akad̪emiˈsas
acaecé	akaeˈse
acaecés	akaeˈses
acaezcás	akaesˈkas
acalabrotá	akalabɾoˈt̪a
acalabrotás	akalabɾoˈt̪as
acalabrotés	akalabɾoˈt̪es
acalambrá	akalamˈbɾa
acalambrás	akalamˈbɾas
acalambrés	akalamˈbɾes
acalenturá	akalent̪uˈɾa
acalenturás	akalent̪uˈɾas
acalenturés	akalent̪uˈɾes
acallá	akaˈʝa
acallantá	akaʝanˈt̪a
acallantás	akaʝanˈt̪as
acallantés	akaʝanˈt̪es
acallás	akaˈʝas
acallés	akaˈʝes
acalorá	akaloˈɾa
acalorás	akaloˈɾas
acalorés	akaloˈɾes
acamá	akaˈma
acamás	akaˈmas
acamés	akaˈmes
acampá	akamˈpa
acampás	akamˈpas
acampés	akamˈpes
acanalá	akanaˈla
acanalás	akanaˈlas
acanalés	akanaˈles
acanchá	akanˈʧa
acanchás	akanˈʧas
acanchés	akanˈʧes
acaneloná	akaneloˈna
acanelonás	akaneloˈnas
acanelonés	akaneloˈnes
acañoneá	akaɲoneˈa
acañoneás	akaɲoneˈas
acañoneés	akaɲoneˈes
acantilá	akant̪iˈla
acantilás	akant̪iˈlas
acantilés	akant̪iˈles
acantoná	akant̪oˈna
acantonás	akant̪oˈnas
acantonés	akant̪oˈnes
acapará	akapaˈɾa
acaparás	akapaˈɾas
acaparés	akapaˈɾes
acaparrá	akapaˈra
acaparrás	akapaˈras
acaparrés	akapaˈres
acará	akaˈɾa
acaramelá	akaɾameˈla
acaramelás	akaɾameˈlas
acaramelés	akaɾameˈles
acarás	akaˈɾas
acardenalá	akaɾd̪enaˈla
acardenalás	akaɾd̪enaˈlas
acardenalés	akaɾd̪enaˈles
acareá	akaɾeˈa
acareás	akaɾeˈas
acareés	akaɾeˈes
acarés	akaˈɾes
acariciá	akaɾisiˈa
acariciás	akaɾisiˈas
acariciés	akaɾiˈsjes
acarrá	akaˈra
acarralá	akaraˈla
acarralás	akaraˈlas
acarralés	akaraˈles
acarrás	akaˈras
acarreá	akareˈa
acarreás	akareˈas
acarreés	akareˈes
acarrés	akaˈres
acarroñá	akaroˈɲa
acarroñás	akaroˈɲas
acarroñés	akaroˈɲes
acartoná	akaɾt̪oˈna
acartonás	akaɾt̪oˈnas
acartonés	akaɾt̪oˈnes
acatá	akaˈt̪a
acatarrá	akat̪aˈra
acatarrás	akat̪aˈras
acatarrés	akat̪aˈres
acatás	akaˈt̪as
acatés	akaˈt̪es
acaudalá	akawd̪aˈla
acaudalás	akawd̪aˈlas
acaudalés	akawd̪aˈles
acaudillá	akawd̪iˈʝa
acaudillás	akawd̪iˈʝas
acaudillés	akawd̪iˈʝes
accedás	akseˈd̪as
accedé	akseˈd̪e
accedés	akseˈd̪es
accidentá	aksid̪enˈt̪a
accidentás	aksid̪enˈt̪as
accidentés	aksid̪enˈt̪es
accioná	aksjoˈna
accionás	aksjoˈnas
accionés	aksjoˈnes
acecés	aseˈses
acechá	aseˈʧa
acechás	aseˈʧas
acechés	aseˈʧes
aceciná	asesiˈna
acecinás	asesiˈnas
acecinés	asesiˈnes
acedá	aseˈd̪a
acedás	aseˈd̪as
acedés	aseˈd̪es
aceitá	asejˈt̪a
aceitás	asejˈt̪as
aceités	asejˈt̪es
acelerá	aseleˈɾa
acelerás	aseleˈɾas
acelerés	aseleˈɾes
acendrá	asenˈd̪ɾa
acendrás	asenˈd̪ɾas
acendrés	asenˈd̪ɾes
acensá	asenˈsa
acensás	asenˈsas
acensés	asenˈses
acensuá	asenˈswa
acensuás	asenˈswas
acensués	asenˈswes
acentuá	asenˈt̪wa
acentuás	asenˈt̪was
acentués	asenˈt̪wes
acepá	aseˈpa
acepás	aseˈpas
acepés	aseˈpes
acepillá	asepiˈʝa
acepillás	asepiˈʝas
acepillés	asepiˈʝes
aceptá	asepˈt̪a
aceptás	asepˈt̪as
aceptés	asepˈt̪es
acequiá	asekiˈa
acequiás	asekiˈas
acequiés	aseˈkjes
acerá	aseˈɾa
acerás	aseˈɾas
acercá	aseɾˈka
acercás	aseɾˈkas
acerés	aseˈɾes
acerqués	aseɾˈkes
acerrojá	aseroˈxa
acerrojás	aseroˈxas
acerrojés	aseroˈxes
acertá	aseɾˈt̪a
acertás	aseɾˈt̪as
acertés	aseɾˈt̪es
acetificá	aset̪ifiˈka
acetificás	aset̪ifiˈkas
acetifiqués	aset̪ifiˈkes
acetriná	aset̪ɾiˈna
acetrinás	aset̪ɾiˈnas
acetrinés	aset̪ɾiˈnes
acezá	aseˈsa
acezás	aseˈsas
achabacaná	aʧabakaˈna
achabacanás	aʧabakaˈnas
achabacanés	aʧabakaˈnes
achacá	aʧaˈka
achacás	aʧaˈkas
achaflaná	aʧaflaˈna
achaflanás	aʧaflaˈnas
achaflanés	aʧaflaˈnes
achajuaná	aʧaxwaˈna
achajuanás	aʧaxwaˈnas
achajuanés	aʧaxwaˈnes
achantá	aʧanˈt̪a
achantás	aʧanˈt̪as
achantés	aʧanˈt̪es
achaparrá	aʧapaˈra
achaparrás	aʧapaˈras
achaparrés	aʧapaˈres
achaqués	aʧaˈkes
acharolá	aʧaɾoˈla
acharolás	aʧaɾoˈlas
acharolés	aʧaɾoˈles
achatá	aʧaˈt̪a
achatás	aʧaˈt̪as
achatés	aʧaˈt̪es
achicá	aʧiˈka
achicás	aʧiˈkas
achicharrá	aʧiʧaˈra
achicharrás	aʧiʧaˈras
achicharrés	aʧiʧaˈres
achiguá	aʧiˈgwa
achiguás	aʧiˈgwas
achigüés	aʧiˈgwes
achiqués	aʧiˈkes
achispá	aʧisˈpa
achispás	aʧisˈpas
achispés	aʧisˈpes
achocá	aʧoˈka
achocás	aʧoˈkas
acholá	aʧoˈla
acholás	aʧoˈlas
acholés	aʧoˈles
achoqués	aʧoˈkes
achubascá	aʧubasˈka
achubascás	aʧubasˈkas
achubasqués	aʧubasˈkes
achuchá	aʧuˈʧa
achucharrá	aʧuʧaˈra
achucharrás	aʧuʧaˈras
achucharrés	aʧuʧaˈres
achuchás	aʧuˈʧas
achuchés	aʧuˈʧes
achucuyá	aʧukuˈʝa
achucuyás	aʧukuˈʝas
achucuyés	aʧukuˈʝes
achurá	aʧuˈɾa
achurás	aʧuˈɾas
achurés	aʧuˈɾes
acibará	asibaˈɾa
acibarás	asibaˈɾas
acibarés	asibaˈɾes
aciberá	asibeˈɾa
aciberás	asibeˈɾas
aciberés	asibeˈɾes
acicalá	asikaˈla
acicalás	asikaˈlas
acicalés	asikaˈles
acicateá	asikat̪eˈa
acicateás	asikat̪eˈas
acicateés	asikat̪eˈes
acidá	asiˈd̪a
acidás	asiˈd̪as
acidés	asiˈd̪es
acidificá	asid̪ifiˈka
acidificás	asid̪ifiˈkas
acidifiqués	asid̪ifiˈkes
acidulá	asid̪uˈla
acidulás	asid̪uˈlas
acidulés	asid̪uˈles
aciguatá	asigwaˈt̪a
aciguatás	asigwaˈt̪as
aciguatés	asigwaˈt̪es
aclamá	aklaˈma
aclamás	aklaˈmas
aclamés	aklaˈmes
aclará	aklaˈɾa
aclarás	aklaˈɾas
aclarés	aklaˈɾes
aclimatá	aklimaˈt̪a
aclimatás	aklimaˈt̪as
aclimatés	aklimaˈt̪es
aclocá	akloˈka
aclocás	akloˈkas
acloqués	akloˈkes
acobardá	akobaɾˈd̪a
acobardás	akobaɾˈd̪as
acobardés	akobaɾˈd̪es
acoceá	akoseˈa
acoceás	akoseˈas
acoceés	akoseˈes
acochambrá	akoʧamˈbɾa
acochambrás	akoʧamˈbɾas
acochambrés	akoʧamˈbɾes
acochiná	akoʧiˈna
acochinás	akoʧiˈnas
acochinés	akoʧiˈnes
acodá	akoˈd̪a
acodalá	akod̪aˈla
acodalás	akod̪aˈlas
acodalés	akod̪aˈles
acodás	akoˈd̪as
acoderá	akod̪eˈɾa
acoderás	akod̪eˈɾas
acoderés	akod̪eˈɾes
acodés	akoˈd̪es
acodillá	akod̪iˈʝa
acodillás	akod̪iˈʝas
acodillés	akod̪iˈʝes
acogé	akoˈxe
acogés	akoˈxes
acogollá	akogoˈʝa
acogollás	akogoˈʝas
acogollés	akogoˈʝes
acogombrá	akogomˈbɾa
acogombrás	akogomˈbɾas
acogombrés	akogomˈbɾes
acogotá	akogoˈt̪a
acogotás	akogoˈt̪as
acogotés	akogoˈt̪es
acohombrá	akoomˈbɾa
acohombrás	akoomˈbɾas
acohombrés	akoomˈbɾes
acoitá	akojˈt̪a
acoitás	akojˈt̪as
acoités	akojˈt̪es
acojás	akoˈxas
acojiná	akoxiˈna
acojinás	akoxiˈnas
acojinés	akoxiˈnes
acojoná	akoxoˈna
acojonás	akoxoˈnas
acojonés	akoxoˈnes
acolá	akoˈla
acolás	akoˈlas
acolchá	akolˈʧa
acolchás	akolˈʧas
acolchés	akolˈʧes
acolchoná	akolʧoˈna
acolchonás	akolʧoˈnas
acolchonés	akolʧoˈnes
acolés	akoˈles
acolitá	akoliˈt̪a
acolitás	akoliˈt̪as
acolités	akoliˈt̪es
acollá	akoˈʝa
acollará	akoʝaˈɾa
acollarás	akoʝaˈɾas
acollarés	akoʝaˈɾes
acollás	akoˈʝas
acollés	akoˈʝes
acolloná	akoʝoˈna
acollonás	akoʝoˈnas
acollonés	akoʝoˈnes
acomedí	akomeˈd̪i
acomedís	akomeˈd̪is
acometás	akomeˈt̪as
acometé	akomeˈt̪e
acometés	akomeˈt̪es
acomidás	akomiˈd̪as
acomodá	akomoˈd̪a
acomodás	akomoˈd̪as
acomodés	akomoˈd̪es
acompañá	akompaˈɲa
acompañás	akompaˈɲas
acompañés	akompaˈɲes
acompasá	akompaˈsa
acompasás	akompaˈsas
acompasés	akompaˈses
acomplejá	akompleˈxa
acomplejás	akompleˈxas
acomplejés	akompleˈxes
acomuná	akomuˈna
acomunás	akomuˈnas
acomunés	akomuˈnes
aconchá	akonˈʧa
aconchabá	akonʧaˈba
aconchabás	akonʧaˈbas
aconchabés	akonʧaˈbes
aconchás	akonˈʧas
aconchés	akonˈʧes
acondicioná	akond̪isjoˈna
acondicionás	akond̪isjoˈnas
acondicionés	akond̪isjoˈnes
acongojá	akongoˈxa
acongojás	akongoˈxas
acongojés	akongoˈxes
aconsejá	akonseˈxa
aconsejás	akonseˈxas
aconsejés	akonseˈxes
aconsonantá	akonsonanˈt̪a
aconsonantás	akonsonanˈt̪as
aconsonantés	akonsonanˈt̪es
acontecé	akont̪eˈse
acontecés	akont̪eˈses
acontezcás	akont̪esˈkas
acopá	akoˈpa
acopás	akoˈpas
acopés	akoˈpes
acopiá	akopiˈa
acopiás	akopiˈas
acopiés	akoˈpjes
acoplá	akoˈpla
acoplás	akoˈplas
acoplés	akoˈples
acoquiná	akokiˈna
acoquinás	akokiˈnas
acoquinés	akokiˈnes
acorá	akoˈɾa
acoracés	akoɾaˈses
acorás	akoˈɾas
acorazá	akoɾaˈsa
acorazás	akoɾaˈsas
acorchá	akoɾˈʧa
acorchás	akoɾˈʧas
acorchés	akoɾˈʧes
acordá	akoɾˈd̪a
acordás	akoɾˈd̪as
acordelá	akoɾd̪eˈla
acordelás	akoɾd̪eˈlas
acordelés	akoɾd̪eˈles
acordeoná	akoɾd̪eoˈna
acordeonás	akoɾd̪eoˈnas
acordeonés	akoɾd̪eoˈnes
acordés	akoɾˈd̪es
acordoná	akoɾd̪oˈna
acordonás	akoɾd̪oˈnas
acordonés	akoɾd̪oˈnes
acorés	akoˈɾes
acorná	akoɾˈna
acornás	akoɾˈnas
acorneá	akoɾneˈa
acorneás	akoɾneˈas
acorneés	akoɾneˈes
acornés	akoɾˈnes
acorralá	akoraˈla
acorralás	akoraˈlas
acorralés	akoraˈles
acorrás	akoˈras
acorré	akoˈre
acorrés	akoˈres
acortá	akoɾˈt̪a
acortás	akoɾˈt̪as
acortés	akoɾˈt̪es
acosá	akoˈsa
acosás	akoˈsas
acosés	akoˈses
acosijá	akosiˈxa
acosijás	akosiˈxas
acosijés	akosiˈxes
acostá	akosˈt̪a
acostás	akosˈt̪as
acostés	akosˈt̪es
acostumbrá	akost̪umˈbɾa
acostumbrás	akost̪umˈbɾas
acostumbrés	akost̪umˈbɾes
acotá	akoˈt̪a
acotás	akoˈt̪as
acotejá	akot̪eˈxa
acotejás	akot̪eˈxas
acotejés	akot̪eˈxes
acotés	akoˈt̪es
acoyundá	akoʝunˈd̪a
acoyundás	akoʝunˈd̪as
acoyundés	akoʝunˈd̪es
acoyuntá	akoʝunˈt̪a
acoyuntás	akoʝunˈt̪as
acoyuntés	akoʝunˈt̪es
acrecé	akɾeˈse
acrecentá	akɾesenˈt̪a
acrecentás	akɾesenˈt̪as
acrecentés	akɾesenˈt̪es
acrecés	akɾeˈses
acreditá	akɾed̪iˈt̪a
acreditás	akɾed̪iˈt̪as
acredités	akɾed̪iˈt̪es
acrezcás	akɾesˈkas
acribá	akɾiˈba
acribás	akɾiˈbas
acribés	akɾiˈbes
acribillá	akɾibiˈʝa
acribillás	akɾibiˈʝas
acribillés	akɾibiˈʝes
acriminá	akɾimiˈna
acriminás	akɾimiˈnas
acriminés	akɾimiˈnes
acriollá	akɾjoˈʝa
acriollás	akɾjoˈʝas
acriollés	akɾjoˈʝes
acrisolá	akɾisoˈla
acrisolás	akɾisoˈlas
acrisolés	akɾisoˈles
acristalá	akɾist̪aˈla
acristalás	akɾist̪aˈlas
acristalés	akɾist̪aˈles
acristianá	akɾist̪jaˈna
acristianás	akɾist̪jaˈnas
acristianés	akɾist̪jaˈnes
acromaticés	akɾomat̪iˈses
acromatizá	akɾomat̪iˈsa
acromatizás	akɾomat̪iˈsas
activá	akt̪iˈba
activás	akt̪iˈbas
activés	akt̪iˈbes
actuá	akˈt̪wa
actualicés	akt̪waliˈses
actualizá	akt̪waliˈsa
actualizás	akt̪waliˈsas
actuás	akˈt̪was
actués	akˈt̪wes
acuadrillá	akwad̪ɾiˈʝa
acuadrillás	akwad̪ɾiˈʝas
acuadrillés	akwad̪ɾiˈʝes
acuantiá	akwant̪iˈa
acuantiás	akwant̪iˈas
acuantiés	akwanˈt̪jes
acuartelá	akwaɾt̪eˈla
acuartelás	akwaɾt̪eˈlas
acuartelés	akwaɾt̪eˈles
acuartillá	akwaɾt̪iˈʝa
acuartillás	akwaɾt̪iˈʝas
acuartillés	akwaɾt̪iˈʝes
acuaticés	akwat̪iˈses
acuatizá	akwat̪iˈsa
acuatizás	akwat̪iˈsas
acuchá	akuˈʧa
acuchás	akuˈʧas
acuchés	akuˈʧes
acuchillá	akuʧiˈʝa
acuchillás	akuʧiˈʝas
acuchillés	akuʧiˈʝes
acuciá	akusiˈa
acuciás	akusiˈas
acuciés	akuˈsjes
acuclillá	akukliˈʝa
acuclillás	akukliˈʝas
acuclillés	akukliˈʝes
acudás	akuˈd̪as
acudí	akuˈd̪i
acudís	akuˈd̪is
acuitá	akwiˈt̪a
acuitás	akwiˈt̪as
acuités	akwiˈt̪es
aculá	akuˈla
aculás	akuˈlas
aculés	akuˈles
acumulá	akumuˈla
acumulás	akumuˈlas
acumulés	akumuˈles
acuná	akuˈna
acuñá	akuˈɲa
acunás	akuˈnas
acuñás	akuˈɲas
acunés	akuˈnes
acuñés	akuˈɲes
acurrucá	akuruˈka
acurrucás	akuruˈkas
acurrullá	akuruˈʝa
acurrullás	akuruˈʝas
acurrullés	akuruˈʝes
acurruqués	akuruˈkes
acusá	akuˈsa
acusás	akuˈsas
acusés	akuˈses
adamá	ad̪aˈma
adamás	ad̪aˈmas
adamascá	ad̪amasˈka
adamascás	ad̪amasˈkas
adamasqués	ad̪amasˈkes
adamés	ad̪aˈmes
adaptá	ad̪apˈt̪a
adaptás	ad̪apˈt̪as
adaptés	ad̪apˈt̪es
adardeá	ad̪aɾd̪eˈa
adardeás	ad̪aɾd̪eˈas
adardeés	ad̪aɾd̪eˈes
adargá	ad̪aɾˈga
adargás	ad̪aɾˈgas
adargués	ad̪aɾˈges
adarvá	ad̪aɾˈba
adarvás	ad̪aɾˈbas
adarvés	ad̪aɾˈbes
adás	aˈd̪as
adecená	ad̪eseˈna
adecenás	ad̪eseˈnas
adecenés	ad̪eseˈnes
adecentá	ad̪esenˈt̪a
adecentás	ad̪esenˈt̪as
adecentés	ad̪esenˈt̪es
adecuá	ad̪eˈkwa
adecuás	ad̪eˈkwas
adecués	ad̪eˈkwes
adelantá	ad̪elanˈt̪a
adelantás	ad̪elanˈt̪as
adelantés	ad̪elanˈt̪es
adelgacés	ad̪elgaˈses
adelgazá	ad̪elgaˈsa
adelgazás	ad̪elgaˈsas
ademá	ad̪eˈma
además	ad̪eˈmas
ademés	ad̪eˈmes
adentrá	ad̪enˈt̪ɾa
adentrás	ad̪enˈt̪ɾas
adentrés	ad̪enˈt̪ɾes
aderecés	ad̪eɾeˈses
aderezá	ad̪eɾeˈsa
aderezás	ad̪eɾeˈsas
adestrá	ad̪esˈt̪ɾa
adestrás	ad̪esˈt̪ɾas
adestrés	ad̪esˈt̪ɾes
adeudá	ad̪ewˈd̪a
adeudás	ad̪ewˈd̪as
adeudés	ad̪ewˈd̪es
adherí	ad̪eˈɾi
adherís	ad̪eˈɾis
adhirás	ad̪iˈɾas
adí	aˈd̪i
adicioná	ad̪isjoˈna
adicionás	ad̪isjoˈnas
adicionés	ad̪isjoˈnes
adiestrá	ad̪jesˈt̪ɾa
adiestrás	ad̪jesˈt̪ɾas
adiestrés	ad̪jesˈt̪ɾes
adietá	ad̪jeˈt̪a
adietás	ad̪jeˈt̪as
adietés	ad̪jeˈt̪es
adinerá	ad̪ineˈɾa
adinerás	ad̪ineˈɾas
adinerés	ad̪ineˈɾes
adís	aˈd̪is
adiviná	ad̪ibiˈna
adivinás	ad̪ibiˈnas
adivinés	ad̪ibiˈnes
adjetivá	ad̪xet̪iˈba
adjetivás	ad̪xet̪iˈbas
adjetivés	ad̪xet̪iˈbes
adjudicá	ad̪xud̪iˈka
adjudicás	ad̪xud̪iˈkas
