#name German-Hoch
#lang deu-hoch
A	ʔaː
abbezahlt	ʔapbəˌʦaːlt
abbezahlte	ʔapbəˌʦaːltə
abbezahlten	ʔapbəˌʦaːltən
abbezahltest	ʔapbəˌʦaːltəst
abbezahltet	ʔapbəˌʦaːltət
abblasse	ʔapblasə
abblassen	ʔapblasən
abblassend	ʔapblasənt
abblassest	ʔapblasəst
abblasset	ʔapblasət
abblasst	ʔapblast
abblasste	ʔapblastə
abblassten	ʔapblastən
abblasstest	ʔapblastəst
abblasstet	ʔapblastət
Abbrändler	ʔapbʁɛndlɐ
Abbreviation	ʔabʁevjaˈʦjoːn
Abbreviationen	ʔabʁevjaˈʦjoːnən
Abbreviatur	ʔabʁevjaˈtuːɐ
Abbreviaturen	ʔabʁevjaˈtuːʁən
abbreviiere	ʔabʁeviˈʔiːʁə
abbreviieren	ʔabʁeviˈʔiːʁən
abbreviierend	ʔabʁeviˈʔiːʁənt
abbreviierest	ʔabʁeviˈʔiːʁəst
abbreviieret	ʔabʁeviˈʔiːʁət
abbreviierst	ʔabʁeviˈʔiːɐst
abbreviiert	ʔabʁeviˈʔiːɐt
abbreviierte	ʔabʁeviˈʔiːɐtə
abbreviierten	ʔabʁeviˈʔiːɐtən
abbreviiertest	ʔabʁeviˈʔiːɐtəst
abbreviiertet	ʔabʁeviˈʔiːɐtət
Abbröckelung	ʔapbʁœkəlʊŋ
Abbrüche	ʔapbʁʏçə
Abbud	ʔaˈbuːt
Abc	ʔaːbeːˈʦeː
Abdachung	ʔapdaxʊŋ
Abdachungen	ʔapdaxʊŋən
Abdeckerei	ʔapdɛkəˈʁaɪ
Abdeckereien	ʔapdɛkəˈʁaɪən
Abdera	ʔapˈdeːʁaː
Abderit	ʔapdeˈʁiːt
Abderiten	ʔapdeˈʁiːtən
Abdikation	ʔapdikaˈʦjoːn
Abdikationen	ʔapdikaˈʦjoːnən
abdizieren	ʔapdiˈʦiːʁən
Abdomen	ʔapˈdoːmən
Abdomens	ʔapˈdoːməns
Abdomina	ʔapˈdoːmina
abdominal	ʔapdomiˈnaːl
abdominale	ʔapdomiˈnaːlə
abdominalem	ʔapdomiˈnaːləm
abdominalen	ʔapdomiˈnaːlən
abdominaler	ʔapdomiˈnaːlɐ
abdominales	ʔapdomiˈnaːləs
Abduktion	ʔapdʊkˈʦjoːn
Abduktionen	ʔapdʊkˈʦjoːnən
Abduktor	ʔapˈdʊktoːɐ
Abduktoren	ʔapdʊkˈtoːʁən
Abduktors	ʔapˈdʊktoːɐs
Abdul	ʔapdul
Abdullah	ʔapdulaː
abduziere	ʔapduˈʦiːʁə
abduzieren	ʔapduˈʦiːʁən
abduzierend	ʔapduˈʦiːʁənt
abduzierest	ʔapduˈʦiːʁəst
abduzieret	ʔapduˈʦiːʁət
abduzierst	ʔapduˈʦiːɐst
abduziert	ʔapduˈʦiːɐt
abduzierte	ʔapduˈʦiːɐtə
abduzierten	ʔapduˈʦiːɐtən
abduziertest	ʔapduˈʦiːɐtəst
abduziertet	ʔapduˈʦiːɐtət
Abecedarien	ʔabeʦeˈdaːʁiən
Abecedarium	ʔabeʦeˈdaːʁiʊm
Abend	ʔaːbənt
abend	ʔaːbənt
abendländisch	ʔaːbəntˌlɛndɪʃ
abendlich	ʔaːbəntlɪç
abendliche	ʔaːbəntlɪçə
abendlichem	ʔaːbəntlɪçəm
abendlichen	ʔaːbəntlɪçən
abendlicher	ʔaːbəntlɪçɐ
abendliches	ʔaːbəntlɪçəs
abends	ʔaːbənʦ
Abenteuer	ʔaːbəntɔɪɐ
abenteuere	ʔaːbəntɔɪəʁə
Abenteuerin	ʔaːbəntɔɪəʁɪn
Abenteuerinnen	ʔaːbəntɔɪəʁɪnən
Abenteuern	ʔaːbəntɔɪɐn
abenteuern	ʔaːbəntɔɪɐn
abenteuernd	ʔaːbəntɔɪɐnt
Abenteuers	ʔaːbəntɔɪɐs
abenteuerst	ʔaːbəntɔɪɐst
abenteuert	ʔaːbəntɔɪɐt
abenteuerte	ʔaːbəntɔɪɐtə
abenteuerten	ʔaːbəntɔɪɐtən
abenteuertest	ʔaːbəntɔɪɐtəst
abenteuertet	ʔaːbəntɔɪɐtət
Abenteurer	ʔaːbəntɔɪʁɐ
Abenteurerin	ʔaːbəntɔɪʁəʁɪn
Abenteurerinnen	ʔaːbəntɔɪʁəʁɪnən
Abenteurern	ʔaːbəntɔɪʁɐn
Abenteurers	ʔaːbəntɔɪʁɐs
aber	ʔaːbɐ
Aberdeen	ʔɛbədiːn
abergläubisch	ʔaːbɐˌɡlɔɪbɪʃ
abergläubischen	ʔaːbɐˌɡlɔɪbɪʃən
aberkenne	ʔapʔɛɐˌkɛnə
aberkennen	ʔapʔɛɐˌkɛnən
aberkennend	ʔapʔɛɐˌkɛnənt
aberkennest	ʔapʔɛɐˌkɛnəst
aberkennet	ʔapʔɛɐˌkɛnət
aberkennst	ʔapʔɛɐˌkɛnst
aberkennt	ʔapʔɛɐˌkɛnt
aberkennte	ʔapʔɛɐˌkɛntə
aberkennten	ʔapʔɛɐˌkɛntən
aberkenntest	ʔapʔɛɐˌkɛntəst
aberkenntet	ʔapʔɛɐˌkɛntət
Aberkennung	ʔapʔɛɐˌkɛnʊŋ
Aberkennungen	ʔapʔɛɐˌkɛnʊŋən
abermals	ʔaːbɐmaːls
aberrant	ʔapʔɛˈʁant
Aberration	ʔapʔɛʁaˈʦjoːn
Aberrationen	ʔapʔɛʁaˈʦjoːnən
aberrieren	ʔapʔɛˈʁiːʁən
Abert	ʔaːbɛɐt
abertausend	ʔaːbɐtaʊzənt
Abessinien	ʔaːbɛˈsiːnjən
Abessinier	ʔabɛˈsiːnjɐ
abessinisch	ʔabɛˈsiːnɪʃ
abessinische	ʔabɛˈsiːnɪʃə
abessinischem	ʔabɛˈsiːnɪʃəm
abessinischen	ʔabɛˈsiːnɪʃən
abessinischer	ʔabɛˈsiːnɪʃɐ
abessinisches	ʔabɛˈsiːnɪʃəs
Abfahrsignal	ʔap͡faːɐzɪˌɡnaːl
Abfalleimer	ʔap͡falˌʔaɪmɐ
Abfalleimern	ʔap͡falˌʔaɪmɐn
Abfalleimers	ʔap͡falˌʔaɪmɐs
abfallend	ʔap͡falənt
abfaule	ʔap͡faʊlə
abfaulen	ʔap͡faʊlən
abfaulend	ʔap͡faʊlənt
abfaulest	ʔap͡faʊləst
abfaulet	ʔap͡faʊlət
abfaulst	ʔap͡faʊlst
abfault	ʔap͡faʊlt
abfaulte	ʔap͡faʊltə
abfaulten	ʔap͡faʊltən
abfaultest	ʔap͡faʊltəst
abfaultet	ʔap͡faʊltət
abfertige	ʔap͡fɛɐtɪɡə
abfertigen	ʔap͡fɛɐtɪɡən
abfertigend	ʔap͡fɛɐtɪɡənt
abfertigest	ʔap͡fɛɐtɪɡəst
abfertiget	ʔap͡fɛɐtɪɡət
abfertigst	ʔap͡fɛɐtɪkst
abfertigt	ʔap͡fɛɐtɪçt
abfertigte	ʔap͡fɛɐtɪçtə
abfertigten	ʔap͡fɛɐtɪçtən
abfertigtest	ʔap͡fɛɐtɪktəst
abfertigtet	ʔap͡fɛɐtɪktət
Abfertigung	ʔap͡fɛɐtɪɡʊŋ
Abfertigungen	ʔap͡fɛɐtɪɡʊŋən
abflache	ʔap͡flaxə
abflachen	ʔap͡flaxən
abflachend	ʔap͡flaxənt
abflachest	ʔap͡flaxəst
abflachet	ʔap͡flaxət
abflachst	ʔap͡flaxst
abflacht	ʔap͡flaxt
abflachte	ʔap͡flaxtə
abflachten	ʔap͡flaxtən
abflachtest	ʔap͡flaxtəst
abflachtet	ʔap͡flaxtət
abflaue	ʔap͡flaʊə
abflauen	ʔap͡flaʊən
abflauend	ʔap͡flaʊənt
abflauest	ʔap͡flaʊəst
abflauet	ʔap͡flaʊət
abflaust	ʔap͡flaʊst
abflaut	ʔap͡flaʊt
abflaute	ʔap͡flaʊtə
abflauten	ʔap͡flaʊtən
abflautest	ʔap͡flaʊtəst
abflautet	ʔap͡flaʊtət
abfluchten	ʔap͡flʊxtən
Abflugszeit	ʔap͡fluːksˌʦaɪt
Abflugszeiten	ʔap͡fluːksˌʦaɪtən
abfotografiere	ʔap͡fotoɡʁaˌfiːʁə
abfotografieren	ʔap͡fotoɡʁaˌfiːʁən
abfotografierend	ʔap͡fotoɡʁaˌfiːʁənt
abfotografierest	ʔap͡fotoɡʁaˌfiːʁəst
abfotografieret	ʔap͡fotoɡʁaˌfiːʁət
abfotografierst	ʔap͡fotoɡʁaˌfiːɐst
abfotografiert	ʔap͡fotoɡʁaˌfiːɐt
abfotografierte	ʔap͡fotoɡʁaˌfiːɐtə
abfotografierten	ʔap͡fotoɡʁaˌfiːɐtən
abfotografiertest	ʔap͡fotoɡʁaˌfiːɐtəst
abfotografiertet	ʔap͡fotoɡʁaˌfiːɐtət
Abfuhr	ʔap͡fuːɐ
Abfuhren	ʔap͡fuːʁən
Abführmittel	ʔap͡fyːɐˌmɪtəl
Abfülldatum	ʔap͡fʏlˌdaːtʊm
abgearbeitet	ʔapɡəʔaɐbaɪtət
abgeblasst	ʔapɡəblast
abgeblaßt	ʔapɡəblast
abgebrüht	ʔapɡəbʁyːt
abgedroschen	ʔapɡədʁɔʃən
abgefeimt	ʔapɡəfaɪmt
abgegriffen	ʔapɡəɡʁɪfən
abgegriffene	ʔapɡəɡʁɪfənə
abgegriffenem	ʔapɡəɡʁɪfənəm
abgegriffenen	ʔapɡəɡʁɪfənən
abgegriffener	ʔapɡəɡʁɪfənɐ
abgegriffenere	ʔapɡəɡʁɪfənəʁə
abgegriffenerem	ʔapɡəɡʁɪfənəʁəm
abgegriffeneren	ʔapɡəɡʁɪfənəʁən
abgegriffenerer	ʔapɡəɡʁɪfənəʁɐ
abgegriffeneres	ʔapɡəɡʁɪfənəʁəs
abgegriffenes	ʔapɡəɡʁɪfənəs
abgegriffenst	ʔapɡəɡʁɪfənst
abgegriffenste	ʔapɡəɡʁɪfənstə
abgegriffenstem	ʔapɡəɡʁɪfənstəm
abgegriffensten	ʔapɡəɡʁɪfənstən
abgegriffenster	ʔapɡəɡʁɪfənstɐ
abgegriffenstes	ʔapɡəɡʁɪfənstəs
abgehärmt	ʔapɡəhɛɐmt
abgekämpft	ʔapɡəkɛmp͡ft
abgekartet	ʔapɡəkaɐtət
abgeklappert	ʔapɡəklapɐt
abgeklärt	ʔapɡəklɛːɐt
abgelagert	ʔapɡəlaːɡɐt
abgelaufen	ʔapɡəlaʊfən
abgelebt	ʔapɡəleːpt
abgeleiert	ʔapɡəlaɪɐt
abgemattet	ʔapɡəˌmatət
abgemergelt	ʔapɡəmɛɐɡəlt
abgenutzt	ʔapɡənʊʦt
abgeordnet	ʔapɡəʔɔɐdnət
abgeplattet	ʔapɡəplatət
abgeschabt	ʔapɡəʃaːpt
abgeschieden	ʔapɡəˌʃiːdən
abgeschlafft	ʔapɡəʃlaft
abgeschmackt	ʔapɡəˌʃmakt
abgespannt	ʔapɡəʃpant
abgespielt	ʔapɡəʃpiːlt
abgestumpft	ʔapɡəˌʃtʊmp͡ft
abgetakelt	ʔapɡətaːkəlt
abgetan	ʔapɡətaːn
abgewirtschaftet	ʔapɡəvɪɐʧaftət
abgewrackt	ʔapɡəvʁakt
abgezockt	ʔapɡəʦɔkt
abgleiche	ʔapɡlaɪçə
abgleichen	ʔapɡlaɪçən
abgleichend	ʔapɡlaɪçənt
abgleichest	ʔapɡlaɪçəst
abgleichet	ʔapɡlaɪçət
abgleichst	ʔapɡlaɪçst
abgleicht	ʔapɡlaɪçt
Abgötterei	ʔapɡœtəˈʁaɪ
abhanden	ʔapˈhandən
Abhängigkeit	ʔaphɛŋɪçkaɪt
Abhängigkeiten	ʔaphɛŋɪçkaɪtən
Abhängling	ʔaphɛŋlɪŋ
Abhöraffäre	ʔaphøːɐʔaˌfɛːʁə
Abhöranlage	ʔaphøːɐˌʔanlaːɡə
Abi	ʔabiː
Abietinsäure	ʔabieˈtiːnˌzɔɪʁə
Abiogenese	ʔabjoɡeˈneːzə
Abiogenesis	ʔabjoˈɡeːnezɪs
Abiose	ʔaˈbjoːzə
Abiosis	ʔaˈbiːozɪs
abiotisch	ʔaˈbjoːtɪʃ
Abiotrophie	ʔabjotʁoˈfiː
Abitur	ʔabiˈtuːɐ
Abiture	ʔabiˈtuːʁə
Abituren	ʔabiˈtuːʁən
Abiturien	ʔabiˈtuːʁiən
Abiturient	ʔabituˈʁjɛnt
Abiturienten	ʔabituˈʁjɛntən
Abiturientin	ʔabituˈʁjɛntɪn
Abiturientinnen	ʔabituˈʁjɛntɪnən
Abiturium	ʔabiˈtuːʁiʊm
Abiturs	ʔabiˈtuːɐs
Abjudikation	ʔapjudikaˈʦjoːn
Abjudikationen	ʔapjudikaˈʦjoːnən
abjudiziere	ʔapjudiˈʦiːʁə
abjudizieren	ʔapjudiˈʦiːʁən
abjudizierend	ʔapjudiˈʦiːʁənt
abjudizierest	ʔapjudiˈʦiːʁəst
abjudizieret	ʔapjudiˈʦiːʁət
abjudizierst	ʔapjudiˈʦiːɐst
abjudiziert	ʔapjudiˈʦiːɐt
abjudizierte	ʔapjudiˈʦiːɐtə
abjudizierten	ʔapjudiˈʦiːɐtən
abjudiziertest	ʔapjudiˈʦiːɐtəst
abjudiziertet	ʔapjudiˈʦiːɐtət
Abjuration	ʔapjuʁaˈʦjoːn
abjurieren	ʔapjuˈʁiːʁən
Abkanzelung	ʔapkanʦəlʊŋ
Abkanzelungen	ʔapkanʦəlʊŋən
Abkapselung	ʔapkapsəlʊŋ
Abkapselungen	ʔapkapsəlʊŋən
Abkapslung	ʔapkapslʊŋ
Abkapslungen	ʔapkapslʊŋən
Abkehr	ʔapkeːɐ
abknappe	ʔapknapə
abknappen	ʔapknapən
abknappend	ʔapknapənt
abknappest	ʔapknapəst
abknappet	ʔapknapət
abknappst	ʔapknapst
abknappt	ʔapknapt
abknappte	ʔapknaptə
abknappten	ʔapknaptən
abknapptest	ʔapknaptəst
abknapptet	ʔapknaptət
abknapsen	ʔapknapsən
abkömmlich	ʔapkœmlɪç
Abkömmling	ʔapkœmlɪŋ
abkühlen	ʔapkyːlən
Abkunft	ʔapkʊnft
abkupfere	ʔapkʊp͡fəʁə
abkupfern	ʔapkʊp͡fɐn
abkupfernd	ʔapkʊp͡fɐnt
abkupferst	ʔapkʊp͡fɐst
abkupfert	ʔapkʊp͡fɐt
abkupferte	ʔapkʊp͡fɐtə
abkupferten	ʔapkʊp͡fɐtən
abkupfertest	ʔapkʊp͡fɐtəst
abkupfertet	ʔapkʊp͡fɐtət
ablaktieren	ʔaplakˌtiːʁən
Ablation	ʔaplaˈʦjoːn
Ablationen	ʔaplaˈʦjoːnən
Ablativ	ʔaplatiːf
Ablative	ʔaplatiːvə
Ablativen	ʔaplatiːvən
Ablativs	ʔaplatiːfs
Ablativus	ʔaplaˈtiːvʊs
Ableger	ʔapleːɡɐ
Ablegern	ʔapleːɡɐn
Ablegers	ʔapleːɡɐs
ablichte	ʔaplɪçtə
ablichten	ʔaplɪçtən
ablichtend	ʔaplɪçtənt
ablichtest	ʔaplɪçtəst
ablichtet	ʔaplɪçtət
ablichtete	ʔaplɪçtətə
ablichteten	ʔaplɪçtətən
ablichtetest	ʔaplɪçtətəst
ablichtetet	ʔaplɪçtətət
ablösbar	ʔapløːsbaːɐ
Ablution	ʔapluˈʦjoːn
Abmagerung	ʔapmaːɡɐʊŋ
Abmagerungen	ʔapmaːɡɐʊŋən
Abmeierung	ʔapmaɪɐʊŋ
Abmeierungen	ʔapmaɪɐʊŋən
abmontiere	ʔapmɔnˌtiːʁə
abmontieren	ʔapmɔnˌtiːʁən
abmontierend	ʔapmɔnˌtiːʁənt
abmontierest	ʔapmɔnˌtiːʁəst
abmontieret	ʔapmɔnˌtiːʁət
abmontierst	ʔapmɔnˌtiːɐst
abmontiert	ʔapmɔnˌtiːɐt
abmontierte	ʔapmɔnˌtiːɐtə
abmontierten	ʔapmɔnˌtiːɐtən
abmontiertest	ʔapmɔnˌtiːɐtəst
abmontiertet	ʔapmɔnˌtiːɐtət
abmüden	ʔapmyːdən
Abnahme	ʔapnaːmə
Abnahmen	ʔapnaːmən
abnibbeln	ʔapnɪbəln
abnibbelnd	ʔapnɪbəlnt
abnibbelst	ʔapnɪbəlst
abnibbelt	ʔapnɪbəlt
abnibbelte	ʔapnɪbəltə
abnibbelten	ʔapnɪbəltən
abnibbeltest	ʔapnɪbəltəst
abnibbeltet	ʔapnɪbəltət
abnibble	ʔapnɪblə
abnorm	ʔapˈnɔɐm
abnorme	ʔapˈnɔɐmə
abnormem	ʔapˈnɔɐməm
abnormen	ʔapˈnɔɐmən
abnormer	ʔapˈnɔɐmɐ
abnormere	ʔapˈnɔɐməʁə
abnormerem	ʔapˈnɔɐməʁəm
abnormeren	ʔapˈnɔɐməʁən
abnormerer	ʔapˈnɔɐməʁɐ
abnormeres	ʔapˈnɔɐməʁəs
abnormes	ʔapˈnɔɐməs
Abnormität	ʔapnɔɐmiˈtɛːt
abnormst	ʔapˈnɔɐmst
abnormste	ʔapˈnɔɐmstə
abnormstem	ʔapˈnɔɐmstəm
abnormsten	ʔapˈnɔɐmstən
abnormster	ʔapˈnɔɐmstɐ
abnormstes	ʔapˈnɔɐmstəs
Abodrit	ʔaboˈdʁiːt
Abolition	ʔaboliˈʦjoːn
Abolitionismus	ʔaːbolitsjoˈnɪsmʊs
Abolitionist	ʔaːbolitsjoˈnɪst
Abolitionisten	ʔaːbolitsjoˈnɪstən
abominabel	ʔabomiˈnaːbəl
Abonnement	ʔabɔnəˈmɑ̃ː
Abonnemente	ʔabɔnəˈmɑ̃ːə
Abonnementen	ʔabɔnəˈmɑ̃ːən
Abonnements	ʔabɔnəˈmɑ̃ːs
Abonnent	ʔabɔˈnɛnt
Abonnenten	ʔabɔˈnɛntən
abonniere	ʔabɔˈniːʁə
abonnieren	ʔabɔˈniːʁən
abonnierend	ʔabɔˈniːʁənt
abonnierest	ʔabɔˈniːʁəst
abonnieret	ʔabɔˈniːʁət
abonnierst	ʔabɔˈniːɐst
abonniert	ʔabɔˈniːɐt
abonnierte	ʔabɔˈniːɐtə
abonnierten	ʔabɔˈniːɐtən
abonniertest	ʔabɔˈniːɐtəst
abonniertet	ʔabɔˈniːɐtət
Aborigine	ʔɛbəˈʁɪʤɪniː
Abort	ʔaˈbɔɐt
Aborte	ʔaˈbɔɐtə
Aborten	ʔaˈbɔɐtən
Abortes	ʔaˈbɔɐtəs
abortiere	ʔapʔɔɐˈtiːʁə
abortieren	ʔapʔɔɐˈtiːʁən
abortierend	ʔapʔɔɐˈtiːʁənt
abortierest	ʔapʔɔɐˈtiːʁəst
abortieret	ʔapʔɔɐˈtiːʁət
abortierst	ʔapʔɔɐˈtiːɐst
abortiert	ʔapʔɔɐˈtiːɐt
abortierte	ʔapʔɔɐˈtiːɐtə
abortierten	ʔapʔɔɐˈtiːɐtən
abortiertest	ʔapʔɔɐˈtiːɐtəst
abortiertet	ʔapʔɔɐˈtiːɐtət
abortiv	ʔapʔɔɐˈtiːf
Abortiva	ʔapʔɔɐˈtiːvaː
abortive	ʔapʔɔɐˈtiːvə
abortivem	ʔapʔɔɐˈtiːvəm
abortiven	ʔapʔɔɐˈtiːvən
abortiver	ʔapʔɔɐˈtiːvɐ
abortives	ʔapʔɔɐˈtiːvəs
Abortivum	ʔapʔɔɐˈtiːvʊm
Aborts	ʔaˈbɔɐʦ
abphotographiere	ʔap͡fotoɡʁaˌfiːʁə
abphotographieren	ʔap͡fotoɡʁaˌfiːʁən
abphotographierend	ʔap͡fotoɡʁaˌfiːʁənt
abphotographierest	ʔap͡fotoɡʁaˌfiːʁəst
abphotographieret	ʔap͡fotoɡʁaˌfiːʁət
abphotographierst	ʔap͡fotoɡʁaˌfiːɐst
abphotographiert	ʔap͡fotoɡʁaˌfiːɐt
abphotographierte	ʔap͡fotoɡʁaˌfiːɐtə
abphotographierten	ʔap͡fotoɡʁaˌfiːɐtən
abphotographiertest	ʔap͡fotoɡʁaˌfiːɐtəst
abphotographiertet	ʔap͡fotoɡʁaˌfiːɐtət
abpralle	ʔappʁalə
Abprallen	ʔappʁalən
abprallen	ʔappʁalən
abprallend	ʔappʁalənt
abprallest	ʔappʁaləst
abprallet	ʔappʁalət
abprallst	ʔappʁalst
abprallt	ʔappʁalt
abprallte	ʔappʁaltə
abprallten	ʔappʁaltən
abpralltest	ʔappʁaltəst
abpralltet	ʔappʁaltət
abprobieren	ʔappʁoˌbiːʁən
abqualifiziere	ʔapkvalifiˌʦiːʁə
abqualifizieren	ʔapkvalifiˌʦiːʁən
abqualifizierend	ʔapkvalifiˌʦiːʁənt
abqualifizierest	ʔapkvalifiˌʦiːʁəst
abqualifizieret	ʔapkvalifiˌʦiːʁət
abqualifizierst	ʔapkvalifiˌʦiːɐst
abqualifiziert	ʔapkvalifiˌʦiːɐt
abqualifizierte	ʔapkvalifiˌʦiːɐtə
abqualifizierten	ʔapkvalifiˌʦiːɐtən
abqualifiziertest	ʔapkvalifiˌʦiːɐtəst
abqualifiziertet	ʔapkvalifiˌʦiːɐtət
Abraham	ʔaːbʁaham
Abrahams	ʔaːbʁahams
Abrakadabra	ʔabʁakaˈdaːbʁaː
Abrakadabras	ʔabʁakaˈdaːbʁaːs
Abrasax	ʔabʁaˈzaks
Abrasion	ʔapʁaˈzjoːn
Abrasionen	ʔapʁaˈzjoːnən
Abraxas	ʔaˈbʁaksas
Abreißblock	ʔapʁaɪsˌblɔk
Abreißkalender	ʔapʁaɪskaˌlɛndɐ
Abrieb	ʔapʁiːp
Abriebe	ʔapʁiːbə
Abrieben	ʔapʁiːbən
Abriebes	ʔapʁiːbəs
Abriebs	ʔapʁiːps
Abriegelung	ʔapʁiːɡəlʊŋ
Abriegelungen	ʔapʁiːɡəlʊŋən
Abrieglung	ʔapʁiːɡlʊŋ
Abrieglungen	ʔapʁiːɡlʊŋən
abrupt	ʔapˈʁʊpt
abrupte	ʔapˈʁʊptə
abruptem	ʔapˈʁʊptəm
abrupten	ʔapˈʁʊptən
abrupter	ʔapˈʁʊptɐ
abruptere	ʔapˈʁʊptəʁə
abrupterem	ʔapˈʁʊptəʁəm
abrupteren	ʔapˈʁʊptəʁən
abrupterer	ʔapˈʁʊptəʁɐ
abrupteres	ʔapˈʁʊptəʁəs
abruptes	ʔapˈʁʊptəs
abruptest	ʔapˈʁʊptəst
abrupteste	ʔapˈʁʊptəstə
abruptestem	ʔapˈʁʊptəstəm
abruptesten	ʔapˈʁʊptəstən
abruptester	ʔapˈʁʊptəstɐ
abruptestes	ʔapˈʁʊptəstəs
abruptst	ʔapˈʁʊpʦt
abruptste	ʔapˈʁʊpʦtə
abruptstem	ʔapˈʁʊpʦtəm
abruptsten	ʔapˈʁʊpʦtən
abruptster	ʔapˈʁʊpʦtɐ
abruptstes	ʔapˈʁʊpʦtəs
Abruzzen	ʔaˈbʁʊʦən
Absalom	ʔapzalɔm
Absatz	ʔapzaʦ
Absatze	ʔapzaʦə
Absatzes	ʔapzaʦəs
Abscheu	ʔapʃɔɪ
abscheulich	ʔapˈʃɔɪlɪç
abscheuliche	ʔapʃɔɪlɪçə
abscheulichem	ʔapʃɔɪlɪçəm
abscheulichen	ʔapʃɔɪlɪçən
abscheulicher	ʔapʃɔɪlɪçɐ
abscheulichere	ʔapˈʃɔɪlɪçəʁə
abscheulicherem	ʔapˈʃɔɪlɪçəʁəm
abscheulicheren	ʔapˈʃɔɪlɪçəʁən
abscheulicherer	ʔapˈʃɔɪlɪçəʁɐ
