'em	əm
abductors	əbˈdʌktəɹz
abducts	æbˈdʌkts
abdul	æbˈduːl
abdulaziz	æbˌduːləˈziːz
abdulla	ɑbˈduːlə
abdullah	ˌæbˈdʌlə
abe	ˈeɪb
abed	əˈbɛd
abedi	əˈbɛdiː
abee	əˈbiː
abel	ˈeɪbəl
abela	ɑˈbɛlə
abelard	ˈæbələɹd
abele	əˈbiːl
abeles	əˈbiːlz
abeles	ˈeɪbəˌliːz
abell	ˈeɪbəl
abella	əˈbɛlə
abeln	ˈæbɛln
abelow	ˈæbəloʊ
abels	ˈeɪbəlz
abelson	ˈæbəlsən
abend	ˈæbɛnd
abend	əˈbɛnd
abendroth	ˈæbəndɹɑθ
aber	ˈeɪbəɹ
abercrombie	ˌæbəɹˈkɹɑmbiː
aberdeen	ˈæbəɹˌdiːn
aberford	ˈeɪbəɹfəɹd
aberg	ˈæbəɹg
aberle	ˈæbəɹəl
abermin	ˈæbəɹˌmɪn
abernathy	ˈæbəɹˌnæθiː
abernethy	ˈæbəɹˌnɛθiː
aberrant	æˈbɛɹənt
aberration	ˌæbəɹˈeɪʃən
aberrational	ˌæbəɹˈeɪʃənəl
aberrations	ˌæbəɹˈeɪʃənz
abert	ˈæbəɹt
abet	əˈbɛt
abetted	əˈbɛtəd
abetting	əˈbɛtɪŋ
abex	ˈeɪbɛks
abeyance	əˈbeɪəns
abeyta	ɑˈbeɪtə
abhor	æbˈhɔɹ
abhorred	əbˈhɔɹd
abhorrence	əbˈhɔɹəns
abhorrent	æbˈhɔɹənt
abhors	əbˈhɔɹz
abid	ˈeɪbəd
abide	əˈbaɪd
abided	əˈbaɪdəd
abides	əˈbaɪdz
abiding	əˈbaɪdɪŋ
abie	ˈæbiː
abigail	ˈæbəˌgeɪl
abila	ɑˈbiːlə
abilene	ˈæbəˌliːn
abilities	əˈbɪlətiːz
ability	əˈbɪlətiː
abington	ˈæbɪŋtən
abio	ˈɑbiːoʊ
abiola	ˌɑbiːˈoʊlə
abiomed	eɪˈbiːəmɛd
abitibi	ˌæbəˈtiːbiː
abitz	ˈæˌbɪts
abject	ˈæbʤɛkt
abkhazia	æbkˈhɑzjə
abkhazia	æbkˈhæzjə
abkhazian	æbkˈhɑziːən
abkhazian	æbkˈhæziːən
abkhazian	æbkˈhɑzjən
abkhazian	æbkˈhæzjən
abkhazians	æbkˈhɑziːənz
abkhazians	æbkˈhæziːənz
ablaze	əˈbleɪz
able	ˈeɪbəl
abled	ˈeɪbəld
abler	ˈeɪbələɹ
abler	ˈeɪbləɹ
ables	ˈeɪbəlz
ablest	ˈeɪbləst
abloom	əˈbluːm
ably	ˈeɪbliː
abner	ˈæbnəɹ
abney	ˈæbniː
abnormal	æbˈnɔɹməl
abnormalities	ˌæbnɔɹˈmælətiːz
abnormality	ˌæbnɔɹˈmælətiː
abnormally	æbˈnɔɹməliː
abo	ˈɑboʊ
aboard	əˈbɔɹd
abode	əˈboʊd
abolish	əˈbɑˌlɪʃ
abolished	əˈbɑˌlɪʃt
abolishes	əˈbɑˌlɪʃəz
abolishing	əˈbɑˌlɪʃɪŋ
abolition	ˌæbəˈlɪʃən
abolitionism	ˌæbəˈlɪʃəˌnɪzəm
abolitionist	ˌæbəˈlɪʃənəst
abolitionists	ˌæbəˈlɪʃənəsts
abolitionists	ˌæbəˈlɪʃənəss
abolitionists	ˌæbəˈlɪʃənəs
abominable	əˈbɑmənəbəl
abomination	əˌbɑməˈneɪʃən
abood	əˈbuːd
aboodi	əˈbuːdiː
aboriginal	ˌæˈbəɹɪʤənəl
aborigine	ˌæˈbəɹɪʤəniː
aborigines	ˌæˈbəɹɪʤəniːz
aborn	əˈbɔɹn
abort	əˈbɔɹt
aborted	əˈbɔɹtəd
abortifacient	əˌbɔɹtəˈfeɪʃənt
abortifacients	əˌbɔɹtəˈfeɪʃənts
aborting	əˈbɔɹtɪŋ
abortion	əˈbɔɹʃən
abortionist	əˈbɔɹʃənəst
abortionists	əˈbɔɹʃənəsts
abortionists	əˈbɔɹʃənəss
abortionists	əˈbɔɹʃənəs
abortions	əˈbɔɹʃənz
abortive	əˈbɔɹtɪv
abott	əˈbɑt
abou	əˈbuː
aboud	ɑˈbuːd
abouhalima	ˌɑbuːhɑˈliːmə
abound	əˈbaʊnd
abounded	əˈbaʊndəd
abounding	əˈbaʊndɪŋ
abounds	əˈbaʊndz
about	əˈbaʊt
above	əˈbʌv
aboveboard	əˈbʌvˌbɔɹd
abplanalp	ˈæbplənælp
abra	ˈɑbɹə
abracadabra	ˌæbɹəkəˈdæbɹə
abraham	ˈeɪbɹəˌhæm
abrahamian	ˌæbɹəˈheɪmiːən
abrahams	ˈeɪbɹəˌhæmz
abrahamsen	æbɹəˈhæmsən
abrahamson	əˈbɹæhəmsən
abram	əˈbɹæm
abramczyk	ˈɑbɹəmʧɪk
abramo	ɑˈbɹɑmoʊ
abramovitz	əˈbɹɑməˌvɪts
abramowicz	əˈbɹɑməˌvɪʧ
abramowitz	əˈbɹɑməˌwɪts
abrams	ˈeɪbɹəmz
abramson	ˈeɪbɹəmsən
abrasion	əˈbɹeɪʒən
abrasions	əˈbɹeɪʒənz
abrasive	əˈbɹeɪsɪv
abrasives	əˈbɹeɪsɪvz
abreast	əˈbɹɛst
abrego	ɑˈbɹɛgoʊ
abreu	əˈbɹuː
abridge	əˈbɹɪʤ
abridged	əˈbɹɪʤd
abril	əˈbɹɪl
abroad	əˈbɹɑd
abrogate	ˈæbɹəˌgeɪt
abrogated	ˈæbɹəˌgeɪtəd
abrogating	ˈæbɹəˌgeɪtɪŋ
abrogation	ˌæbɹəˈgeɪʃən
abron	əˈbɹɑn
abrupt	əˈbɹʌpt
abruptly	əˈbɹʌptliː
abruptness	əˈbɹʌptnəs
abrutyn	ˈeɪbɹuːtən
abruzzese	ɑbɹuːtˈseɪziː
abruzzo	ɑˈbɹuːzoʊ
abs	ˈeɪˈbiːɛs
abs	ˈæbz
absalom	ˈæbsələm
abscam	ˈæbskæm
abscess	ˈæbˌsɛs
absence	ˈæbsəns
absences	ˈæbsənsəz
absent	ˈæbsənt
absentee	ˌæbsənˈtiː
absenteeism	ˌæbsənˈtiːˌɪzəm
absentees	ˌæbsənˈtiːz
absentia	æbˈsɛnʃə
absher	ˈæbʃəɹ
abshier	ˈæbʃiːəɹ
abshire	ˈæbˌʃaɪɹ
abso	ˈæbsoʊ
absolom	ˈæbsələm
absolut	ˌæbsəˈluːt
absolute	ˈæbsəˌluːt
absolutely	ˌæbsəˈluːtliː
absoluteness	ˈæbsəˌluːtnəs
absolutes	ˈæbsəˌluːts
absolution	ˌæbsəˈluːʃən
absolutism	ˈæbsəˌluːˌtɪzəm
absolutist	æbsəˈluːtəst
absolve	əbˈzɑlv
absolve	æbˈzɑlv
absolved	əbˈzɑlvd
absolved	æbˈzɑlvd
absolves	əbˈzɑlvz
absolves	æbˈzɑlvz
absolving	əbˈzɑlvɪŋ
absolving	æbˈzɑlvɪŋ
absorb	əbˈzɔɹb
absorbed	əbˈzɔɹbd
absorbency	əbˈzɔɹbənsiː
absorbent	əbˈzɔɹbənt
absorber	əbˈzɔɹbəɹ
absorbers	əbˈzɔɹbəɹz
absorbing	əbˈzɔɹbɪŋ
absorbs	əbˈzɔɹbz
absorption	əbˈzɔɹpʃən
absorption	əbˈsɔɹpʃən
abstain	əbˈsteɪn
abstain	æbˈsteɪn
abstained	əbˈsteɪnd
abstained	æbˈsteɪnd
abstaining	əbˈsteɪnɪŋ
abstaining	æbˈsteɪnɪŋ
abstention	əbˈstɛnʧən
abstention	æbˈstɛnʧən
abstentions	əbˈstɛnʧənz
abstentions	æbˈstɛnʧənz
abstinence	ˈæbstənəns
abstinent	ˈæbstənənt
abston	ˈæbstən
abstract	æbˈstɹækt
abstract	ˈæbˌstɹækt
abstracted	ˈæbˌstɹæktəd
abstraction	æbˈstɹækʃən
abstractions	æbˈstɹækʃənz
abstracts	ˈæbstɹækts
abstruse	əbˈstɹuːs
absurd	əbˈsʌɹd
absurdist	əbˈsʌɹˌdɪst
absurdities	əbˈsʌɹdətiːz
absurdity	əbˈsʌɹdətiː
absurdly	əbˈsʌɹdliː
abt	ˈæbt
abt	ˈeɪˈbiːtiː
abts	ˈæbts
abts	ˈeɪˈbiːtiːz
abts	ˈeɪˈbiːˈtiːɛs
abu	ˈæbuː
abudrahm	əˈbʌdɹəm
abuela	ˈæbwɛlə
abuladze	ˌæbjuːˈlædziː
abundance	əˈbʌndəns
abundant	əˈbʌndənt
abundantly	əˈbʌndəntliː
aburto	əˈbʊɹˌtoʊ
abuse	əˈbjuːs
abuse	əˈbjuːz
abused	əˈbjuːzd
abuser	əˈbjuːzəɹ
abusers	əˈbjuːzəɹz
abuses	əˈbjuːsəz
abuses	əˈbjuːzəz
abusing	əˈbjuːzɪŋ
abusive	əˈbjuːsɪv
abut	əˈbʌt
abuts	əˈbʌts
abutted	əˈbʌtəd
abutting	əˈbʌtɪŋ
abuzz	əˈbʌz
abysmal	əˈbɪzməl
abysmally	əˈbɪzməliː
abyss	əˈbɪs
abzug	ˈæbˌzʌg
abzug	ˈæbˌzʊg
ac	ˈeɪsiː
aca	ˈækə
acacia	əˈkeɪʃə
academe	ˈækəˌdiːm
academia	ˌækəˈdiːmiːə
academic	ˌækəˈdɛmɪk
academically	ˌækəˈdɛmɪkliː
academician	ˌækədəˈmɪʃən
academicians	ˌækədəˈmɪʃənz
academicians	əˌkædəˈmɪʃənz
academics	ˌækəˈdɛmɪks
academies	əˈkædəmiːz
academy	əˈkædəmiː
acadia	əˈkeɪdiːə
acampora	əˈkæmpəɹə
acantha	ɑˈkɑnðə
acapulco	ˌækəˈpʊlkoʊ
accardi	ɑˈkɑɹdiː
accardo	ɑˈkɑɹdoʊ
accede	ækˈsiːd
acceded	ækˈsiːdəd
accedes	ækˈsiːdz
acceding	ækˈsiːdɪŋ
accel	əkˈsɛl
accelerant	ækˈsɛləɹənt
accelerants	ækˈsɛləɹənts
accelerate	ækˈsɛləɹˌeɪt
accelerated	ækˈsɛləɹˌeɪtəd
accelerates	ækˈsɛləɹˌeɪts
accelerating	ækˈsɛləɹˌeɪtɪŋ
acceleration	ˌækˌsɛləɹˈeɪʃən
accelerator	ækˈsɛləɹˌeɪtəɹ
accelerometer	ækˌsɛləɹˈɑmətəɹ
accelerometers	ækˌsɛləɹˈɑmətəɹz
accent	əkˈsɛnt
accent	ˈækˌsɛnt
accented	ˈæksɛntəd
accenting	ˈæksɛntɪŋ
accents	ˈæksɛnts
accentuate	əkˈsɛnʧuːeɪt
accentuated	ækˈsɛnʧəˌweɪtəd
accentuates	əkˈsɛnʧuːeɪts
accentuating	ækˈsɛnʧəˌweɪtɪŋ
accept	ækˈsɛpt
accept	əkˈsɛpt
acceptability	əkˌsɛptəˈbɪlətiː
acceptable	ækˈsɛptəbəl
acceptable	əkˈsɛptəbəl
acceptance	ækˈsɛptəns
acceptance	əkˈsɛptəns
acceptances	ækˈsɛptənsəz
accepted	ækˈsɛptəd
accepted	əkˈsɛptəd
accepting	ækˈsɛptɪŋ
accepting	əkˈsɛptɪŋ
accepts	ækˈsɛpts
access	ˈækˌsɛs
accessed	ˈækˌsɛst
accessibility	ˌæksɛsəˈbɪlətiː
accessible	ækˈsɛsəbəl
accessing	ˈækˌsɛsɪŋ
accession	əkˈsɛʃən
accessories	ækˈsɛsəɹiːz
accessorize	ækˈsɛsəɹˌaɪz
accessorized	ækˈsɛsəɹˌaɪzd
accessorizing	ækˈsɛsəˌɹaɪzɪŋ
accessory	ækˈsɛsəɹiː
accetta	ɑˈʧɛtə
accident	ˈæksədənt
accidental	ˌæksəˈdɛntəl
accidental	ˌæksəˈdɛnəl
accidentally	ˌæksəˈdɛntəliː
accidentally	ˌæksəˈdɛnəliː
accidently	ˈæksədəntliː
accidents	ˈæksədənts
accion	ˈæʧiːən
accival	ˈæsɪˌvɑl
acclaim	əˈkleɪm
acclaimed	əˈkleɪmd
acclaiming	əˈkleɪmɪŋ
acclimate	ˈækləˌmeɪt
acclimated	ˈækləˌmeɪtəd
acclimation	ˌækləˈmeɪʃən
acco	ˈækoʊ
accola	ɑˈkoʊlə
accolade	ˈækəˌleɪd
accolades	ˈækəˌleɪdz
accomando	ɑkoʊˈmɑndoʊ
accommodate	əˈkɑməˌdeɪt
accommodated	əˈkɑməˌdeɪtəd
accommodates	əˈkɑməˌdeɪts
accommodating	əˈkɑməˌdeɪtɪŋ
accommodation	əˌkɑməˈdeɪʃən
accommodations	əˌkɑməˈdeɪʃənz
accommodative	əˈkɑməˌdeɪtɪv
accompanied	əˈkʌmpəniːd
accompanies	əˈkʌmpəniːz
accompaniment	əˈkʌmpnəmənt
accompaniment	əˈkʌmpniːmənt
accompaniments	əˈkʌmpnəmənts
accompaniments	əˈkʌmpniːmənts
accompanist	əˈkʌmpənəst
accompany	əˈkʌmpəniː
accompanying	əˈkʌmpəniːɪŋ
accompli	ˌɑˈkɑmpliː
accompli	əˈkɑmpliː
accomplice	əˈkɑmpləs
accomplices	əˈkɑmpləsəz
accomplish	əˈkɑmplɪʃ
accomplished	əˈkɑmplɪʃt
accomplishes	əˈkɑmplɪʃəz
accomplishing	əˈkɑmplɪʃɪŋ
accomplishment	əˈkɑmplɪʃmənt
accomplishments	əˈkɑmplɪʃmənts
accor	ˈæˌkɔɹ
accord	əˈkɔɹd
accordance	əˈkɔɹdəns
accorded	əˈkɔɹdəd
according	əˈkɔɹdɪŋ
accordingly	əˈkɔɹdɪŋliː
accordion	əˈkɔɹdiːən
accordions	əˈkɔɹdiːənz
accords	əˈkɔɹdz
accost	əˈkɑst
accosted	əˈkɑstəd
accosting	əˈkɑstɪŋ
account	əˈkaʊnt
accountability	əˈkaʊntəˌbɪlətiː
accountability	əˈkaʊnəˌbɪlətiː
accountable	əˈkaʊntəbəl
accountable	əˈkaʊnəbəl
accountancy	əˈkaʊntənsiː
accountant	əˈkaʊntənt
accountants	əˈkaʊntənts
accounted	əˈkaʊntəd
accounted	əˈkaʊnəd
accountemp	əˈkaʊnˌtɛmp
accountemps	əˈkaʊnˌtɛmps
accounting	əˈkaʊntɪŋ
accounting	əˈkaʊnɪŋ
accounts	əˈkaʊnts
accouterment	əˈkuːtəɹmənt
accouterments	əˈkuːtəɹmənts
accredit	əˌkɹɛdət
accreditation	əˌkɹɛdəˈteɪʃən
accreditations	əˌkɹɛdəˈdeɪʃənz
accredited	əˈkɹɛdətəd
accrediting	əˈkɹɛdətɪŋ
accretion	əˈkɹiːʃən
accrual	əˈkɹuːəl
accruals	əˈkɹuːəlz
accrue	əˈkɹuː
accrued	əˈkɹuːd
accrues	əˈkɹuːz
accruing	əˈkɹuːɪŋ
accumulate	əˈkjuːmjəˌleɪt
accumulated	əˈkjuːmjəˌleɪtəd
accumulates	əˈkjuːmjəˌleɪts
accumulating	əˈkjuːmjəˌleɪtɪŋ
accumulation	əˌkjuːmjəˈleɪʃən
accumulations	əˌkjuːmjəˈleɪʃənz
accumulative	əˈkjuːmjəˌleɪtɪv
accumulatively	əˈkjuːmjəˌleɪtɪvliː
accumulatively	əˈkjuːmjələtɪvliː
accumulator	əˈkjuːmjəˌleɪtəɹ
accumulators	əˈkjuːmjəˌleɪtəɹz
accuracies	ˈækjəɹəsiːz
accuracy	ˈækjəɹəsiː
accurate	ˈækjəɹət
accurately	ˈækjəɹətliː
accuray	ˈækjəɹˌeɪ
accuride	ˈækjəɹˌaɪd
accurso	ɑˈkʊɹsoʊ
accusation	ˌækjəˈzeɪʃən
accusation	ˌækjuːˈzeɪʃən
accusations	ˌækjəˈzeɪʃənz
accusations	ˌækjuːˈzeɪʃənz
accusative	əˈkjuːzətɪv
accusatory	əˈkjuːzəˌtɔɹiː
accuse	əˈkjuːz
accused	əˈkjuːzd
accuser	əˈkjuːzəɹ
accusers	əˈkjuːzəɹz
accuses	əˈkjuːzəz
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋliː
accustom	əˈkʌstəm
accustomed	əˈkʌstəmd
accutane	ˈækjuːˌteɪn
ace	ˈeɪs
aced	ˈeɪst
acer	ˈeɪsəɹ
acerbic	əˈsɛɹbɪk
acero	əˈsɛɹoʊ
acerra	əˈsɛɹə
aces	ˈeɪsəz
acetaminophen	əˌsiːtəˈmɪnəfən
acetate	ˈæsəˌteɪt
acetic	əˈsɛtɪk
acetic	əˈsiːtɪk
aceto	ɑˈsɛtoʊ
acetone	ˈæsəˌtoʊn
acetylcholine	əˌsɛtəlˈkoʊliːn
acetylcholine	əˌsiːtəlˈkoʊliːn
acetylene	əˈsɛtəˌliːn
acevedo	æsəˈveɪdoʊ
aceves	ɑˈseɪvɛs
acey	ˈeɪsiː
achatz	ˈækəts
ache	ˈeɪk
achebe	ɑˈʧeɪbiː
achee	əˈʧiː
achenbach	ˈækənbɑk
achenbaum	ˈækənˌbaʊm
aches	ˈeɪks
acheson	ˈæʧəsən
achey	ˈæʧiː
achievable	əˈʧiːvəbəl
achieve	əˈʧiːv
achieved	əˈʧiːvd
achievement	əˈʧiːvmənt
achievements	əˈʧiːvmənts
achiever	əˈʧiːvəɹ
achievers	əˈʧiːvəɹz
achieves	əˈʧiːvz
achieving	əˈʧiːvɪŋ
achille	əˈkɪliː
achilles	əˈkɪliːz
aching	ˈeɪkɪŋ
achmed	ˈɑhmɛd
achoa	əˈʧoʊə
achoo	æˈʧuː
achor	ˈeɪkəɹ
achord	ˈækɔɹd
achorn	ˈækəɹn
achtenberg	ˈæktɛnbəɹg
achterberg	ˈæktəɹbəɹg
achy	ˈeɪkiː
acid	ˈæsəd
acidic	əˈsɪdɪk
acidification	əˌsɪdəfəˈkeɪʃən
acidified	əˈsɪdəˌfaɪd
acidifies	əˈsɪdəˌfaɪz
acidify	əˈsɪdəˌfaɪ
acidity	əˈsɪdətiː
acidly	ˈæsədliː
acidosis	ˌæsəˈdoʊsəs
acids	ˈæsədz
aciduria	ˌæsəˈdʊɹiːə
acierno	ɑˈsɪɹnoʊ
ack	ˈæk
acker	ˈækəɹ
ackerley	ˈækəɹliː
ackerly	ˈækəɹliː
ackerman	ˈækəɹmən
ackermann	ˈækəɹmən
ackerson	ˈækəɹsən
ackert	ˈækəɹt
ackhouse	ˈækˌhaʊs
ackland	ˈæklənd
ackles	ˈækəlz
ackley	ˈækliː
acklin	ˈækˌlɪn
ackman	ˈækmən
acknowledge	ækˈnɑlɪʤ
acknowledge	ɪkˈnɑlɪʤ
acknowledgeable	ækˈnɑlɪʤəbəl
acknowledgeable	ɪkˈnɑlɪʤəbəl
acknowledged	ækˈnɑlɪʤd
acknowledged	ɪkˈnɑlɪʤd
acknowledgement	ækˈnɑlɪʤmənt
acknowledgement	ɪkˈnɑlɪʤmənt
acknowledges	ækˈnɑlɪʤəz
acknowledges	ɪkˈnɑlɪʤəz
acknowledging	ækˈnɑlɪʤɪŋ
acknowledging	ɪkˈnɑlɪʤɪŋ
acknowledgment	ækˈnɑlɪʤmənt
acknowledgment	ɪkˈnɑlɪʤmənt
ackroyd	ˈækˌɹɔɪd
acmat	ˈækmæt
acme	ˈækmiː
acne	ˈækniː
acocella	ɑkoʊˈʧɛlə
acoff	ˈækɑf
acog	əˈkɑg
acolyte	ˈækəˌlaɪt
acolytes	ˈækəˌlaɪts
acord	əˈkɔɹd
acorn	ˈeɪkɔɹn
acorns	ˈeɪkɔɹnz
acosta	əˈkɑstə
acoustic	əˈkuːstɪk
acoustical	əˈkuːstɪkəl
acoustically	əˈkuːstɪkliː
acoustics	əˈkuːstɪks
acquaint	əˈkweɪnt
acquaintance	əˈkweɪntəns
acquaintances	əˈkweɪntənsəz
acquaintanceship	əˈkweɪntənsʃəp
acquainted	əˈkweɪntəd
acquainted	əˈkweɪnəd
acquaviva	ɑkwɑˈviːvə
acquiesce	ˌækwiːˈɛs
acquiesced	ˌækwiːˈɛst
acquiescence	ˌækwiːˈɛsəns
acquiescing	ˌækwiːˈɛsɪŋ
acquire	əˈkwaɪəɹ
acquired	əˈkwaɪəɹd
acquirer	əˈkwaɪəɹəɹ
acquirers	əˈkwaɪəɹəɹz
acquires	əˈkwaɪəɹz
acquiring	əˈkwaɪɹɪŋ
acquiring	əˈkwaɪəɹɪŋ
acquisition	ˌækwəˈzɪʃən
acquisitions	ˌækwəˈzɪʃənz
acquisitive	əˈkwɪzətɪv
acquit	əˈkwɪt
acquitaine	ˈækwəˌteɪn
acquits	əˈkwɪts
acquittal	əˈkwɪtəl
acquittals	əˈkwɪtəlz
acquitted	əˈkwɪtəd
acquitting	əˈkwɪtɪŋ
acre	ˈeɪkəɹ
acreage	ˈeɪkɹəʤ
acree	əˈkɹiː
acres	ˈeɪkəɹz
acrey	ˈækɹiː
acri	ˈɑkɹiː
acrid	ˈækɹəd
acrimonious	ˌækɹəˈmoʊniːəs
acrimony	ˈækɹəˌmoʊniː
acrobat	ˈækɹəˌbæt
acrobatic	ˌækɹəˈbætɪk
acrobatics	ˌækɹəˈbætɪks
acrobats	ˈækɹəˌbæts
acronym	ˈækɹənəm
acronyms	ˈækɹənəmz
acropolis	əˈkɹɑpələs
across	əˈkɹɑs
acrylic	əˈkɹɪlɪk
acrylics	əˈkɹɪlɪks
act	ˈækt
actava	ˌækˈtɑvə
acted	ˈæktəd
actigall	ˈæktɪgɑl
actin	ˈæktən
acting	ˈæktɪŋ
actinide	ˈæktəˌnaɪd
actinidia	ˌæktəˈnɪdiːə
action	ˈækʃən
actionable	ˈækʃənəbəl
actions	ˈækʃənz
activase	ˈæktɪˌveɪz
activate	ˈæktəˌveɪt
activated	ˈæktɪˌveɪtəd
activates	ˈæktəˌveɪts
activating	ˈæktəˌveɪtɪŋ
activation	ˌæktəˈveɪʃən
activator	ˈæktəˌveɪtəɹ
active	ˈæktɪv
actively	ˈæktɪvliː
actives	ˈæktɪvz
activision	ˈæktɪˌvɪʒən
activism	ˈæktɪˌvɪzəm
activist	ˈæktɪvəst
activists	ˈæktəvəsts
activists	ˈæktɪvəss
activists	ˈæktɪvəs
activities	ækˈtɪvətiːz
activity	ækˈtɪvətiː
actmedia	æktˈmiːdiːə
actodine	ˈæktoʊˌdaɪn
acton	ˈæktən
actor	ˈæktəɹ
actors	ˈæktəɹz
actress	ˈæktɹəs
actresses	ˈæktɹəsəz
acts	ˈækts
acts	ˈæks
actual	ˈækʧəwəl
actual	ˈækʃəl
actuality	ˌækʧəˈwælətiː
actualize	ˈækʧəwəˌlaɪz
actually	ˈækʧəwəliː
actually	ˈækʃliː
actually	ˈækʧliː
actually	ˈækʃəliː
actuarial	ˌækʧəˈwɛɹiːəl
actuaries	ˈækʧəˌwɛɹiːz
actuary	ˈækʧəˌwɛɹiː
actuate	ˈækʧəˌweɪt
actuator	ˈæktjuːˌeɪtəɹ
actuator	ˈækʧuːˌeɪtəɹ
actuators	ˈæktjuːˌeɪtəɹz
actuators	ˈækʧuːˌeɪtəɹz
actus	ˈæktəs
acuff	əˈkʌf
acuity	əˈkjuːətiː
acumen	əˈkjuːmən
acuna	ɑˈkuːnə
acupuncture	ˈækjuːˌpʌŋkʧəɹ
acura	ˈækjəɹə
acuras	ˈækjəɹəz
acuson	ˌækˈjuːsən
acustar	ˈækjuːsˌtɑɹ
acusyst	ˈækjuːˌsɪst
acute	əˈkjuːt
acutely	əˈkjuːtliː
acuteness	əˈkjuːtnəs
acyclovir	əˈsɪkloʊˌvɪɹ
ad	ˈæd
ada	ˈeɪdə
adabel	ˈædəbɛl
adabelle	ˈædəbəl
adachi	ɑˈdɑkiː
adage	ˈædəʤ
adagio	əˈdɑʒiːˌoʊ
adah	ˈædɑ
adair	əˈdɛɹ
adaire	ɑˈdɛɹ
adak	əˈdæk
adalah	ɑˈdɑlə
adalia	ɑˈdɑliːə
adam	ˈædəm
adamant	ˈædəmənt
adamantly	ˈædəməntliː
adamcik	ˈɑdəmʧɪk
adamczak	ˈɑdəmʧæk
adamczyk	ˈɑdəmʧɪk
adame	ɑˈdɑmiː
adamec	əˈdɑmɪk
adamek	əˈdɑmɛk
adames	əˈdeɪmz
adami	ɑˈdɑmiː
adamik	əˈdɑmɪk
adamina	ɑdɑˈmiːnə
adamkus	ˈædəmkəs
adamo	ɑˈdɑmoʊ
adamowicz	əˈdɑməvɪʧ
adams	ˈædəmz
