'em	əm
abducts	æbˈdʌkts
abdul	æbˈduɫ
abdulaziz	æbˌduləˈziz
abdulla	ɑbˈdulə
abdullah	ˌæbˈdʌlə
abe	ˈeb
abed	əˈbɛd
abedi	əˈbɛɾi
abee	əˈbi
abel	ˈebɫ̩
abela	ɑˈbɛlə
abelard	ˈæbəlɚd
abele	əˈbiɫ
abeles	əˈbiɫz
abeles	ˈebəˌliz
abell	ˈebɫ̩
abella	əˈbɛlə
abeln	ˈæbɛɫn
abelow	ˈæbəlo
abels	ˈebɫ̩z
abelson	ˈæbɫ̩sn̩
abend	ˈæbɛnd
abend	əˈbɛnd
abendroth	ˈæbn̩dɹɑθ
aber	ˈebɚ
abercrombie	ˌæbɚˈkɹɑmbi
aberdeen	ˈæbɚˌdin
aberford	ˈebɚfɚd
aberg	ˈæbɚg
aberle	ˈæbəɹɫ̩
abermin	ˈæbɚˌmɪn
abernathy	ˈæbɚˌnæθi
abernethy	ˈæbɚˌnɛθi
aberrant	æˈbɛɹn̩t
aberration	ˌæbəˈɹeʃn̩
aberrational	ˌæbəˈɹeʃənɫ̩
aberrations	ˌæbəˈɹeʃn̩z
abert	ˈæbɚt
abet	əˈbɛt
abetted	əˈbɛɾəd
abetting	əˈbɛɾɪŋ
abex	ˈebɛks
abeyance	əˈbeəns
abeyta	ɑˈbeɾə
abhor	æbˈhɔ͡ɚ
abhorred	əbˈhɔ͡ɚd
abhorrence	əbˈhɔɹn̩s
abhorrent	æbˈhɔɹn̩t
abhors	əbˈhɔ͡ɚz
abid	ˈebəd
abide	əˈba͡ɪd
abided	əˈba͡ɪɾəd
abides	əˈba͡ɪdz
abiding	əˈba͡ɪɾɪŋ
abie	ˈæbi
abigail	ˈæbəˌgeɫ
abila	ɑˈbilə
abilene	ˈæbəˌlin
abilities	əˈbɪlətiz
ability	əˈbɪləti
abington	ˈæbɪŋtn̩
abio	ˈɑbio
abiola	ˌɑbiˈolə
abiomed	eˈbiəmɛd
abitibi	ˌæbəˈtibi
abitz	ˈæˌbɪts
abject	ˈæbʤɛkt
abkhazia	æbkˈhɑzjə
abkhazia	æbkˈhæzjə
abkhazian	æbkˈhɑziən
abkhazian	æbkˈhæziən
abkhazian	æbkˈhɑzjn̩
abkhazian	æbkˈhæzjn̩
abkhazians	æbkˈhɑziənz
abkhazians	æbkˈhæziənz
ablaze	əˈblez
able	ˈebɫ̩
abled	ˈebɫ̩d
abler	ˈebəlɚ
abler	ˈeblɚ
ables	ˈebɫ̩z
ablest	ˈebləst
abloom	əˈblum
ably	ˈebli
abner	ˈæbnɚ
abney	ˈæbni
abnormal	æbˈnɔ͡ɚmɫ̩
abnormalities	ˌæbnɔ͡ɚˈmælətiz
abnormality	ˌæbnɔ͡ɚˈmæləti
abnormally	æbˈnɔ͡ɚməli
abo	ˈɑbo
aboard	əˈbɔ͡ɚd
abode	əˈbod
abolish	əˈbɑˌlɪʃ
abolished	əˈbɑˌlɪʃt
abolishes	əˈbɑˌlɪʃəz
abolishing	əˈbɑˌlɪʃɪŋ
abolition	ˌæbəˈlɪʃn̩
abolitionism	ˌæbəˈlɪʃəˌnɪzm̩
abolitionist	ˌæbəˈlɪʃənəst
abolitionists	ˌæbəˈlɪʃənəsts
abolitionists	ˌæbəˈlɪʃənəss
abolitionists	ˌæbəˈlɪʃənəs
abominable	əˈbɑmənəbɫ̩
abomination	əˌbɑməˈneʃn̩
abood	əˈbud
aboodi	əˈbuɾi
aboriginal	ˌæˈbəɹɪʤənɫ̩
aborigine	ˌæˈbəɹɪʤəni
aborigines	ˌæˈbəɹɪʤəniz
aborn	əˈbɔ͡ɚn
abort	əˈbɔ͡ɚt
aborted	əˈbɔ͡ɚtəd
abortifacient	əˌbɔ͡ɚtəˈfeʃn̩t
abortifacients	əˌbɔ͡ɚtəˈfeʃn̩ts
aborting	əˈbɔ͡ɚtɪŋ
abortion	əˈbɔ͡ɚʃn̩
abortionist	əˈbɔ͡ɚʃənəst
abortionists	əˈbɔ͡ɚʃənəsts
abortionists	əˈbɔ͡ɚʃənəss
abortionists	əˈbɔ͡ɚʃənəs
abortions	əˈbɔ͡ɚʃn̩z
abortive	əˈbɔ͡ɚtɪv
abott	əˈbɑt
abou	əˈbu
aboud	ɑˈbud
abouhalima	ˌɑbuhɑˈlimə
abound	əˈba͡ʊnd
abounded	əˈba͡ʊndəd
abounding	əˈba͡ʊndɪŋ
abounds	əˈba͡ʊndz
about	əˈba͡ʊt
above	əˈbʌv
aboveboard	əˈbʌvˌbɔ͡ɚd
abplanalp	ˈæbplənæɫp
abra	ˈɑbɹə
abracadabra	ˌæbɹəkəˈdæbɹə
abraham	ˈebɹəˌhæm
abrahamian	ˌæbɹəˈhemiən
abrahams	ˈebɹəˌhæmz
abrahamsen	æbɹəˈhæmsn̩
abrahamson	əˈbɹæhm̩sn̩
abram	əˈbɹæm
abramczyk	ˈɑbɹm̩ʧɪk
abramo	ɑˈbɹɑmo
abramovitz	əˈbɹɑməˌvɪts
abramowicz	əˈbɹɑməˌvɪʧ
abramowitz	əˈbɹɑməˌwɪts
abrams	ˈebɹm̩z
abramson	ˈebɹm̩sn̩
abrasion	əˈbɹeʒn̩
abrasions	əˈbɹeʒn̩z
abrasive	əˈbɹesɪv
abrasives	əˈbɹesɪvz
abreast	əˈbɹɛst
abrego	ɑˈbɹɛgo
abreu	əˈbɹu
abridge	əˈbɹɪʤ
abridged	əˈbɹɪʤd
abril	əˈbɹɪɫ
abroad	əˈbɹɑd
abrogate	ˈæbɹəˌget
abrogated	ˈæbɹəˌgeɾəd
abrogating	ˈæbɹəˌgeɾɪŋ
abrogation	ˌæbɹəˈgeʃn̩
abron	əˈbɹɑn
abrupt	əˈbɹʌpt
abruptly	əˈbɹʌptli
abruptness	əˈbɹʌptnəs
abrutyn	ˈebɹətn̩
abruzzese	ɑbɹutˈsezi
abruzzo	ɑˈbɹuzo
abs	ˈeˈbiɛs
abs	ˈæbz
absalom	ˈæbsəlm̩
abscam	ˈæbskæm
abscess	ˈæbˌsɛs
absence	ˈæbsn̩s
absences	ˈæbsn̩səz
absent	ˈæbsn̩t
absentee	ˌæbsn̩ˈti
absenteeism	ˌæbsn̩ˈtiˌɪzm̩
absentees	ˌæbsn̩ˈtiz
absentia	æbˈsɛnʃə
absher	ˈæbʃɚ
abshier	ˈæbʃiɚ
abshire	ˈæbˌʃa͡ɪɚ
abso	ˈæbso
absolom	ˈæbsəlm̩
absolut	ˌæbsəˈlut
absolute	ˈæbsəˌlut
absolutely	ˌæbsəˈlutli
absoluteness	ˈæbsəˌlutnəs
absolutes	ˈæbsəˌluts
absolution	ˌæbsəˈluʃn̩
absolutism	ˈæbsəˌluˌtɪzm̩
absolutist	æbsəˈluɾəst
absolve	əbˈzɑɫv
absolve	æbˈzɑɫv
absolved	əbˈzɑɫvd
absolved	æbˈzɑɫvd
absolves	əbˈzɑɫvz
absolves	æbˈzɑɫvz
absolving	əbˈzɑɫvɪŋ
absolving	æbˈzɑɫvɪŋ
absorb	əbˈzɔ͡ɚb
absorbed	əbˈzɔ͡ɚbd
absorbency	əbˈzɔ͡ɚbn̩si
absorbent	əbˈzɔ͡ɚbn̩t
absorber	əbˈzɔ͡ɚbɚ
absorbers	əbˈzɔ͡ɚbɚz
absorbing	əbˈzɔ͡ɚbɪŋ
absorbs	əbˈzɔ͡ɚbz
absorption	əbˈzɔ͡ɚpʃn̩
absorption	əbˈsɔ͡ɚpʃn̩
abstain	əbˈsten
abstain	æbˈsten
abstained	əbˈstend
abstained	æbˈstend
abstaining	əbˈstenɪŋ
abstaining	æbˈstenɪŋ
abstention	əbˈstɛnʧn̩
abstention	æbˈstɛnʧn̩
abstentions	əbˈstɛnʧn̩z
abstentions	æbˈstɛnʧn̩z
abstinence	ˈæbstənn̩s
abstinent	ˈæbstənn̩t
abston	ˈæbstn̩
abstract	æbˈstɹækt
abstract	ˈæbˌstɹækt
abstracted	ˈæbˌstɹæktəd
abstraction	æbˈstɹækʃn̩
abstractions	æbˈstɹækʃn̩z
abstracts	ˈæbstɹækts
abstruse	əbˈstɹus
absurd	əbˈsɝd
absurdist	əbˈsɝˌdɪst
absurdities	əbˈsɝdətiz
absurdity	əbˈsɝdəti
absurdly	əbˈsɝdli
abt	ˈæbt
abt	ˈeˈbiɾi
abts	ˈæbts
abts	ˈeˈbiɾiz
abts	ˈeˈbiˈtiɛs
abu	ˈæbu
abudrahm	əˈbʌdɹm̩
abuela	ˈæbwɛlə
abuladze	ˌæbjuˈlædzi
abundance	əˈbʌndn̩s
abundant	əˈbʌndn̩t
abundantly	əˈbʌndn̩tli
aburto	əˈbʊ͡ɚˌto
abuse	əˈbjus
abuse	əˈbjuz
abused	əˈbjuzd
abuser	əˈbjuzɚ
abusers	əˈbjuzɚz
abuses	əˈbjusəz
abuses	əˈbjuzəz
abusing	əˈbjuzɪŋ
abusive	əˈbjusɪv
abut	əˈbʌt
abuts	əˈbʌts
abutted	əˈbʌɾəd
abutting	əˈbʌɾɪŋ
abuzz	əˈbʌz
abysmal	əˈbɪzmɫ̩
abysmally	əˈbɪzməli
abyss	əˈbɪs
abzug	ˈæbˌzʌg
abzug	ˈæbˌzʊg
ac	ˈesi
aca	ˈækə
acacia	əˈkeʃə
academe	ˈækəˌdim
academia	ˌækəˈdimiə
academic	ˌækəˈdɛmɪk
academically	ˌækəˈdɛmɪkli
academician	ˌækədəˈmɪʃn̩
academicians	ˌækədəˈmɪʃn̩z
academicians	əˌkæɾəˈmɪʃn̩z
academics	ˌækəˈdɛmɪks
academies	əˈkæɾəmiz
academy	əˈkæɾəmi
acadia	əˈkeɾiə
acampora	əˈkæmpəɹə
acantha	ɑˈkɑnðə
acapulco	ˌækəˈpʊɫko
accardi	ɑˈkɑ͡ɚdi
accardo	ɑˈkɑ͡ɚdo
accede	ækˈsid
acceded	ækˈsiɾəd
accedes	ækˈsidz
acceding	ækˈsiɾɪŋ
accel	əkˈsɛɫ
accelerant	ækˈsɛləɹn̩t
accelerants	ækˈsɛləɹn̩ts
accelerate	ækˈsɛləˌɹet
accelerated	ækˈsɛləˌɹeɾəd
accelerates	ækˈsɛləˌɹets
accelerating	ækˈsɛləˌɹeɾɪŋ
acceleration	ˌækˌsɛləˈɹeʃn̩
accelerator	ækˈsɛləˌɹeɾɚ
accelerometer	ækˌsɛləˈɹɑmətɚ
accelerometers	ækˌsɛləˈɹɑmətɚz
accent	əkˈsɛnt
accent	ˈækˌsɛnt
accented	ˈæksɛntəd
accenting	ˈæksɛntɪŋ
accents	ˈæksɛnts
accentuate	əkˈsɛnʧuet
accentuated	ækˈsɛnʧəˌweɾəd
accentuates	əkˈsɛnʧuets
accentuating	ækˈsɛnʧəˌweɾɪŋ
accept	ækˈsɛpt
accept	əkˈsɛpt
acceptability	əkˌsɛptəˈbɪləti
acceptable	ækˈsɛptəbɫ̩
acceptable	əkˈsɛptəbɫ̩
acceptance	ækˈsɛptn̩s
acceptance	əkˈsɛptn̩s
acceptances	ækˈsɛptn̩səz
accepted	ækˈsɛptəd
accepted	əkˈsɛptəd
accepting	ækˈsɛptɪŋ
accepting	əkˈsɛptɪŋ
accepts	ækˈsɛpts
access	ˈækˌsɛs
accessed	ˈækˌsɛst
accessibility	ˌæksɛsəˈbɪləti
accessible	ækˈsɛsəbɫ̩
accessing	ˈækˌsɛsɪŋ
accession	əkˈsɛʃn̩
accessories	ækˈsɛsəɹiz
accessorize	ækˈsɛsəˌɹa͡ɪz
accessorized	ækˈsɛsəˌɹa͡ɪzd
accessorizing	ækˈsɛsəˌɹa͡ɪzɪŋ
accessory	ækˈsɛsəɹi
accetta	ɑˈʧɛɾə
accident	ˈæksədn̩t
accidental	ˌæksəˈdɛntɫ̩
accidental	ˌæksəˈdɛnɫ̩
accidentally	ˌæksəˈdɛntəli
accidentally	ˌæksəˈdɛnəli
accidently	ˈæksədn̩tli
accidents	ˈæksədn̩ts
accion	ˈæʧiən
accival	ˈæsɪˌvɑɫ
acclaim	əˈklem
acclaimed	əˈklemd
acclaiming	əˈklemɪŋ
acclimate	ˈækləˌmet
acclimated	ˈækləˌmeɾəd
acclimation	ˌækləˈmeʃn̩
acco	ˈæko
accola	ɑˈkolə
accolade	ˈækəˌled
accolades	ˈækəˌledz
accomando	ɑkoˈmɑndo
accommodate	əˈkɑməˌdet
accommodated	əˈkɑməˌdeɾəd
accommodates	əˈkɑməˌdets
accommodating	əˈkɑməˌdeɾɪŋ
accommodation	əˌkɑməˈdeʃn̩
accommodations	əˌkɑməˈdeʃn̩z
accommodative	əˈkɑməˌdeɾɪv
accompanied	əˈkʌmpənid
accompanies	əˈkʌmpəniz
accompaniment	əˈkʌmpnəmn̩t
accompaniment	əˈkʌmpnimn̩t
accompaniments	əˈkʌmpnəmn̩ts
accompaniments	əˈkʌmpnimn̩ts
accompanist	əˈkʌmpənəst
accompany	əˈkʌmpəni
accompanying	əˈkʌmpəniɪŋ
accompli	ˌɑˈkɑmpli
accompli	əˈkɑmpli
accomplice	əˈkɑmpləs
accomplices	əˈkɑmpləsəz
accomplish	əˈkɑmplɪʃ
accomplished	əˈkɑmplɪʃt
accomplishes	əˈkɑmplɪʃəz
accomplishing	əˈkɑmplɪʃɪŋ
accomplishment	əˈkɑmplɪʃmn̩t
accomplishments	əˈkɑmplɪʃmn̩ts
accor	ˈæˌkɔ͡ɚ
accord	əˈkɔ͡ɚd
accordance	əˈkɔ͡ɚdn̩s
accorded	əˈkɔ͡ɚdəd
according	əˈkɔ͡ɚdɪŋ
accordingly	əˈkɔ͡ɚdɪŋli
accordion	əˈkɔ͡ɚdiən
accordions	əˈkɔ͡ɚdiənz
accords	əˈkɔ͡ɚdz
accost	əˈkɑst
accosted	əˈkɑstəd
accosting	əˈkɑstɪŋ
account	əˈka͡ʊnt
accountability	əˈka͡ʊntəˌbɪləti
accountability	əˈka͡ʊnəˌbɪləti
accountable	əˈka͡ʊntəbɫ̩
accountable	əˈka͡ʊnəbɫ̩
accountancy	əˈka͡ʊntn̩si
accountant	əˈka͡ʊntn̩t
accountants	əˈka͡ʊntn̩ts
accounted	əˈka͡ʊntəd
accounted	əˈka͡ʊnəd
accountemp	əˈka͡ʊnˌtɛmp
accountemps	əˈka͡ʊnˌtɛmps
accounting	əˈka͡ʊntɪŋ
accounting	əˈka͡ʊnɪŋ
accounts	əˈka͡ʊnts
accouterment	əˈkuɾɚmn̩t
accouterments	əˈkuɾɚmn̩ts
accredit	əˌkɹɛɾət
accreditation	əˌkɹɛɾəˈteʃn̩
accreditations	əˌkɹɛɾəˈdeʃn̩z
accredited	əˈkɹɛɾətəd
accrediting	əˈkɹɛɾətɪŋ
accretion	əˈkɹiʃn̩
accrual	əˈkɹuəɫ
accruals	əˈkɹuəɫz
accrue	əˈkɹu
accrued	əˈkɹud
accrues	əˈkɹuz
accruing	əˈkɹuɪŋ
accumulate	əˈkjumjəˌlet
accumulated	əˈkjumjəˌleɾəd
accumulates	əˈkjumjəˌlets
accumulating	əˈkjumjəˌleɾɪŋ
accumulation	əˌkjumjəˈleʃn̩
accumulations	əˌkjumjəˈleʃn̩z
accumulative	əˈkjumjəˌleɾɪv
accumulatively	əˈkjumjəˌleɾɪvli
accumulatively	əˈkjumjələtɪvli
accumulator	əˈkjumjəˌleɾɚ
accumulators	əˈkjumjəˌleɾɚz
accuracies	ˈækjəɹəsiz
accuracy	ˈækjəɹəsi
accurate	ˈækjəɹət
accurately	ˈækjəɹətli
accuray	ˈækjəˌɹe
accuride	ˈækjəˌɹa͡ɪd
accurso	ɑˈkʊ͡ɚso
accusation	ˌækjəˈzeʃn̩
accusation	ˌækjuˈzeʃn̩
accusations	ˌækjəˈzeʃn̩z
accusations	ˌækjuˈzeʃn̩z
accusative	əˈkjuzətɪv
accusatory	əˈkjuzəˌtɔɹi
accuse	əˈkjuz
accused	əˈkjuzd
accuser	əˈkjuzɚ
accusers	əˈkjuzɚz
accuses	əˈkjuzəz
accusing	əˈkjuzɪŋ
accusingly	əˈkjuzɪŋli
accustom	əˈkʌstm̩
accustomed	əˈkʌstm̩d
accutane	ˈækjuˌten
ace	ˈes
aced	ˈest
acer	ˈesɚ
acerbic	əˈsɝbɪk
acero	əˈsɛɹo
acerra	əˈsɛɹə
aces	ˈesəz
acetaminophen	əˌsiɾəˈmɪnəfn̩
acetate	ˈæsəˌtet
acetic	əˈsɛɾɪk
acetic	əˈsiɾɪk
aceto	ɑˈsɛɾo
acetone	ˈæsəˌton
acetylcholine	əˌsɛɾɫ̩ˈkolin
acetylcholine	əˌsiɾɫ̩ˈkolin
acetylene	əˈsɛɾəˌlin
acevedo	æsəˈveɾo
aceves	ɑˈsevɛs
acey	ˈesi
achatz	ˈækəts
ache	ˈek
achebe	ɑˈʧebi
achee	əˈʧi
achenbach	ˈækn̩bɑk
achenbaum	ˈækn̩ˌba͡ʊm
aches	ˈeks
acheson	ˈæʧəsn̩
achey	ˈæʧi
achievable	əˈʧivəbɫ̩
achieve	əˈʧiv
achieved	əˈʧivd
achievement	əˈʧivmn̩t
achievements	əˈʧivmn̩ts
achiever	əˈʧivɚ
achievers	əˈʧivɚz
achieves	əˈʧivz
achieving	əˈʧivɪŋ
achille	əˈkɪli
achilles	əˈkɪliz
aching	ˈekɪŋ
achmed	ˈɑhmɛd
achoa	əˈʧoə
achoo	æˈʧu
achor	ˈekɚ
achord	ˈækɔ͡ɚd
achorn	ˈækɚn
achtenberg	ˈæktɛnbɚg
achterberg	ˈæktɚbɚg
achy	ˈeki
acid	ˈæsəd
acidic	əˈsɪɾɪk
acidification	əˌsɪɾəfəˈkeʃn̩
acidified	əˈsɪɾəˌfa͡ɪd
acidifies	əˈsɪɾəˌfa͡ɪz
acidify	əˈsɪɾəˌfa͡ɪ
acidity	əˈsɪɾəti
acidly	ˈæsədli
acidosis	ˌæsəˈdosəs
acids	ˈæsədz
aciduria	ˌæsəˈdʊɹiə
acierno	ɑˈsɪ͡ɚno
ack	ˈæk
acker	ˈækɚ
ackerley	ˈækɚli
ackerly	ˈækɚli
ackerman	ˈækɚmn̩
ackermann	ˈækɚmn̩
ackerson	ˈækɚsn̩
ackert	ˈækɚt
ackhouse	ˈækˌha͡ʊs
ackland	ˈækln̩d
ackles	ˈækɫ̩z
ackley	ˈækli
acklin	ˈækˌlɪn
ackman	ˈækmn̩
acknowledge	ækˈnɑlɪʤ
acknowledge	ɪkˈnɑlɪʤ
acknowledgeable	ækˈnɑlɪʤəbɫ̩
acknowledgeable	ɪkˈnɑlɪʤəbɫ̩
acknowledged	ækˈnɑlɪʤd
acknowledged	ɪkˈnɑlɪʤd
acknowledgement	ækˈnɑlɪʤmn̩t
acknowledgement	ɪkˈnɑlɪʤmn̩t
acknowledges	ækˈnɑlɪʤəz
acknowledges	ɪkˈnɑlɪʤəz
acknowledging	ækˈnɑlɪʤɪŋ
acknowledging	ɪkˈnɑlɪʤɪŋ
acknowledgment	ækˈnɑlɪʤmn̩t
acknowledgment	ɪkˈnɑlɪʤmn̩t
ackroyd	ˈækˌɹɔ͡ɪd
acmat	ˈækmæt
acme	ˈækmi
acne	ˈækni
acocella	ɑkoˈʧɛlə
acoff	ˈækɑf
acog	əˈkɑg
acolyte	ˈækəˌla͡ɪt
acolytes	ˈækəˌla͡ɪts
acord	əˈkɔ͡ɚd
acorn	ˈekɔ͡ɚn
acorns	ˈekɔ͡ɚnz
acosta	əˈkɑstə
acoustic	əˈkustɪk
acoustical	əˈkustɪkɫ̩
acoustically	əˈkustɪkli
acoustics	əˈkustɪks
acquaint	əˈkwent
acquaintance	əˈkwentn̩s
acquaintances	əˈkwentn̩səz
acquaintanceship	əˈkwentn̩sʃəp
acquainted	əˈkwentəd
acquainted	əˈkwenəd
acquaviva	ɑkwɑˈvivə
acquiesce	ˌækwiˈɛs
acquiesced	ˌækwiˈɛst
acquiescence	ˌækwiˈɛsn̩s
acquiescing	ˌækwiˈɛsɪŋ
acquire	əˈkwa͡ɪɚ
acquired	əˈkwa͡ɪɚd
acquirer	əˈkwa͡ɪəɹɚ
acquirers	əˈkwa͡ɪəɹɚz
acquires	əˈkwa͡ɪɚz
acquiring	əˈkwa͡ɪɹɪŋ
acquiring	əˈkwa͡ɪəɹɪŋ
acquisition	ˌækwəˈzɪʃn̩
acquisitions	ˌækwəˈzɪʃn̩z
acquisitive	əˈkwɪzətɪv
acquit	əˈkwɪt
acquitaine	ˈækwəˌten
acquits	əˈkwɪts
acquittal	əˈkwɪɾɫ̩
acquittals	əˈkwɪɾɫ̩z
acquitted	əˈkwɪɾəd
acquitting	əˈkwɪɾɪŋ
acre	ˈekɚ
acreage	ˈekɹəʤ
acree	əˈkɹi
acres	ˈekɚz
acrey	ˈækɹi
acri	ˈɑkɹi
acrid	ˈækɹəd
acrimonious	ˌækɹəˈmoniəs
acrimony	ˈækɹəˌmoni
acrobat	ˈækɹəˌbæt
acrobatic	ˌækɹəˈbæɾɪk
acrobatics	ˌækɹəˈbæɾɪks
acrobats	ˈækɹəˌbæts
acronym	ˈækɹənm̩
acronyms	ˈækɹənm̩z
acropolis	əˈkɹɑpələs
across	əˈkɹɑs
acrylic	əˈkɹɪlɪk
acrylics	əˈkɹɪlɪks
act	ˈækt
actava	ˌækˈtɑvə
acted	ˈæktəd
actigall	ˈæktɪgɑɫ
actin	ˈæktn̩
acting	ˈæktɪŋ
actinide	ˈæktəˌna͡ɪd
actinidia	ˌæktəˈnɪɾiə
action	ˈækʃn̩
actionable	ˈækʃənəbɫ̩
actions	ˈækʃn̩z
activase	ˈæktɪˌvez
activate	ˈæktəˌvet
activated	ˈæktɪˌveɾəd
activates	ˈæktəˌvets
activating	ˈæktəˌveɾɪŋ
activation	ˌæktəˈveʃn̩
activator	ˈæktəˌveɾɚ
active	ˈæktɪv
actively	ˈæktɪvli
actives	ˈæktɪvz
activision	ˈæktɪˌvɪʒn̩
activism	ˈæktɪˌvɪzm̩
activist	ˈæktɪvəst
activists	ˈæktəvəsts
activists	ˈæktɪvəss
activists	ˈæktɪvəs
activities	ækˈtɪvətiz
activity	ækˈtɪvəti
actmedia	æktˈmiɾiə
actodine	ˈæktoˌda͡ɪn
acton	ˈæktn̩
actor	ˈæktɚ
actors	ˈæktɚz
actress	ˈæktɹəs
actresses	ˈæktɹəsəz
acts	ˈækts
acts	ˈæks
actual	ˈækʧəwɫ̩
actual	ˈækʃɫ̩
actuality	ˌækʧəˈwæləti
actualize	ˈækʧəwəˌla͡ɪz
actually	ˈækʧəwəli
actually	ˈækʃli
actually	ˈækʧli
actually	ˈækʃəli
actuarial	ˌækʧəˈwɛɹiəɫ
actuaries	ˈækʧəˌwɛɹiz
actuary	ˈækʧəˌwɛɹi
actuate	ˈækʧəˌwet
actuator	ˈæktjuˌeɾɚ
actuator	ˈækʧuˌeɾɚ
actuators	ˈæktjuˌeɾɚz
actuators	ˈækʧuˌeɾɚz
actus	ˈæktəs
acuff	əˈkʌf
acuity	əˈkjuəti
acumen	əˈkjumn̩
acuna	ɑˈkunə
acupuncture	ˈækjuˌpʌŋkʧɚ
acura	ˈækjəɹə
acuras	ˈækjəɹəz
acuson	ˌækˈjusn̩
acustar	ˈækjusˌtɑ͡ɚ
acusyst	ˈækjuˌsɪst
acute	əˈkjut
acutely	əˈkjutli
acuteness	əˈkjutnəs
acyclovir	əˈsɪkloˌvɪ͡ɚ
ad	ˈæd
ada	ˈeɾə
adabel	ˈæɾəbɛɫ
adabelle	ˈæɾəbɫ̩
adachi	ɑˈdɑki
adage	ˈæɾəʤ
adagio	əˈdɑʒiˌo
adah	ˈæɾɑ
adair	əˈdɛ͡ɚ
adaire	ɑˈdɛ͡ɚ
adak	əˈdæk
adalah	ɑˈdɑlə
adalia	ɑˈdɑliə
adam	ˈæɾm̩
adamant	ˈæɾəmn̩t
adamantly	ˈæɾəmn̩tli
adamcik	ˈɑɾm̩ʧɪk
adamczak	ˈɑɾm̩ʧæk
adamczyk	ˈɑɾm̩ʧɪk
adame	ɑˈdɑmi
adamec	əˈdɑmɪk
adamek	əˈdɑmɛk
adames	əˈdemz
adami	ɑˈdɑmi
adamik	əˈdɑmɪk
adamina	ɑdɑˈminə
adamkus	ˈæɾm̩kəs
adamo	ɑˈdɑmo
adamowicz	əˈdɑməvɪʧ
