àbac	ˈaβək
abatuda	əβəˈtuðə
abatut	əβəˈtut
abatuts	əβəˈtuʦ
abdicació	əbdikəsiˈo
abdicar	əbdiˈka
abdicat	əbdiˈkat
abdomen	əbˈdomən
abdominal	əbdumiˈnal
abdominals	əbdumiˈnals
abductor	əbdukˈto
abductors	əbdukˈtos
abella	əˈβɛʎə
abelleix	əβəˈʎɛʃ
abelles	əˈβɛʎəs
aberració	əβərəsiˈo
aberracions	əβərəsiˈons
aberrant	əβəˈran
aberrants	əβəˈrans
abertzale	əβərtˈʃalə
aberzale	əβərˈzalə
aberzalisme	əβərzəˈlizmə
abismal	əβizˈmal
abismals	əβizˈmals
abisme	əˈβizmə
abismes	əˈβizməs
abissínia	əβiˈsiniə
ablació	əβləsiˈo
ablacions	əβləsiˈons
abnegada	əbnəˈɣaðə
abnegat	əbnəˈɣat
aboca	əˈβokə
abocada	əβuˈkaðə
abocades	əβuˈkaðəs
abocador	əβukəˈðo
abocadors	əβukəˈðos
abocament	əβukəˈmen
abocaments	əβukəˈmens
abocant	əβuˈkan
abocarà	əβukəˈɾa
abocar	əβuˈka
abocar-hi	əβuˈkaɾi
abocar-se	əβuˈkarsə
abocat	əβuˈkat
abocats	əβuˈkaʦ
abocava	əβuˈkaβə
aboga	əˈβɔɣə
abolició	əβulisiˈo
abolida	əβuˈliðə
abolim	əβuˈlim
abolint	əβuˈlin
abolir	əβuˈli
abolit	əβuˈlit
abominable	əβumiˈnabblə
abominables	əβumiˈnabbləs
abona	əˈβonə
abonada	əβuˈnaðə
abonades	əβuˈnaðəs
abonament	əβunəˈmen
abonaments	əβunəˈmens
abonarà	əβunəˈɾa
abonar	əβuˈna
abonaran	əβunəˈɾan
abonat	əβuˈnat
abonats	əβuˈnaʦ
abonen	əˈβonən
aboni	əˈβoni
aboquen	əˈβokən
aboqui	əˈβoki
aborda	əˈβorðə
abordada	əβurˈðaðə
abordant	əβurˈðan
abordarà	əβurðəˈɾa
abordar	əβurˈða
abordaran	əβurðəˈɾan
abordar-la	əβurˈðarlə
abordat	əβurˈðat
abordatge	əβurˈðadʒə
abordats	əβurˈðaʦ
abordava	əβurˈðaβə
abordaven	əβurˈðaβən
aborden	əˈβorðən
abordessin	əβurˈðesin
abordi	əˈβorði
abordin	əˈβorðin
aborigen	əβuˈɾiʒən
aborígens	əβuˈɾiʒəns
abraça	əˈβɾasə
abraçada	əβɾəˈsaðə
abraçades	əβɾəˈsaðəs
abraçadetes	əβɾəsəˈðɛtəs
abraçant	əβɾəˈsan
abraçar	əβɾəˈsa
abraçar-se	əβɾəˈsarsə
abraçat	əβɾəˈsat
abraçats	əβɾəˈsaʦ
abraçava	əβɾəˈsaβə
abraçaven	əβɾəˈsaβən
abracen	əˈβɾasən
abrandada	əβɾənˈdaðə
abrandat	əβɾənˈdat
abrandats	əβɾənˈdaʦ
abreujada	əβɾəwˈʒaðə
abreujar	əβɾəwˈʒa
abreujat	əβɾəwˈʒat
abreviació	əβɾəβiəsiˈo
abreviat	əβɾəβiˈat
abreviatura	əβɾəβiəˈtuɾə
abric	əˈβɾik
abrics	əˈβɾiks
abriga	əˈβɾiɣə
abril	əˈβɾil
abrupta	əˈβɾuptə
abruptament	əβɾuptəˈmen
abrupte	əˈβɾuptə
absència	əpˈsɛnsiə
absències	əpˈsɛnsiəs
absenta	əpˈsentə
absent	əpˈsen
absentisme	əpsənˈtizmə
absents	əpˈsens
absis	ˈapsis
absoldre	əpˈsɔldɾə
absolta	əpˈsɔltə
absolt	əpˈsɔlt
absolts	əpˈsɔlʦ
absolució	əpsulusiˈo
absolucions	əpsulusiˈons
absoluta	əpsuˈlutə
absolut	əpsuˈlut
absolutament	əpsulutəˈmen
absolutes	əpsuˈlutəs
absolutisme	əpsuluˈtizmə
absolutista	əpsuluˈtistə
absolutistes	əpsuluˈtistəs
absolutòria	əpsuluˈtɔɾiə
absoluts	əpsuˈluʦ
absorbeix	əpsurˈβɛʃ
absorbeixen	əpsurˈβɛʃən
absorbent	əpsurˈβen
absorbida	əpsurˈβiðə
absorbint	əpsurˈβin
absorbirà	əpsurβiˈɾa
absorbir	əpsurˈβi
absorbiran	əpsurβiˈɾan
absorbís	əpsurˈβis
absorbit	əpsurˈβit
absorbits	əpsurˈβiʦ
absorció	əpsursiˈo
absorcions	əpsursiˈons
absté	əpsˈte
abstenció	əpstənsiˈo
abstencionista	əpstənsiuˈnistə
abstencionistes	əpstənsiuˈnistəs
abstencions	əpstənsiˈons
abstenen	əpsˈtɛnən
abstenint-se	əpstəˈninsə
abstenir	əpstəˈni
abstenir-se	əpstəˈnirsə
absteniu-vos	əpstəˈniwβus
abstindrà	əpstinˈdɾa
abstindran	əpstinˈdɾan
abstindria	əpstinˈdɾiə
abstinència	əpstiˈnɛnsiə
abstinents	əpstiˈnens
abstingués	əpstiŋˈges
abstingui	əpsˈtiŋgi
abstinguin	əpsˈtiŋgin
abstingut	əpstiŋˈgut
abstracció	əpstɾəksiˈo
abstraccions	əpstɾəksiˈons
abstracta	əpsˈtɾaktə
abstracte	əpsˈtɾaktə
abstractes	əpsˈtɾaktəs
abstreure	əpsˈtɾɛwɾə
abstreure's	əpsˈtɾɛwɾəs
absurda	əpˈsurðə
absurd	əpˈsurt
absurdament	əpsurðəˈmen
absurdes	əpˈsurðəs
absurditat	əpsurðiˈtat
absurditats	əpsurðiˈtaʦ
absurds	əpˈsurs
abuelos	əβuˈɛlus
abunda	əˈβundə
abundància	əβunˈdansiə
abundant	əβunˈdan
abundantment	əβundamˈmen
abundants	əβunˈdans
abundat	əβunˈdat
abundats	əβunˈdaʦ
abundaven	əβunˈdaβən
abunden	əˈβundən
abundor	əβunˈdo
abundosa	əβunˈdozə
abusa	əˈβuzə
abús	əˈβus
abusant	əβuˈzan
abusar	əβuˈza
abusat	əβuˈzat
abusen	əˈβuzən
abusi	əˈβuzi
abusin	əˈβuzin
abusiu	əβuˈziw
abusius	əβuˈziws
abusiva	əβuˈziβə
abusives	əβuˈziβəs
abuso	əˈβuzu
abusos	əˈβuzus
abw	əˈɾuβə
acaba	əˈkaβə
acabà	əkəˈβa
acabada	əkəˈβaðə
acabades	əkəˈβaðəs
acaballes	əkəˈβaʎəs
acabament	əkəβəˈmen
a.c.	əˈβanzðəˈkɾis
acabant	əkəˈβan
acabarà	əkəβəˈɾa
acabar	əkəˈβa
acabaran	əkəβəˈɾan
acabaràs	əkəβəˈɾas
acabaré	əkəβəˈɾe
acabarem	əkəβəˈɾɛm
acabareu	əkəβəˈɾɛw
acabar-ho	əkəˈβaɾu
acabaria	əkəβəˈɾiə
acabaríem	əkəβəˈɾiəm
acabarien	əkəβəˈɾiən
acabar-la	əkəˈβarlə
acabar-les	əkəˈβarləs
acabar-lo	əkəˈβarlu
acabar-se	əkəˈβarsə
acabat	əkəˈβat
acabats	əkəˈβaʦ
acabava	əkəˈβaβə
acabàvem	əkəˈβaβəm
acabaven	əkəˈβaβən
acabem	əkəˈβɛm
acaben	əˈkaβən
acabes	əˈkaβəs
acabés	əkəˈβes
acabéssim	əkəˈβesim
acabessin	əkəˈβesin
acabeu	əkəˈβɛw
acabi	əˈkaβi
acabin	əˈkaβin
acabis	əˈkaβis
acabo	əˈkaβu
acàcia	əˈkasiə
acàcies	əˈkasiəs
ac.	əkuzəˈtiw
acadèmia	əkəˈðɛmiə
acadèmica	əkəˈðɛmikə
acadèmic	əkəˈðɛmik
acadèmicament	əkəðɛmikəˈmen
academicisme	əkəðəmiˈsizmə
academicismes	əkəðəmiˈsizməs
acadèmics	əkəˈðɛmiks
acadèmies	əkəˈðɛmiəs
acadèmiques	əkəˈðɛmikəs
acampa	əˈkampə
acampada	əkəmˈpaðə
acampades	əkəmˈpaðəs
acampar	əkəmˈpa
acampats	əkəmˈpaʦ
acampen	əˈkampən
acapara	əkəˈpaɾə
acaparant	əkəpəˈɾan
acaparar	əkəpəˈɾa
acaparat	əkəpəˈɾat
acaparava	əkəpəˈɾaβə
acaparen	əkəˈpaɾən
acara	əˈkaɾə
acarament	əkəɾəˈmen
acarats	əkəˈɾaʦ
acaricien	əkəɾiˈsiən
acarnissada	əkərniˈsaðə
acarnissament	əkərnisəˈmen
acarnissar	əkərniˈsa
acarnissar-se	əkərniˈsarsə
acaronador	əkəɾunəˈðo
acaronar	əkəɾuˈna
acata	əˈkatə
acatament	əkətəˈmen
acatant	əkəˈtan
acatar	əkəˈta
acaten	əˈkatən
acati	əˈkati
accedeix	əksəˈðɛʃ
accedeixen	əksəˈðɛʃən
accedeixi	əksəˈðɛʃi
accedeixin	əksəˈðɛʃin
accedeixo	əksəˈðɛʃu
accederies	əksəðəˈɾiəs
accedia	əksəˈðiə
accedien	əksəˈðiən
accedint	əksəˈðin
accedirà	əksəðiˈɾa
accedir	əksəˈði
accediran	əksəðiˈɾan
accedireu	əksəðiˈɾɛw
accedir-hi	əksəˈðiɾi
accedís	əksəˈðis
accedissin	əksəˈðisin
accedit	əksəˈðit
accediu	əksəˈðiw
accelera	əksəˈleɾə
acceleració	əksələɾəsiˈo
accelerada	əksələˈɾaðə
acceleradament	əksələɾaðəˈmen
accelerador	əksələɾəˈðo
accelerant	əksələˈɾan
accelerarà	əksələɾəˈɾa
accelerar	əksələˈɾa
acceleraran	əksələɾəˈɾan
accelerar-me	əksələˈɾarmə
accelerat	əksələˈɾat
accelerats	əksələˈɾaʦ
acceleren	əksəˈleɾən
acceleri	əksəˈlɛɾi
accelerin	əksəˈlɛɾin
accent	əkˈsen
accents	əkˈsens
accentua	əksənˈtuə
accentuació	əksəntuəsiˈo
accentuada	əksəntuˈaðə
accentuant	əksəntuˈan
accentuarà	əksəntuəˈɾa
accentuar	əksəntuˈa
accentuat	əksəntuˈat
accentuats	əksəntuˈaʦ
accentuen	əksənˈtuən
accepció	əksəpsiˈo
accepcions	əksəpsiˈons
accepta	əkˈseptə
acceptà	əksəpˈta
acceptable	əksəpˈtabblə
acceptablement	əksəptabbləˈmen
acceptables	əksəpˈtabbləs
acceptació	əksəptəsiˈo
acceptada	əksəpˈtaðə
acceptades	əksəpˈtaðəs
acceptador	əksəptəˈðo
acceptant	əksəpˈtan
acceptarà	əksəptəˈɾa
acceptar	əksəpˈta
acceptaran	əksəptəˈɾan
acceptaré	əksəptəˈɾe
acceptarem	əksəptəˈɾɛm
acceptaren	əksəpˈtaɾən
acceptar-ho	əksəpˈtaɾu
acceptaria	əksəptəˈɾiə
acceptaríem	əksəptəˈɾiəm
acceptarien	əksəptəˈɾiən
acceptaries	əksəptəˈɾiəs
acceptaríeu	əksəptəˈɾiəw
acceptar-la	əksəpˈtarlə
acceptar-lo	əksəpˈtarlu
acceptar-nos	əksəpˈtarnus
acceptat	əksəpˈtat
acceptats	əksəpˈtaʦ
acceptava	əksəpˈtaβə
acceptaven	əksəpˈtaβən
acceptem	əksəpˈtɛm
accepten	əkˈseptən
acceptes	əkˈseptəs
acceptés	əksəpˈtes
acceptessin	əksəpˈtesin
accepteu	əksəpˈtɛw
accepti	əkˈsepti
acceptin	əkˈseptin
accepto	əkˈseptu
accés	əkˈses
accessibilitat	əksəsiβiliˈtat
accessible	əksəˈsibblə
accessibles	əksəˈsibbləs
accessió	əksəsiˈo
accèssit	əkˈsɛsit
accèssits	əkˈsɛsiʦ
accessori	əksəˈsɔɾi
accessoris	əksəˈsɔɾis
accessos	əkˈsesus
accident	əksiˈðen
accidentada	əksiðənˈtaðə
accidental	əksiðənˈtal
accidentalitat	əksiðəntəliˈtat
accidentalment	əksiðəntalˈmen
accidentals	əksiðənˈtals
accidentat	əksiðənˈtat
accidentats	əksiðənˈtaʦ
accidents	əksiˈðens
acció	əksiˈo
acciona	əksiˈonə
accionar	əksiuˈna
accionarial	əksiunəɾiˈal
accionarials	əksiunəɾiˈals
accionariat	əksiunəɾiˈat
acciones	əksiˈonəs
accionista	əksiuˈnistə
accionistes	əksiuˈnistəs
accions	əksiˈons
account	əˈkawn
acer	əˈser
acèrrim	əˈsɛrim
acetilcolina	əsətilkuˈlinə
ací	əˈsi
àcida	ˈasiðə
àcid	ˈasit
acidesa	əsiˈðɛzə
àcides	ˈasiðəs
àcids	ˈasiʦ
aclama	əˈklamə
aclamació	əkləməsiˈo
aclamacions	əkləməsiˈons
aclamada	əkləˈmaðə
aclamades	əkləˈmaðəs
aclamar	əkləˈma
aclamat	əkləˈmat
aclamats	əkləˈmaʦ
aclapara	əkləˈpaɾə
aclaparada	əkləpəˈɾaðə
aclaparadora	əkləpəɾəˈðoɾə
aclaparador	əkləpəɾəˈðo
aclaparadorament	əkləpəɾəðoɾəˈmen
aclaparadores	əkləpəɾəˈðoɾəs
aclaparadors	əkləpəɾəˈðos
aclaparat	əkləpəˈɾat
aclaparats	əkləpəˈɾaʦ
aclara	əˈklaɾə
aclareix	əkləˈɾɛʃ
aclareixen	əkləˈɾɛʃən
aclareixi	əkləˈɾɛʃi
aclareixin	əkləˈɾɛʃin
aclaria	əkləˈɾiə
aclarida	əkləˈɾiðə
aclarides	əkləˈɾiðəs
aclaridora	əkləɾiˈðoɾə
aclaridor	əkləɾiˈðo
aclaridors	əkləɾiˈðos
aclariment	əkləɾiˈmen
aclariments	əkləɾiˈmens
aclarint	əkləˈɾin
aclarint-se	əkləˈɾinsə
aclarirà	əkləɾiˈɾa
aclarir	əkləˈɾi
aclariré	əkləɾiˈɾe
aclarir-ho	əkləˈɾiɾu
aclarir-se	əkləˈɾirsə
aclarís	əkləˈɾis
aclarit	əkləˈɾit
aclarits	əkləˈɾiʦ
aclimatant	əkliməˈtan
aclimatar-se	əkliməˈtarsə
açò	əˈsɔ
acoblada	əkubˈblaðə
acoblament	əkubbləˈmen
acoblant	əkubˈblan
acoblar	əkubˈbla
acoblar-se	əkubˈblarsə
acoblat	əkubˈblat
acoblats	əkubˈblaʦ
acoblen	əˈkobblən
acòlits	əˈkɔliʦ
acollia	əkuˈʎiə
acollí	əkuˈʎi
acollida	əkuˈʎiðə
acollides	əkuˈʎiðəs
acollidora	əkuʎiˈðoɾə
acollidor	əkuʎiˈðo
acollidors	əkuʎiˈðos
acollien	əkuˈʎiən
acolliment	əkuʎiˈmen
acollint	əkuˈʎin
acollint-se	əkuˈʎinsə
acollirà	əkuʎiˈɾa
acollir	əkuˈʎi
acolliran	əkuʎiˈɾan
acollir-los	əkuˈʎirlus
acollir-se	əkuˈʎirsə
acollir-s'hi	əkuˈʎirsi
acollit	əkuˈʎit
acollits	əkuˈʎiʦ
acollonits	əkuʎuˈniʦ
acolorida	əkuluˈɾiðə
acolorides	əkuluˈɾiðəs
acolorir	əkuluˈɾi
acolorit	əkuluˈɾit
acolorits	əkuluˈɾiʦ
acomiada	əkumiˈaðə
acomiadada	əkumiəˈðaðə
acomiadament	əkumiəðəˈmen
acomiadaments	əkumiəðəˈmens
acomiadant	əkumiəˈðan
acomiadarà	əkumiəðəˈɾa
acomiadar	əkumiəˈða
acomiadar-ne	əkumiəˈðarnə
acomiadar-se	əkumiəˈðarsə
acomiadar-vos	əkumiəˈðarβus
acomiadat	əkumiəˈðat
acomiadats	əkumiəˈðaʦ
acomiadava	əkumiəˈðaβə
acomiaden	əkumiˈaðən
acomiadi	əkumiˈaði
acomiadin	əkumiˈaðin
acomoda	əkuˈmɔðə
acomodació	əkumuðəsiˈo
acomodada	əkumuˈðaðə
acomodador	əkumuðəˈðo
acomodadors	əkumuðəˈðos
acomodar	əkumuˈða
acomodar-se	əkumuˈðarsə
acomodat	əkumuˈðat
acomodatícia	əkumuðəˈtisiə
acomodats	əkumuˈðaʦ
acompanya	əkumˈpaɲə
acompanyà	əkumpəˈɲa
acompanyada	əkumpəˈɲaðə
acompanyades	əkumpəˈɲaðəs
acompanyament	əkumpəɲəˈmen
acompanyaments	əkumpəɲəˈmens
acompanyant	əkumpəˈɲan
acompanyants	əkumpəˈɲans
acompanyarà	əkumpəɲəˈɾa
acompanyar	əkumpəˈɲa
acompanyaran	əkumpəɲəˈɾan
acompanyar-la	əkumpəˈɲarlə
acompanyar-lo	əkumpəˈɲarlu
acompanyar-los	əkumpəˈɲarlus
acompanyat	əkumpəˈɲat
acompanyats	əkumpəˈɲaʦ
acompanyava	əkumpəˈɲaβə
acompanyaven	əkumpəˈɲaβən
acompanyen	əkumˈpaɲən
acompanyés	əkumpəˈɲes
acompanyi	əkumˈpaɲi
acompanyin	əkumˈpaɲin
acompleix	əkumˈplɛʃ
acompleixen	əkumˈplɛʃən
acompleixi	əkumˈplɛʃi
acompleixin	əkumˈplɛʃin
acomplerta	əkumˈplɛrtə
acomplert	əkumˈplɛrt
acomplerts	əkumˈplɛrs
acomplexada	əkumpləkˈsaðə
acomplexar	əkumpləkˈsa
acomplexat	əkumpləkˈsat
acomplexats	əkumpləkˈsaʦ
acompliment	əkumpliˈmen
acomplint	əkumˈplin
acomplir	əkumˈpli
acompliré	əkumpliˈɾe
aconfessional	əkumfəsiuˈnal
aconsegueix	əkunsəˈɣɛʃ
aconsegueixen	əkunsəˈɣɛʃən
aconsegueixes	əkunsəˈɣɛʃəs
aconsegueixi	əkunsəˈɣɛʃi
aconsegueixin	əkunsəˈɣɛʃin
aconsegueixo	əkunsəˈɣɛʃu
aconseguia	əkunsəˈɣiə
aconseguí	əkunsəˈɣi
aconseguida	əkunsəˈɣiðə
aconseguides	əkunsəˈɣiðəs
aconseguien	əkunsəˈɣiən
aconseguim	əkunsəˈɣim
aconseguint	əkunsəˈɣin
aconseguint-ho	əkunsəˈɣintu
aconseguirà	əkunsəɣiˈɾa
aconseguir	əkunsəˈɣi
aconseguiran	əkunsəɣiˈɾan
aconseguiràs	əkunsəɣiˈɾas
aconseguiré	əkunsəɣiˈɾe
aconseguirem	əkunsəɣiˈɾɛm
aconseguiren	əkunsəˈɣiɾən
aconseguireu	əkunsəɣiˈɾɛw
aconseguir-ho	əkunsəˈɣiɾu
aconseguiria	əkunsəɣiˈɾiə
aconseguiríem	əkunsəɣiˈɾiəm
aconseguirien	əkunsəɣiˈɾiən
aconseguir-la	əkunsəˈɣirlə
aconseguir-lo	əkunsəˈɣirlu
aconseguir-los	əkunsəˈɣirlus
aconseguir-ne	əkunsəˈɣirnə
aconseguir-se	əkunsəˈɣirsə
aconseguís	əkunsəˈɣis
aconseguissin	əkunsəˈɣisin
aconseguit	əkunsəˈɣit
aconseguits	əkunsəˈɣiʦ
aconseguiu	əkunsəˈɣiw
aconsella	əkunˈseʎə
aconsellable	əkunsəˈʎabblə
aconsellables	əkunsəˈʎabbləs
aconsellant	əkunsəˈʎan
aconsellar	əkunsəˈʎa
aconsellaria	əkunsəʎəˈɾiə
aconsellat	əkunsəˈʎat
aconsellava	əkunsəˈʎaβə
aconsellaven	əkunsəˈʎaβən
aconsellen	əkunˈseʎən
aconselli	əkunˈseʎi
aconsellin	əkunˈseʎin
aconsello	əkunˈseʎu
acontenta	əkunˈtentə
acontentar	əkuntənˈta
acontentar-se	əkuntənˈtarsə
acontentava	əkuntənˈtaβə
acontenten	əkunˈtentən
a_contrapèl	əkɔntɾəˈpɛl
acorda	əˈkɔrðə
acord	əˈkɔrt
acordada	əkurˈðaðə
acordades	əkurˈðaðəs
acordarà	əkurðəˈɾa
acordar	əkurˈða
acordaran	əkurðəˈɾan
acordat	əkurˈðat
acordats	əkurˈðaʦ
acordava	əkurˈðaβə
acorden	əˈkɔrðən
acordes	əˈkɔrðəs
acordés	əkurˈðes
acordessin	əkurˈðesin
acordi	əˈkɔrði
acordin	əˈkɔrðin
acordió	əkurðiˈo
acordionista	əkurðiuˈnistə
acordionistes	əkurðiuˈnistəs
acordions	əkurðiˈons
acordonada	əkurðuˈnaðə
acordonar	əkurðuˈna
acordonat	əkurðuˈnat
acords	əˈkɔrs
acorralada	əkurəˈlaðə
acorralar	əkurəˈla
acorralat	əkurəˈlat
acorralats	əkurəˈlaʦ
a_corre-cuita	əkorəˈkujtə
acosta	əˈkɔstə
acostament	əkustəˈmen
acostaments	əkustəˈmens
acostant	əkusˈtan
acostant-se	əkusˈtansə
acostarà	əkustəˈɾa
acostar	əkusˈta
acostaran	əkustəˈɾan
acostaria	əkustəˈɾiə
acostar-la	əkusˈtarlə
acostar-los	əkusˈtarlus
acostar-nos	əkusˈtarnus
acostar-se	əkusˈtarsə
acostar-s'hi	əkusˈtarsi
acostat	əkusˈtat
acostava	əkusˈtaβə
acostaven	əkusˈtaβən
acostem	əkusˈtɛm
acosten	əˈkɔstən
acostes	əˈkɔstəs
acostés	əkusˈtes
acostessin	əkusˈtesin
acosti	əˈkɔsti
acostin	əˈkɔstin
acostuma	əkusˈtumə
acostumada	əkustuˈmaðə
acostumades	əkustuˈmaðəs
acostumant	əkustuˈman
acostumar	əkustuˈma
acostumar-nos	əkustuˈmarnus
acostumar-se	əkustuˈmarsə
acostuma't	əkusˈtumət
acostumat	əkustuˈmat
acostumats	əkustuˈmaʦ
acostumava	əkustuˈmaβə
acostumaven	əkustuˈmaβən
acostumem	əkustuˈmɛm
acostumen	əkusˈtumən
acostumes	əkusˈtuməs
acostumeu	əkustuˈmɛw
acostumi	əkusˈtumi
acostumin	əkusˈtumin
acostumo	əkusˈtumu
acota	əˈkɔtə
acotació	əkutəsiˈo
acotacions	əkutəsiˈons
acotar	əkuˈta
acovardir	əkuβərˈði
àcrata	ˈakɾətə
acre	ˈakɾə
acredita	əkɾəˈðitə
acreditació	əkɾəðitəsiˈo
acreditacions	əkɾəðitəsiˈons
acreditada	əkɾəðiˈtaðə
acreditades	əkɾəðiˈtaðəs
acreditant	əkɾəðiˈtan
acreditarà	əkɾəðitəˈɾa
acreditar	əkɾəðiˈta
acreditat	əkɾəðiˈtat
acreditatiu	əkɾəðitəˈtiw
acreditativa	əkɾəðitəˈtiβə
acreditats	əkɾəðiˈtaʦ
acreditava	əkɾəðiˈtaβə
acrediten	əkɾəˈðitən
acrediti	əkɾəˈðiti
acreditin	əkɾəˈðitin
acres	ˈakɾəs
acrescut	əkɾəsˈkut
acrílic	əˈkɾilik
acrílics	əˈkɾiliks
acrítica	əˈkɾitikə
acrític	əˈkɾitik
acríticament	əkɾitikəˈmen
acritud	əkɾiˈtut
acrobàcia	əkɾuˈβasiə
acrobàcies	əkɾuˈβasiəs
acròbata	əˈkɾɔβətə
acròbates	əˈkɾɔβətəs
acrobàtica	əkɾuˈβatikə
acrobàtic	əkɾuˈβatik
acrobàtics	əkɾuˈβatiks
acrobàtiques	əkɾuˈβatikəs
acrònim	əˈkɾɔnim
acrònims	əˈkɾɔnims
acta	ˈaktə
acte	ˈaktə
actes	ˈaktəs
actitud	əktiˈtut
actituds	əktiˈtuʦ
actiu	əkˈtiw
actius	əkˈtiws
activa	əkˈtiβə
activació	əktiβəsiˈo
activada	əktiˈβaðə
activades	əktiˈβaðəs
activament	əktiβəˈmen
activant	əktiˈβan
activarà	əktiβəˈɾa
activar	əktiˈβa
activaran	əktiβəˈɾan
activaria	əktiβəˈɾiə
activaries	əktiβəˈɾiəs
activar-se	əktiˈβarsə
activat	əktiˈβat
activats	əktiˈβaʦ
activen	əkˈtiβən
actives	əkˈtiβəs
activés	əktiˈβes
activi	əkˈtiβi
activisme	əktiˈβizmə
activista	əktiˈβistə
activistes	əktiˈβistəs
activitat	əktiβiˈtat
activitats	əktiβiˈtaʦ
actor	əkˈto
actores	əkˈtoɾəs
actors	əkˈtos
actors-ballarins	əktozβəʎəˈɾins
actors-directors	əktozðiɾəkˈtos
actriu	əkˈtɾiw
actrius	əkˈtɾiws
actua	əkˈtuə
actuació	əktuəsiˈo
actuacions	əktuəsiˈons
actual	əktuˈal
actualitat	əktuəliˈtat
actualitza	əktuəˈlidzə
actualitzable	əktuəlidˈzabblə
actualització	əktuəlidzəsiˈo
actualitzacions	əktuəlidzəsiˈons
actualitzada	əktuəlidˈzaðə
actualitzades	əktuəlidˈzaðəs
actualitzant	əktuəlidˈzan
actualitzarà	əktuəlidzəˈɾa
actualitzar	əktuəlidˈza
actualitzaran	əktuəlidzəˈɾan
actualitzaries	əktuəlidzəˈɾiəs
actualitzar-lo	əktuəlidˈzarlu
actualitzar-se	əktuəlidˈzarsə
actualitzat	əktuəlidˈzat
actualitzats	əktuəlidˈzaʦ
actualitzen	əktuəˈlidzən
actualitzeu	əktuəlidˈzɛw
actualitzi	əktuəˈlidzi
actualitzin	əktuəˈlidzin
actualment	əktualˈmen
actuals	əktuˈals
actuant	əktuˈan
actuarà	əktuəˈɾa
actuar	əktuˈa
actuaran	əktuəˈɾan
actuaré	əktuəˈɾe
actuarem	əktuəˈɾɛm
actuareu	əktuəˈɾɛw
actuar-hi	əktuˈaɾi
actuaria	əktuəˈɾiə
actuarien	əktuəˈɾiən
actuat	əktuˈat
actuava	əktuˈaβə
actuaven	əktuˈaβən
actuem	əktuˈɛm
actuen	əkˈtuən
actués	əktuˈes
actuessin	əktuˈesin
actueu	əktuˈɛw
actuï	əkˈtui
actuïn	əkˈtuin
acudeix	əkuˈðɛʃ
acudeixen	əkuˈðɛʃən
acudeixi	əkuˈðɛʃi
acudeixin	əkuˈðɛʃin
acuden	əˈkuðən
acudia	əkuˈðiə
acudien	əkuˈðiən
acudin	əˈkuðin
acudint	əkuˈðin
acudirà	əkuðiˈɾa
acudir	əkuˈði
acudiran	əkuðiˈɾan
acudir-hi	əkuˈðiɾi
acudiria	əkuðiˈɾiə
acudís	əkuˈðis
acudissin	əkuˈðisin
acudit	əkuˈðit
