#name Spanish
#lang spa
abad	aˈβað
abrazar	aβɾaˈθaɾ
abrazarle	aβɾaˈθaɾle
abrazaron	aβɾaˈθaɾon
abrazarse	aβɾaˈθaɾse
abrazo	aˈβɾaθo
abrazó	aβɾaˈθo
abrazos	aˈβɾaθos
abre	ˈaβɾe
abren	ˈaβɾen
abres	ˈaβɾes
abreviación	aβɾeβjaˈθjon
abreviado	aβɾeˈβjaðo
abreviar	aβɾeˈβjaɾ
abreviaste	aβɾeˈβjaste
abreviatura	aβɾeβjaˈtuɾa
abrevié	aβɾeˈβje
abrí	aˈβɾi
abría	aˈβɾia
abrían	aˈβɾian
abrid	aˈβɾið
abriendo	aˈβɾjendo
abriéndose	aˈβɾjendose
abriera	aˈβɾjeɾa
abrieran	aˈβɾjeɾan
abrieron	aˈβɾjeɾon
abrigo	aˈβɾiɣo
abrigos	aˈβɾiɣos
abril	aˈβɾil
abrimos	aˈβɾimos
abrió	aˈβɾjo
abrir	aˈβɾiɾ
abrirá	aβɾiˈɾa
abrirán	aβɾiˈɾan
abriría	aβɾiˈɾia
abrirías	aβɾiˈɾias
abrirla	aˈβɾiɾla
abrirle	aˈβɾiɾle
abrirlo	aˈβɾiɾlo
abrirlos	aˈβɾiɾlos
abrirme	aˈβɾiɾme
abrirnos	aˈβɾiɾnos
abrirse	aˈβɾiɾse
abrirte	aˈβɾiɾte
abro	ˈaβɾo
abrochó	aβɾoˈʧo
abruma	aˈβɾuma
abrumado	aβɾuˈmaðo
abrumador	aβɾumaˈðoɾ
abrumadora	aβɾumaˈðoɾa
abrumadoramente	aβɾumaˈðoɾaˈmente
abrupta	aˈβɾupta
abruptamente	aˈβɾuptaˈmente
abruptas	aˈβɾuptas
abrupto	aˈβɾupto
absceso	aβsˈθeso
absentismo	aβsenˈtizmo
ábside	ˈaβsiðe
absolución	aβsoluˈθjon
absoluta	aβsoˈluta
absolutamente	aβsoˈlutaˈmente
absolutas	aβsoˈlutas
absolutismo	aβsoluˈtizmo
absolutista	aβsoluˈtista
absolutistas	aβsoluˈtistas
absoluto	aβsoˈluto
absolutoria	aβsoluˈtoɾja
absolutos	aβsoˈlutos
absolver	aβsolˈβeɾ
absolvió	aβsolˈβjo
absorba	aβˈsoɾβa
absorbe	aβˈsoɾβe
absorben	aβˈsoɾβen
absorbente	aβsoɾˈβente
absorber	aβsoɾˈβeɾ
absorberá	aβsoɾβeˈɾa
absorberán	aβsoɾβeˈɾan
absorbida	aβsoɾˈβiða
absorbidas	aβsoɾˈβiðas
absorbido	aβsoɾˈβiðo
absorbidos	aβsoɾˈβiðos
absorbió	aβsoɾˈβjo
absorción	aβsoɾˈθjon
abstemio	aβsˈtemjo
abstemios	aβsˈtemjos
abstención	aβstenˈθjon
abstenciones	aβstenˈθjones
abstenerme	aβsteˈneɾme
abstenerse	aβsteˈneɾse
abstenga	aβsˈteŋɡa
abstengan	aβsˈteŋɡan
abstenido	aβsteˈniðo
abstienen	aβsˈtjenen
abstinencia	aβstiˈnenθja
abstracción	aβstɾakˈθjon
abstracta	aβsˈtɾakta
abstractas	aβsˈtɾaktas
abstracto	aβsˈtɾakto
abstractos	aβsˈtɾaktos
abstraerse	aβstɾaˈeɾse
abstuvieron	aβstuˈβjeɾon
abstuvo	aβsˈtuβo
absuelto	aβˈswelto
absueltos	aβˈsweltos
absuelve	aβˈswelβe
absurda	aβˈsuɾða
absurdamente	aβˈsuɾðaˈmente
absurdas	aβˈsuɾðas
absurdidad	aβsuɾðiˈðað
absurdo	aβˈsuɾðo
absurdos	aβˈsuɾðos
abucheado	aβuʧeˈaðo
abucheo	aβuˈʧeo
abucheos	aβuˈʧeos
abuela	aˈβwela
abuelas	aˈβwelas
abuelete	aβweˈlete
abueletes	aβweˈletes
abuelita	aβweˈlita
abuelito	aβweˈlito
abuelo	aˈβwelo
abuelos	aˈβwelos
a_buenas_horas	aˈβwenaˈsoɾas
a_buen_recaudo	aˈβwenreˈkawðo
a_buen_seguro	aˈβwenseˈɣuɾo
abulense	aβuˈlense
abulia	aˈβulja
abúlico	aˈβuliko
abultada	aβulˈtaða
abultadas	aβulˈtaðas
abultado	aβulˈtaðo
abunda	aˈβunda
abundaban	aβunˈdaβan
abundan	aˈβundan
abundancia	aβunˈdanθja
abundante	aβunˈdante
abundantes	aβunˈdantes
abundar	aβunˈdaɾ
abundaron	aβunˈdaɾon
abundó	aβunˈdo
abur	aˈβuɾ
aburran	aˈβuran
aburre	aˈβure
aburren	aˈβuren
aburres	aˈβures
aburría	aβuˈria
aburrida	aβuˈriða
aburridas	aβuˈriðas
aburrido	aβuˈriðo
aburridos	aβuˈriðos
aburriendo	aβuˈrjendo
aburrimiento	aβuriˈmjento
aburrió	aβuˈrjo
aburrir	aβuˈriɾ
aburrirme	aβuˈriɾme
aburrirse	aβuˈriɾse
aburrís	aβuˈris
aburro	aˈβuro
abusa	aˈβusa
abusado	aβuˈsaðo
abusan	aˈβusan
abusando	aβuˈsando
abusar	aβuˈsaɾ
abuse	aˈβuse
abusen	aˈβusen
abuses	aˈβuses
abusiva	aβuˈsiβa
abusivas	aβuˈsiβas
abusivo	aβuˈsiβo
abusivos	aβuˈsiβos
abuso	aˈβuso
abusó	aβuˈso
abusones	aβuˈsones
abusos	aˈβusos
abw	aˈɾuβa
abyecta	aβˈʤekta
abyecto	aβˈʤekto
a.c.	ˈantesdeˈkɾisto
a.c.	ˈantesdeˈkɾisto
acá	aˈka
acaba	aˈkaβa
acababa	akaˈβaβa
acabábamos	akaˈβaβamos
acababan	akaˈβaβan
acabada	akaˈβaða
acabadas	akaˈβaðas
acabado	akaˈβaðo
acabados	akaˈβaðos
acabamos	akaˈβamos
acaban	aˈkaβan
acabando	akaˈβando
acabar	akaˈβaɾ
acabara	akaˈβaɾa
acabará	akaβaˈɾa
acabaran	akaˈβaɾan
acabarán	akaβaˈɾan
acabarás	akaβaˈɾas
acabaré	akaβaˈɾe
acabaréis	akaβaˈɾejs
acabaremos	akaβaˈɾemos
acabaría	akaβaˈɾia
acabaríamos	akaβaˈɾiamos
acabarían	akaβaˈɾian
acabaron	akaˈβaɾon
acabarse	akaˈβaɾse
acabas	aˈkaβas
acabase	akaˈβase
acabe	aˈkaβe
acabé	akaˈβe
acabemos	akaˈβemos
acaben	aˈkaβen
acabes	aˈkaβes
acabo	aˈkaβo
acabó	akaˈβo
acabóse	akaˈβose
acacias	aˈkaθjas
a_cada_paso	aˈkaðaˈpaso
a_cada_rato	aˈkaðaˈrato
academia	akaˈðemja
academias	akaˈðemjas
académica	akaˈðemika
académicas	akaˈðemikas
academicismo	akaðemiˈθizmo
académico	akaˈðemiko
académicos	akaˈðemikos
acaecida	akaeˈθiða
acaecido	akaeˈθiðo
acaecidos	akaeˈθiðos
acallar	akaˈʎaɾ
acalorado	akaloˈɾaðo
a_cal_y_canto	aˈkaliˈkanto
a_cambio	aˈkambjo
a_cambio_de	aˈkambjoðe
a_cambio_del	aˈkambjoðel
acampa	aˈkampa
acampada	akamˈpaða
acampados	akamˈpaðos
acampan	aˈkampan
acampar	akamˈpaɾ
acantilado	akantiˈlaðo
acantilados	akantiˈlaðos
acapara	akaˈpaɾa
acaparan	akaˈpaɾan
acaparando	akapaˈɾando
acaparar	akapaˈɾaɾ
acapararon	akapaˈɾaɾon
acaparé	akapaˈɾe
acaparó	akapaˈɾo
a_cara_descubierta	aˈkaɾaðeskuˈβjeɾta
a_cargo_de	aˈkaɾɣoðe
acaricia	akaˈɾiθja
acariciaba	akaɾiˈθjaβa
acarician	akaˈɾiθjan
acariciando	akaɾiˈθjando
acariciar	akaɾiˈθjaɾ
acarició	akaɾiˈθjo
ácaro	ˈakaɾo
ácaros	ˈakaɾos
acarrea	akaˈrea
acarrean	akaˈrean
acarrear	akareˈaɾ
acarreará	akareaˈɾa
acarrearía	akareaˈɾia
acarreo	akaˈreo
acaso	aˈkaso
acata	aˈkata
acatamiento	akataˈmjento
acatan	aˈkatan
acatar	akaˈtaɾ
acate	aˈkate
acaten	aˈkaten
a_causa_de	aˈkawsaðe
a_causa_del	aˈkawsaðel
acceda	akˈθeða
accedan	akˈθeðan
accede	akˈθeðe
acceden	akˈθeðen
acceder	akθeˈðeɾ
accederá	akθeðeˈɾa
accederías	akθeðeˈɾias
accederse	akθeˈðeɾse
accedí	akθeˈði
accedía	akθeˈðia
accedido	akθeˈðiðo
accediendo	akθeˈðjendo
accediera	akθeˈðjeɾa
accedieran	akθeˈðjeɾan
accedieron	akθeˈðjeɾon
accedió	akθeˈðjo
accedo	akˈθeðo
accesibilidad	akθesiβiliˈðað
accesible	akθeˈsiβle
accesibles	akθeˈsiβles
accésit	akˈθesið
acceso	akˈθeso
accesoria	akθeˈsoɾja
accesorio	akθeˈsoɾjo
accesorios	akθeˈsoɾjos
accesos	akˈθesos
accidentada	akθiðenˈtaða
accidentado	akθiðenˈtaðo
accidentados	akθiðenˈtaðos
accidental	akθiðenˈtal
accidentalmente	akθiðenˈtalˈmente
accidente	akθiˈðente
accidentes	akθiˈðentes
acción	akˈθjon
acciona	akˈθjona
accionar	akθjoˈnaɾ
accionariado	akθjonaˈɾjaðo
accionarial	akθjonaˈɾjal
accionariales	akθjonaˈɾjales
acciones	akˈθjones
accionista	akθjoˈnista
accionistas	akθjoˈnistas
acecha	aˈθeʧa
acechan	aˈθeʧan
acecho	aˈθeʧo
aceite	aˈθejte
aceitera	aθejˈteɾa
aceites	aˈθejtes
aceituna	aθejˈtuna
aceitunas	aθejˈtunas
acelera	aθeˈleɾa
aceleración	aθeleɾaˈθjon
aceleraciones	aθeleɾaˈθjones
acelerada	aθeleˈɾaða
acelerado	aθeleˈɾaðo
acelerador	aθeleɾaˈðoɾ
aceleradores	aθeleɾaˈðoɾes
acelerados	aθeleˈɾaðos
aceleran	aθeˈleɾan
acelerando	aθeleˈɾando
acelerar	aθeleˈɾaɾ
acelerara	aθeleˈɾaɾa
acelerará	aθeleɾaˈɾa
acelerarme	aθeleˈɾaɾme
aceleraron	aθeleˈɾaɾon
acelerarse	aθeleˈɾaɾse
acelere	aθeˈleɾe
acelero	aθeˈleɾo
aceleró	aθeleˈɾo
acelerón	aθeleˈɾon
acelga	aˈθelɣa
a_centenares	aθenteˈnaɾes
acento	aˈθento
acentos	aˈθentos
acentúa	aθenˈtua
acentuación	aθentwaˈθjon
acentuada	aθenˈtwaða
acentuado	aθenˈtwaðo
acentúan	aθenˈtuan
acentuando	aθenˈtwando
acentuar	aθenˈtwaɾ
acentuó	aθenˈtwo
acepción	aθepˈθjon
acepta	aˈθepta
aceptaba	aθepˈtaβa
aceptaban	aθepˈtaβan
aceptable	aθepˈtaβle
aceptables	aθepˈtaβles
aceptación	aθeptaˈθjon
aceptada	aθepˈtaða
aceptadas	aθepˈtaðas
aceptadlo	aθepˈtaðlo
aceptado	aθepˈtaðo
aceptador	aθeptaˈðoɾ
aceptados	aθepˈtaðos
aceptamos	aθepˈtamos
aceptan	aˈθeptan
aceptando	aθepˈtando
aceptar	aθepˈtaɾ
aceptara	aθepˈtaɾa
aceptará	aθeptaˈɾa
aceptaran	aθepˈtaɾan
aceptarán	aθeptaˈɾan
aceptare	aθepˈtaɾe
aceptaré	aθeptaˈɾe
aceptaremos	aθeptaˈɾemos
aceptaría	aθeptaˈɾia
aceptarían	aθeptaˈɾian
aceptarías	aθeptaˈɾias
aceptarla	aθepˈtaɾla
aceptarlo	aθepˈtaɾlo
aceptaron	aθepˈtaɾon
aceptarse	aθepˈtaɾse
aceptas	aˈθeptas
aceptase	aθepˈtase
acepte	aˈθepte
acepté	aθepˈte
aceptemos	aθepˈtemos
acepten	aˈθepten
acepto	aˈθepto
aceptó	aθepˈto
acequia	aˈθekja
acera	aˈθeɾa
acerada	aθeˈɾaða
aceras	aˈθeɾas
acerca	aˈθeɾka
acercaba	aθeɾˈkaβa
acercaban	aθeɾˈkaβan
a_cerca_de	aˈθeɾkaðe
acerca_de	aˈθeɾkaðe
acerca_del	aˈθeɾkaðel
acercado	aθeɾˈkaðo
acercamiento	aθeɾkaˈmjento
acercamientos	aθeɾkaˈmjentos
acercamos	aθeɾˈkamos
acercan	aˈθeɾkan
acercando	aθeɾˈkando
acercándose	aθeɾˈkandose
acercar	aθeɾˈkaɾ
acercara	aθeɾˈkaɾa
acercará	aθeɾkaˈɾa
acercaremos	aθeɾkaˈɾemos
acercarías	aθeɾkaˈɾias
acercarme	aθeɾˈkaɾme
acercarnos	aθeɾˈkaɾnos
acercaron	aθeɾˈkaɾon
acercarse	aθeɾˈkaɾse
acerco	aˈθeɾko
acercó	aθeɾˈko
acero	aˈθeɾo
aceros	aˈθeɾos
acerque	aˈθeɾke
acerqué	aθeɾˈke
acerquen	aˈθeɾken
acérrimo	aˈθerimo
acérrimos	aˈθerimos
acertada	aθeɾˈtaða
acertadamente	aθeɾˈtaðaˈmente
acertadas	aθeɾˈtaðas
acertado	aθeɾˈtaðo
acertados	aθeɾˈtaðos
acertante	aθeɾˈtante
acertantes	aθeɾˈtantes
acertar	aθeɾˈtaɾ
acertaron	aθeɾˈtaɾon
acertó	aθeɾˈto
acervo	aˈθeɾβo
acetaminofen	aθetamiˈnofen
acetaminofén	aθetaminoˈfen
acetato	aθeˈtato
acetilsalicílico	aθetilsaliˈθiliko
achaca	aˈʧaka
achacaba	aʧaˈkaβa
achacable	aʧaˈkaβle
achacan	aˈʧakan
achacar	aʧaˈkaɾ
achacaron	aʧaˈkaɾon
achacarse	aʧaˈkaɾse
achacó	aʧaˈko
achanta	aˈʧanta
achaques	aˈʧakes
achicar	aʧiˈkaɾ
achicó	aʧiˈko
a_chorros	aˈʧoros
aciaga	aˈθjaɣa
aciago	aˈθjaɣo
acicate	aθiˈkate
ácida	ˈaθiða
ácidas	ˈaθiðas
acidez	aθiˈðeθ
ácido	ˈaθiðo
ácidos	ˈaθiðos
a_ciencia_cierta	aˈθjenθjaˈθjeɾta
acierta	aˈθjeɾta
aciertan	aˈθjeɾtan
aciertas	aˈθjeɾtas
acierto	aˈθjeɾto
aciertos	aˈθjeɾtos
aciones	aˈθjones
aclamación	aklamaˈθjon
aclamaciones	aklamaˈθjones
aclamada	aklaˈmaða
aclamadas	aklaˈmaðas
aclamado	aklaˈmaðo
aclamados	aklaˈmaðos
aclamaron	aklaˈmaɾon
aclara	aˈklaɾa
aclaraba	aklaˈɾaβa
aclaración	aklaɾaˈθjon
aclaraciones	aklaɾaˈθjones
aclaradas	aklaˈɾaðas
aclarado	aklaˈɾaðo
aclaramos	aklaˈɾamos
aclaran	aˈklaɾan
aclarando	aklaˈɾando
aclarar	aklaˈɾaɾ
aclarará	aklaɾaˈɾa
aclararme	aklaˈɾaɾme
aclararnos	aklaˈɾaɾnos
aclararon	aklaˈɾaɾon
aclararse	aklaˈɾaɾse
aclararte	aklaˈɾaɾte
aclaras	aˈklaɾas
aclárate	aˈklaɾate
aclare	aˈklaɾe
aclaremos	aklaˈɾemos
aclaren	aˈklaɾen
aclares	aˈklaɾes
aclaro	aˈklaɾo
aclaró	aklaˈɾo
aclimatación	aklimataˈθjon
aclimatarse	aklimaˈtaɾse
acmé	aɣˈme
acné	aɣˈne
acoge	aˈkoxe
acogedor	akoxeˈðoɾ
acogedora	akoxeˈðoɾa
acogedores	akoxeˈðoɾes
acogemos	akoˈxemos
acogen	aˈkoxen
acoger	akoˈxeɾ
acogerá	akoxeˈɾa
acogerán	akoxeˈɾan
acogerse	akoˈxeɾse
acogida	akoˈxiða
acogidas	akoˈxiðas
acogido	akoˈxiðo
acogidos	akoˈxiðos
acogiendo	akoˈxjendo
acogieron	akoˈxjeɾon
acogimiento	akoxiˈmjento
acogió	akoˈxjo
acoja	aˈkoxa
acojan	aˈkoxan
acojona	akoˈxona
acojonada	akoxoˈnaða
acojonado	akoxoˈnaðo
acojonados	akoxoˈnaðos
acojonan	akoˈxonan
acojonante	akoxoˈnante
acojonar	akoxoˈnaɾ
acojone	akoˈxone
acólitos	aˈkolitos
acomete	akoˈmete
acometer	akomeˈteɾ
acometerá	akometeˈɾa
acometida	akomeˈtiða
acometidas	akomeˈtiðas
acometido	akomeˈtiðo
acometió	akomeˈtjo
a_comienzos_de	akoˈmjenθozðe
acomoda	akoˈmoða
acomodaba	akomoˈðaβa
acomodación	akomoðaˈθjon
acomodada	akomoˈðaða
acomodadas	akomoˈðaðas
acomodado	akomoˈðaðo
acomodados	akomoˈðaðos
acomodan	akoˈmoðan
acomodando	akomoˈðando
acomodar	akomoˈðaɾ
acomodarse	akomoˈðaɾse
acomodaticio	akomoðaˈtiθjo
acomodo	akoˈmoðo
acomodó	akomoˈðo
acompaña	akomˈpaɲa
acompañaba	akompaˈɲaβa
acompañaban	akompaˈɲaβan
acompañada	akompaˈɲaða
acompañadas	akompaˈɲaðas
acompañado	akompaˈɲaðo
acompañados	akompaˈɲaðos
acompañamiento	akompaɲaˈmjento
acompañamientos	akompaɲaˈmjentos
acompañan	akomˈpaɲan
acompañando	akompaˈɲando
acompañante	akompaˈɲante
acompañantes	akompaˈɲantes
acompañar	akompaˈɲaɾ
acompañara	akompaˈɲaɾa
acompañará	akompaɲaˈɾa
acompañaran	akompaˈɲaɾan
acompañarán	akompaɲaˈɾan
acompañarle	akompaˈɲaɾle
acompañaron	akompaˈɲaɾon
acompañe	akomˈpaɲe
acompañen	akomˈpaɲen
acompaño	akomˈpaɲo
acompañó	akompaˈɲo
acomplejada	akompleˈxaða
acomplejado	akompleˈxaðo
acomplejados	akompleˈxaðos
acondicionado	akondiθjoˈnaðo
acondicionador	akondiθjonaˈðoɾ
acondicionamiento	akondiθjonaˈmjento
acondicionar	akondiθjoˈnaɾ
a_condición_de_que	akondiˈθjondeke
aconfesional	akomfesjoˈnal
acongojado	akoŋɡoˈxaðo
a_consecuencia_de	akonseˈkwenθjaðe
aconseja	akonˈsexa
aconsejaba	akonseˈxaβa
aconsejaban	akonseˈxaβan
aconsejable	akonseˈxaβle
aconsejado	akonseˈxaðo
aconsejados	akonseˈxaðos
aconsejamos	akonseˈxamos
aconsejan	akonˈsexan
aconsejar	akonseˈxaɾ
aconsejaría	akonsexaˈɾia
aconsejarle	akonseˈxaɾle
aconsejaron	akonseˈxaɾon
aconseje	akonˈsexe
aconsejen	akonˈsexen
aconsejo	akonˈsexo
aconsejó	akonseˈxo
acontece	akonˈteθe
acontecen	akonˈteθen
acontecer	akonteˈθeɾ
acontecida	akonteˈθiða
acontecido	akonteˈθiðo
acontecimiento	akonteθiˈmjento
acontecimientos	akonteθiˈmjentos
aconteció	akonteˈθjo
a_continuación	akontinwaˈθjon
acopio	aˈkopjo
acopladas	akoˈplaðas
acoplado	akoˈplaðo
acoplamiento	akoplaˈmjento
acoplarse	akoˈplaɾse
acople	aˈkople
acopló	akoˈplo
acorazada	akoɾaˈθaða
acorazado	akoɾaˈθaðo
a_corazón_abierto	akoɾaˈθonaˈβjeɾto
acordaba	akoɾˈðaβa
acordada	akoɾˈðaða
acordadas	akoɾˈðaðas
acordado	akoɾˈðaðo
acordados	akoɾˈðaðos
acordáis	akoɾˈðajs
acordamos	akoɾˈðamos
acordando	akoɾˈðando
acordándose	akoɾˈðandose
acordar	akoɾˈðaɾ
acordara	akoɾˈðaɾa
acordará	akoɾðaˈɾa
acordarás	akoɾðaˈɾas
acordarme	akoɾˈðaɾme
acordaron	akoɾˈðaɾon
acordaros	akoɾˈðaɾos
acordarse	akoɾˈðaɾse
acorde	aˈkoɾðe
acordé	akoɾˈðe
acordeón	akoɾðeˈon
acordeonista	akoɾðeoˈnista
acordes	aˈkoɾðes
acordó	akoɾˈðo
acordonada	akoɾðoˈnaða
acordonaron	akoɾðoˈnaɾon
acordonó	akoɾðoˈno
acorralado	akoraˈlaðo
acorralados	akoraˈlaðos
acorralamiento	akoralaˈmjento
acorralar	akoraˈlaɾ
acorta	aˈkoɾta
acortada	akoɾˈtaða
acortado	akoɾˈtaðo
acortar	akoɾˈtaɾ
acortaría	akoɾtaˈɾia
acortó	akoɾˈto
a_corto_plazo	aˈkoɾtoˈplaθo
acosada	akoˈsaða
acosado	akoˈsaðo
acosados	akoˈsaðos
acosan	aˈkosan
acosar	akoˈsaɾ
acosen	aˈkosen
acoso	aˈkoso
acosta	aˈkosta
acostado	akosˈtaðo
acostar	akosˈtaɾ
acostarás	akostaˈɾas
acostarme	akosˈtaɾme
acostarse	akosˈtaɾse
acostumbra	akosˈtumbɾa
acostumbraba	akostumˈbɾaβa
acostumbrada	akostumˈbɾaða
acostumbrado	akostumˈbɾaðo
acostumbrados	akostumˈbɾaðos
acostumbran	akosˈtumbɾan
acostumbrando	akostumˈbɾando
acostumbrar	akostumˈbɾaɾ
acostumbraremos	akostumbɾaˈɾemos
acostumbrarnos	akostumˈbɾaɾnos
acostumbrarse	akostumˈbɾaɾse
acostumbras	akosˈtumbɾas
acostumbre	akosˈtumbɾe
acostumbren	akosˈtumbɾen
acostumbro	akosˈtumbɾo
acotada	akoˈtaða
acotan	aˈkotan
acotando	akoˈtando
acotar	akoˈtaɾ
ácrata	ˈakɾata
ácratas	ˈakɾatas
acrecentado	akɾeθenˈtaðo
acrecentar	akɾeθenˈtaɾ
acrecentó	akɾeθenˈto
acrecienta	akɾeˈθjenta
acredita	akɾeˈðita
acreditación	akɾeðitaˈθjon
acreditada	akɾeðiˈtaða
acreditadas	akɾeðiˈtaðas
acreditado	akɾeðiˈtaðo
acreditados	akɾeðiˈtaðos
acreditan	akɾeˈðitan
acreditar	akɾeðiˈtaɾ
acreditativa	akɾeðitaˈtiβa
acreditativo	akɾeðitaˈtiβo
acredite	akɾeˈðite
acrediten	akɾeˈðiten
acreditó	akɾeðiˈto
