A	ʔaː
Abdikation	ʔapdikaˈʦjoːn
Abdikationen	ʔapdikaˈʦjoːnən
Abdomen	ʔapˈdoːmən
Abdomens	ʔapˈdoːməns
Abdomina	ʔapˈdoːmina
Abduktion	ʔapdʊkˈʦjoːn
Abduktionen	ʔapdʊkˈʦjoːnən
Abduktor	ʔapˈdʊktoːʀ
Abduktoren	ʔapdʊkˈtoːʀən
Abduktors	ʔapˈdʊktoːʀs
Abdul	ʔapdul
Abdullah	ʔapdulaː
Abecedarien	ʔabeʦeˈdaːʀiən
Abecedarium	ʔabeʦeˈdaːʀiʊm
Abend	ʔaːbənt
Abenteuer	ʔaːbəntɔɪəʀ
Abenteuerin	ʔaːbəntɔɪəʀɪn
Abenteuerinnen	ʔaːbəntɔɪəʀɪnən
Abenteuern	ʔaːbəntɔɪəʀn
Abenteuers	ʔaːbəntɔɪəʀs
Abenteurer	ʔaːbəntɔɪʀəʀ
Abenteurerin	ʔaːbəntɔɪʀəʀɪn
Abenteurerinnen	ʔaːbəntɔɪʀəʀɪnən
Abenteurern	ʔaːbəntɔɪʀəʀn
Abenteurers	ʔaːbəntɔɪʀəʀs
Aberdeen	ʔɛbədiːn
Aberkennung	ʔapʔɛʀˌkɛnʊŋ
Aberkennungen	ʔapʔɛʀˌkɛnʊŋən
Aberration	ʔapʔɛʀaˈʦjoːn
Aberrationen	ʔapʔɛʀaˈʦjoːnən
Abert	ʔaːbɛʀt
Abessinien	ʔaːbɛˈsiːnjən
Abessinier	ʔabɛˈsiːnjəʀ
Abfahrsignal	ʔap͡faːʀzɪˌgnaːl
Abfalleimer	ʔap͡falˌʔaɪməʀ
Abfalleimern	ʔap͡falˌʔaɪməʀn
Abfalleimers	ʔap͡falˌʔaɪməʀs
Abfertigung	ʔap͡fɛʀtɪgʊŋ
Abfertigungen	ʔap͡fɛʀtɪgʊŋən
Abflugszeit	ʔap͡fluːksˌʦaɪt
Abflugszeiten	ʔap͡fluːksˌʦaɪtən
Abfuhr	ʔap͡fuːʀ
Abfuhren	ʔap͡fuːʀən
Abführmittel	ʔap͡fyːʀˌmɪtəl
Abfülldatum	ʔap͡fʏlˌdaːtʊm
Abgötterei	ʔapgœtəˈʀaɪ
Abhängigkeit	ʔaphɛŋɪçkaɪt
Abhängigkeiten	ʔaphɛŋɪçkaɪtən
Abhängling	ʔaphɛŋlɪŋ
Abhöraffäre	ʔaphøːʀʔaˌfɛːʀə
Abhöranlage	ʔaphøːʀˌʔanlaːgə
Abi	ʔabiː
Abietinsäure	ʔabieˈtiːnˌzɔɪʀə
Abiogenese	ʔabjogeˈneːzə
Abiogenesis	ʔabjoˈgeːnezɪs
Abiose	ʔaˈbjoːzə
Abiosis	ʔaˈbiːozɪs
Abiotrophie	ʔabjotʀoˈfiː
Abitur	ʔabiˈtuːʀ
Abiture	ʔabiˈtuːʀə
Abituren	ʔabiˈtuːʀən
Abiturien	ʔabiˈtuːʀiən
Abiturient	ʔabituˈʀjɛnt
Abiturienten	ʔabituˈʀjɛntən
Abiturientin	ʔabituˈʀjɛntɪn
Abiturientinnen	ʔabituˈʀjɛntɪnən
Abiturium	ʔabiˈtuːʀiʊm
Abiturs	ʔabiˈtuːʀs
Abjudikation	ʔapjudikaˈʦjoːn
Abjudikationen	ʔapjudikaˈʦjoːnən
Abjuration	ʔapjuʀaˈʦjoːn
Abkanzelung	ʔapkanʦəlʊŋ
Abkanzelungen	ʔapkanʦəlʊŋən
Abkapselung	ʔapkapsəlʊŋ
Abkapselungen	ʔapkapsəlʊŋən
Abkapslung	ʔapkapslʊŋ
Abkapslungen	ʔapkapslʊŋən
Abkehr	ʔapkeːʀ
Abkunft	ʔapkʊnft
Abkömmling	ʔapkœmlɪŋ
Ablation	ʔaplaˈʦjoːn
Ablationen	ʔaplaˈʦjoːnən
Ablativ	ʔaplatiːf
Ablative	ʔaplatiːvə
Ablativen	ʔaplatiːvən
Ablativs	ʔaplatiːfs
Ablativus	ʔaplaˈtiːvʊs
Ableger	ʔapleːgəʀ
Ablegern	ʔapleːgəʀn
Ablegers	ʔapleːgəʀs
Ablution	ʔapluˈʦjoːn
Abmagerung	ʔapmaːgəʀʊŋ
Abmagerungen	ʔapmaːgəʀʊŋən
Abmeierung	ʔapmaɪəʀʊŋ
Abmeierungen	ʔapmaɪəʀʊŋən
Abnahme	ʔapnaːmə
Abnahmen	ʔapnaːmən
Abnormität	ʔapnɔʀmiˈtɛːt
Abodrit	ʔaboˈdʀiːt
Abolition	ʔaboliˈʦjoːn
Abolitionismus	ʔaːbolitsjoˈnɪsmʊs
Abolitionist	ʔaːbolitsjoˈnɪst
Abolitionisten	ʔaːbolitsjoˈnɪstən
Abonnement	ʔabɔnəˈmɑ̃ː
Abonnemente	ʔabɔnəˈmɑ̃ːə
Abonnementen	ʔabɔnəˈmɑ̃ːən
Abonnements	ʔabɔnəˈmɑ̃ːs
Abonnent	ʔabɔˈnɛnt
Abonnenten	ʔabɔˈnɛntən
Aborigine	ʔɛbəˈʀɪʤɪniː
Abort	ʔaˈbɔʀt
Aborte	ʔaˈbɔʀtə
Aborten	ʔaˈbɔʀtən
Abortes	ʔaˈbɔʀtəs
Abortiva	ʔapʔɔʀˈtiːvaː
Abortivum	ʔapʔɔʀˈtiːvʊm
Aborts	ʔaˈbɔʀʦ
Abprallen	ʔappʀalən
Abraham	ʔaːbʀaham
Abrahams	ʔaːbʀahams
Abrakadabra	ʔabʀakaˈdaːbʀaː
Abrakadabras	ʔabʀakaˈdaːbʀaːs
Abrasax	ʔabʀaˈzaks
Abrasion	ʔapʀaˈzjoːn
Abrasionen	ʔapʀaˈzjoːnən
Abraxas	ʔaˈbʀaksas
Abreißblock	ʔapʀaɪsˌblɔk
Abreißkalender	ʔapʀaɪskaˌlɛndəʀ
Abrieb	ʔapʀiːp
Abriebe	ʔapʀiːbə
Abrieben	ʔapʀiːbən
Abriebes	ʔapʀiːbəs
Abriebs	ʔapʀiːps
Abriegelung	ʔapʀiːgəlʊŋ
Abriegelungen	ʔapʀiːgəlʊŋən
Abrieglung	ʔapʀiːglʊŋ
Abrieglungen	ʔapʀiːglʊŋən
Abruzzen	ʔaˈbʀʊʦən
Absalom	ʔapzalɔm
Absatz	ʔapzaʦ
Absatze	ʔapzaʦə
Absatzes	ʔapzaʦəs
Abscheu	ʔapʃɔɪ
Abscheulichkeit	ʔapʃɔɪlɪçkaɪt
Abscheulichkeiten	ʔapˈʃɔɪlɪçkaɪtən
Abscheus	ʔapʃɔɪs
Abschied	ʔapʃiːt
Abschiede	ʔapʃiːdə
Abschieden	ʔapʃiːdən
Abschiedes	ʔapʃiːdəs
Abschieds	ʔapʃiːʦ
Abschilferung	ʔapʃɪlfəʀʊŋ
Abschilferungen	ʔapʃɪlfəʀʊŋən
Abschnitt	ʔapʃnɪt
Abschnitte	ʔapʃnɪtə
Abschnitten	ʔapʃnɪtən
Abschnittes	ʔapʃnɪtəs
Abschnitts	ʔapʃnɪʦ
Abschnittsbevollmächtigte	ʔapʃnɪʦbəˌfɔlmɛçtɪçtə
Abseitigkeit	ʔapzaɪtɪçkaɪt
Abseitigkeiten	ʔapzaɪtɪçkaɪtən
Abseits	ʔapzaɪʦ
Absence	ʔapˈsɑ̃ːs
Absencen	ʔapˈsɑ̃ːsən
Absenz	ʔapˈzɛnʦ
Absenzen	ʔapˈzɛnʦən
Absetzung	ʔapzɛʦʊŋ
Absetzungen	ʔapzɛʦʊŋən
Absichtlichkeit	ʔapzɪçtlɪçkaɪt
Absichtlichkeiten	ʔapzɪçtlɪçkaɪtən
Absinth	ʔapˈzɪnt
Absolutheit	ʔapzoˈluːthaɪt
Absolutheiten	ʔapzoˈluːthaɪtən
Absolution	ʔapzoluˈʦjoːn
Absolutionen	ʔapzoluˈʦjoːnən
Absolutismus	ʔapzoluˈtɪsmʊs
Absolutist	ʔapzoluˈtɪst
Absolutisten	ʔapzoluˈtɪstən
Absolutorien	ʔapzoluˈtoːʀiən
Absolutorium	ʔapzoluˈtoːʀiʊm
Absolutoriums	ʔapzoluˈtoːʀiʊms
Absolvent	ʔapzɔlˈvɛnt
Absolventen	ʔapzɔlˈvɛntən
Absolvierung	ʔapzɔlˈviːʀʊŋ
Absolvierungen	ʔapzɔlˈviːʀʊŋən
Absonderlichkeit	ʔapˈzɔndəʀlɪçkaɪt
Absonderlichkeiten	ʔapˈzɔndəʀlɪçkaɪtən
Absorbens	ʔapˈzɔʀbɛns
Absorbentia	ʔapzɔʀˈbɛnʦjaː
Absorbenzien	ʔapzɔʀˈbɛnʦjən
Absorber	ʔapˈzɔʀbəʀ
Absorbern	ʔapˈzɔʀbəʀn
Absorbers	ʔapˈzɔʀbəʀs
Absorption	ʔapzɔʀpˈʦjoːn
Absorptionen	ʔapzɔʀpˈʦjoːnən
Absperrhahn	ʔapʃpɛʀˌhaːn
Absperrhahne	ʔapʃpɛʀˌhaːnə
Absperrhahnes	ʔapʃpɛʀˌhaːnəs
Absperrhahns	ʔapʃpɛʀˌhaːns
Absperrventil	ʔapʃpɛʀvɛnˌtiːl
Absplitterung	ʔapʃplɪtəʀʊŋ
Absplitterungen	ʔapʃplɪtəʀʊŋən
Abstellbahnhof	ʔapʃtɛlˌbaːnhoːf
Abstellbahnhofe	ʔapʃtɛlˌbaːnhoːfə
Abstellbahnhofes	ʔapʃtɛlˌbaːnhoːfəs
Abstellbahnhofs	ʔapʃtɛlˌbaːnhoːfs
Abstellgleis	ʔapʃtɛlˌglaɪs
Abstellgleise	ʔapʃtɛlˌglaɪzə
Abstellgleisen	ʔapʃtɛlˌglaɪzən
Abstellgleises	ʔapʃtɛlˌglaɪzəs
Abstellhahn	ʔapʃtɛlˌhaːn
Abstellkammer	ʔapʃtɛlˌkaməʀ
Abstellraum	ʔapʃtɛlˌʀaʊm
Abstellraume	ʔapʃtɛlˌʀaʊmə
Abstellraumes	ʔapʃtɛlˌʀaʊməs
Abstellraums	ʔapʃtɛlˌʀaʊms
Abstention	ʔapstɛnˈʦjoːn
Abstieg	ʔapʃtiːk
Abstiege	ʔapʃtiːgə
Abstiegen	ʔapʃtiːgən
Abstieges	ʔapʃtiːgəs
Abstiegs	ʔapʃtiːks
Abstimmkreis	ʔapʃtɪmˌkʀaɪs
Abstimmkreise	ʔapʃtɪmˌkʀaɪzə
Abstimmkreisen	ʔapʃtɪmˌkʀaɪzən
Abstimmkreises	ʔapʃtɪmˌkʀaɪzəs
Abstimmschärfe	ʔapʃtɪmˌʃɛʀfə
Abstinent	ʔapstiˈnɛnt
Abstinenz	ʔapstiˈnɛnʦ
Abstinenzler	ʔapstiˈnɛnʦləʀ
Abstinenzlern	ʔapstiˈnɛnʦləʀn
Abstinenzlers	ʔapstiˈnɛnʦləʀs
Abstoßung	ʔapʃtosʊŋ
Abstract	ʔɛpstʀɛkt
Abstrakta	ʔapˈstʀaktaː
Abstraktion	ʔapstʀakˈʦjoːn
Abstraktionen	ʔapstʀakˈʦjoːnən
Abstumpfung	ʔapʃtʊmp͡fʊŋ
Absurdität	ʔapzʊʀdiˈtɛːt
Abszesse	ʔapsˈʦɛsə
Abszessen	ʔapsˈʦɛsən
Abszesses	ʔapsˈʦɛsəs
Abszeß	ʔapsˈʦɛs
Abszisine	ʔapsʦiˈziːnə
Abszisse	ʔapsˈʦɪsə
Abszissen	ʔapsˈʦɪsən
Abt	ʔapt
Abtast	ʔaptast
Abte	ʔaptə
Abtei	ʔapˈtaɪ
Abteien	ʔapˈtaɪən
Abteil	ʔapˈtaɪl
Abteile	ʔapˈtaɪlə
Abteilen	ʔaptaɪlən
Abteiles	ʔapˈtaɪləs
Abteils	ʔapˈtaɪls
Abteilung	ʔapˈtaɪlʊŋ
Abteilungen	ʔaptaɪlʊŋən
Abteilungs	ʔapˈtaɪlʊŋs
Abtes	ʔaptəs
Abtrag	ʔaptʀaːk
Abtrage	ʔaptʀaːgə
Abtrages	ʔaptʀaːgəs
Abtrags	ʔaptʀaːks
Abts	ʔapʦ
Abulie	ʔabuˈliː
Abulien	ʔabuˈliːən
Abundanz	ʔabʊnˈdanʦ
Abwasch	ʔapvaʃ
Abwasche	ʔapvaʃə
Abwasches	ʔapvaʃəs
Abwaschs	ʔapvaʃs
Abweg	ʔapveːk
Abwege	ʔapveːgə
Abwegen	ʔapveːgən
Abweges	ʔapveːgəs
Abwegigkeit	ʔapveːgɪçkaɪt
Abwegigkeiten	ʔapveːgɪçkaɪtən
Abwegs	ʔapveːks
Abweichung	ʔapvaɪçʊŋ
Abweichungen	ʔapvaɪçʊŋən
Abwesenden	ʔapveːzəndən
Abyssus	ʔaˈpʏsʊs
Abziehbild	ʔapʦiːˌbɪlt
Abziehbilde	ʔapʦiːˌbɪldə
Abziehbilder	ʔapʦiːˌbɪldəʀ
Abziehbildern	ʔapʦiːˌbɪldəʀn
Abziehbildes	ʔapʦiːˌbɪldəs
Abziehbilds	ʔapʦiːˌbɪlʦ
Abzirkelung	ʔapʦɪʀkəlʊŋ
Abzirkelungen	ʔapʦɪʀkəlʊŋən
Abzirklung	ʔapʦɪʀklʊŋ
Abzweigung	ʔapʦvaɪgʊŋ
Abzweigungen	ʔapʦvaɪgʊŋən
Abzählreim	ʔapʦɛːlˌʀaɪm
Abzählvers	ʔapʦɛːlˌfɛʀs
Acajoubaum	ʔakaˈʒuːˌbaʊm
Accessoire	ʔasɛˈswaː
Accessoires	ʔasɛˈswaːs
Account	ʔəˈkaʊnt
Acetat	ʔaʦeˈtaːt
Acetimeter	ʔaʦetiˈmeːtəʀ
Aceton	ʔaʦeˈtoːn
Acetons	ʔaʦeˈtoːns
Acetonämie	ʔaʦeˌtoːnʔɛˈmiː
Acetophenon	ʔaːʦetofeˈnoːn
Acetyl	ʔaʦeˈtyːl
Acetylen	ʔaʦetyˈleːn
Acetylenid	ʔaːʦetyleˈniːt
Acetylenide	ʔaːʦetyleˈniːdə
Acetylid	ʔaʦetyˈliːt
Acetylide	ʔaʦetyˈliːdə
Achaia	ʔaˈxaːjaː
Achard	ʔaˈʃaːʀ
Acharnai	ʔaˈxaʀnaɪ
Acharnä	ʔaˈxaʀnɛː
Achat	ʔaˈxaːt
Achate	ʔaˈxaːtə
Achaten	ʔaˈxaːtən
Achates	ʔaˈxaːtəs
Achats	ʔaˈxaːʦ
Ache	ʔaːxə
Achebe	ʔaˈʧeːbə
Acheloos	ʔaxeˈloːɔs
Acheron	ʔaxeʀɔn
Acheuléen	ʔaʃœleˈɛ̃ː
Achill	ʔaˈxil
Achilles	ʔaˈxɪlɛs
Achillesferse	ʔaˈxɪləsˌfɛʀzə
Achillesfersen	ʔaˈxɪləsˌfɛʀzən
Achillessehne	ʔaˈxɪləsˌzeːnə
Achillessehnen	ʔaˈxɪləsˌzeːnən
Achim	ʔaxɪm
Achior	ʔaxiˈoːʀ
Achlorhydrie	ʔakloːʀhyˈdʀiː
Achmed	ʔaxmɛt
Acholie	ʔaxoˈliː
Achondrit	ʔaxɔnˈdʀɪt
Achroit	ʔakʀoˈʔɪt
Achromasie	ʔakʀomaˈziː
Achromasien	ʔakʀomaˈziːən
Achromat	ʔakʀoˈmaːt
Achromate	ʔakʀoˈmaːtə
Achromaten	ʔakʀoˈmaːtən
Achromates	ʔakʀoˈmaːtəs
Achromatin	ʔakʀomaˈtiːn
Achromatismus	ʔakʀomaˈtɪsmʊs
Achromatopsie	ʔaːkʀomatɔpˈsiː
Achromatopsien	ʔaːkʀomatɔpˈsiːən
Achromats	ʔakʀoˈmaːʦ
Achs	ʔaks
Achsbruch	ʔaksˌbʀʊx
Achsdruck	ʔaksˌdʀʊk
Achsdrucke	ʔaksˌdʀʊkə
Achsdruckes	ʔaksˌdʀʊkəs
Achsdrucks	ʔaksˌdʀʊks
Achse	ʔaksə
Achsel	ʔaksəl
Achseln	ʔaksəln
Achsen	ʔakzən
Achsenzylinder	ʔaksənʦyˌlɪndəʀ
Achsenzylindern	ʔaksənʦyˌlɪndəʀn
Achsenzylinders	ʔaksənʦyˌlɪndəʀs
Achskilometer	ʔakskiloˌmeːtəʀ
Achskilometern	ʔakskiloˌmeːtəʀn
Achskilometers	ʔakskiloˌmeːtəʀs
Achslager	ʔaksˌlaːgəʀ
Achslagern	ʔaksˌlaːgəʀn
Achslagers	ʔaksˌlaːgəʀs
Acht	ʔaxt
Achtel	ʔaxtəl
Achtelliter	ʔaxtəlˌlitəʀ
Achtellitern	ʔaxtəlˌlitəʀn
Achtelliters	ʔaxtəlˌlitəʀs
Achten	ʔaxtən
Achtender	ʔaxtˌʔɛndəʀ
Achter	ʔaxtəʀ
Achtern	ʔaxtəʀn
Achters	ʔaxtəʀs
Achtersteven	ʔaxtəʀˌʃteːvən
Achterstevens	ʔaxtəʀˌʃteːvəns
Achtflächner	ʔaxtˌflɛçnəʀ
Achtklässler	ʔaxtˌklɛsləʀ
Achtlosigkeit	ʔaxtloːzɪçkaɪt
Achtlosigkeiten	ʔaxtloːzɪçkaɪtən
Achtsamkeit	ʔaxtzaːmkaɪt
Achtuba	ʔaxtubaː
Achtung	ʔaxtʊŋ
Achtungen	ʔaxtʊŋən
Achtzig	ʔaxʦɪç
Achtzigstel	ʔaxʦɪçstəl
Achtzylindermotor	ʔaxtʦyˌlɪndəʀmoˌtoːʀ
Achtzylindermotoren	ʔaxtʦyˌlɪndəʀmoˌtoːʀən
Achtzylindermotors	ʔaxtʦyˌlɪndəʀmoˌtoːʀs
Achylie	ʔaxyˈliː
Achylien	ʔaxyˈliːən
Achäer	ʔaˈxɛːəʀ
Achämenide	ʔaxɛmeˈniːdə
Achämeniden	ʔaxɛmeˈniːdən
Achäne	ʔaˈxɛːnə
Acid	ʔaˈʦiːt
Acide	ʔaˈʦiːdə
Acidimetrie	ʔaːʦidimeˈtʀiː
Acidität	ʔaʦidiˈtɛːt
Acidophilusmilch	ʔaʦiˈdoːfilʊsmɪlç
Acidose	ʔaʦiˈdoːzə
Acidosen	ʔaʦiˈdoːzən
Acidum	ʔaːʦidʊm
Acis	ʔaːʦɪs
Acker	ʔakəʀ
Ackers	ʔakəʀs
Acre	ʔeːkəʀ
Acres	ʔeːkəʀs
Acryl	ʔaˈkʀyːl
Acrylat	ʔakʀyˈlaːt
Acrylharz	ʔaˈkʀyːlˌhaːʀʦ
Action	ʔɛkʧən
Adagio	ʔaˈdaːʤjoː
Adagios	ʔaˈdaːʤjoːs
Adalbert	ʔaːdalbɛʀt
Adam	ʔaːdam
Adamastor	ʔadaˈmastoːʀ
Adamit	ʔadaˈmiːt
Adamiten	ʔadaˈmiːtən
Adamsapfel	ʔaːdamsˌʔap͡fəl
Adamsapfels	ʔaːdamsˌʔap͡fəls
Adamsit	ʔadamˈzɪt
Adamskostüm	ʔaːdamskɔsˌtyːm
Adaptation	ʔadaptaˈʦjoːn
Adaptationen	ʔadaptaˈʦjoːnən
Adapter	ʔaˈdaptəʀ
Adaptern	ʔaˈdaptəʀn
Adapters	ʔaˈdaptəʀs
Adaption	ʔadapˈʦjoːn
Adaptor	ʔadapˈtoːʀ
Addend	ʔaˈdɛnt
Addenda	ʔaˈdɛndaː
Addendum	ʔaˈdɛndʊm
Addendums	ʔaˈdɛndʊms
Adder	ʔɛdəʀ
Addiator	ʔaˈdjaːtoːʀ
Addiatoren	ʔadjaˈtoːʀən
Addier	ʔaˈdiːʀ
Addiermaschine	ʔaˈdiːʀmaˌʃiːnə
Addiermaschinen	ʔaˈdiːʀmaˌʃiːnən
Addition	ʔadiˈʦjoːn
Additionen	ʔadiˈʦjoːnən
Additiv	ʔadiˈtiːf
Additiven	ʔadiˈtiːvən
Addukt	ʔaˈdʊkt
Adduktion	ʔadʊkˈʦjoːn
Adduktionen	ʔadʊkˈʦjoːnən
Adduktor	ʔaˈdʊktoːʀ
Adduktoren	ʔadʊkˈtoːʀən
Adduktors	ʔaˈdʊktoːʀs
Ade	ʔaˈdeː
Adel	ʔaːdəl
Adele	ʔaˈdeːlə
Adelheid	ʔaːdəlhaɪt
Adelma	ʔaˈdɛlmaː
Adelphie	ʔadɛlˈfiː
Adelphogamie	ʔaːdɛlfogaˈmiː
Adels	ʔaːdəls
Adelung	ʔaːdəlʊŋ
Adelungen	ʔaːdəlʊŋən
Adenauer	ʔaːdənaʊəʀ
Adenin	ʔadeˈniːn
Adenom	ʔadeˈnoːm
Adenome	ʔadeˈnoːmə
Adenomen	ʔadeˈnoːmən
Adenoms	ʔadeˈnoːms
Adenosin	ʔadenoˈziːn
Adept	ʔaˈdɛpt
Adepten	ʔaˈdɛptən
Ader	ʔaːdəʀ
Adern	ʔaːdəʀn
Adhärens	ʔatˈhɛːʀɛns
Adhärenz	ʔathɛˈʀɛnʦ
Adhärenzien	ʔathɛˈʀɛnʦjən
Adhäsion	ʔathɛˈzjoːn
Adina	ʔaˈdiːnaː
Adinol	ʔadiˈnoːl
Adipinsäure	ʔadiˈpiːnˌzɔɪʀə
Adipositas	ʔadiˈpoːzitas
Aditi	ʔaːditiː
Aditjas	ʔaːditjas
Adjektion	ʔatjɛkˈʦjoːn
Adjektiv	ʔatjɛktiːf
Adjektiva	ʔatjɛkˈtiːvaː
Adjektiven	ʔatjɛktiːvən
Adjektivum	ʔatjɛkˈtiːvʊm
Adjudikation	ʔatjudikaˈʦjoːn
Adjudikationen	ʔatjudikaˈʦjoːnən
Adjunkt	ʔatˈjʊŋkt
Adjunkten	ʔatˈjʊŋktən
Adjunktion	ʔatjʊŋkˈʦjoːn
Adjustage	ʔatjʊsˈtaːʒə
Adjustagen	ʔatjʊsˈtaːʒən
Adjustierung	ʔatjʊsˈtiːʀʊŋ
Adjustierungen	ʔatjʊsˈtiːʀʊŋən
Adjutant	ʔatjuˈtant
Adjutanten	ʔatjuˈtantən
Adjutantur	ʔatjutanˈtuːʀ
Adjutanturen	ʔatjutanˈtuːʀən
Adjuten	ʔatˈjuːtən
Adjutum	ʔatˈjuːtʊm
Adjutums	ʔatˈjuːtʊms
Adler	ʔaːdləʀ
Adlern	ʔaːdləʀn
Adlers	ʔaːdləʀs
Adlung	ʔaːdlʊŋ
Administration	ʔatminɪstʀaˈʦjoːn
Administrationen	ʔatminɪstʀaˈʦjoːnən
Administrator	ʔatminɪsˈtʀaːtoːʀ
Administratoren	ʔatminɪstʀaˈtoːʀən
Administrators	ʔatminɪsˈtʀaːtoːʀs
Admiral	ʔatmiˈʀaːl
Admirale	ʔatmiˈʀaːlə
Admiralen	ʔatmiˈʀaːlən
Admiralität	ʔatmiʀaliˈtɛːt
Admirals	ʔatmiˈʀaːls
Admission	ʔatmɪˈsjoːn
Admittanz	ʔatmɪˈtanʦ
Admonition	ʔatmoniˈʦjoːn
Adnex	ʔatˈnɛks
Adnexe	ʔatˈnɛksə
Adnexen	ʔatˈnɛksən
Adnexes	ʔatˈnɛksəs
Adobe	ʔaˈdoːbə
Adoben	ʔaˈdoːbən
Adolar	ʔaːdolaːʀ
Adoleszenz	ʔadolɛsˈʦɛnʦ
Adolf	ʔaːdɔlf
Adonis	ʔaˈdoːnɪs
Adoption	ʔadɔpˈʦjoːn
Adoptionen	ʔadɔpˈʦjoːnən
Adoptiveltern	ʔadɔpˈtiːfˌʔɛltəʀn
Adoptivkind	ʔadɔpˈtiːfˌkɪnt
Adoptivkinde	ʔadɔpˈtiːfˌkɪndə
Adoptivkinder	ʔadɔpˈtiːfˌkɪndəʀ
Adoptivkindern	ʔadɔpˈtiːfˌkɪndəʀn
Adoptivkindes	ʔadɔpˈtiːfˌkɪndəs
Adoptivkinds	ʔadɔpˈtiːfˌkɪnʦ
Adoration	ʔadoʀaˈʦjoːn
Adorationen	ʔadoʀaˈʦjoːnən
Adrenalin	ʔadʀenaˈliːn
Adrenalins	ʔadʀenaˈliːns
Adress	ʔaˈdʀɛs
Adressant	ʔadʀɛˈsant
Adressanten	ʔadʀɛˈsantən
Adressat	ʔadʀɛˈsaːt
Adressaten	ʔadʀɛˈsaːtən
Adresse	ʔaˈdʀɛsə
Adressen	ʔaˈdʀɛsən
Adressieren	ʔadʀɛˈsiːʀən
Adressiermaschine	ʔadʀɛˈsiːʀmaˌʃiːnə
Adressiermaschinen	ʔadʀɛˈsiːʀmaˌʃiːnən
Adressierung	ʔadʀɛˈsiːʀʊŋ
Adreßbuch	ʔaˈdʀɛsˌbuːx
Adria	ʔaːdʀia
Adrian	ʔaːdʀiaːn
Adriana	ʔaːdʀiˈaːnaː
Adriane	ʔadʀiˈaːnə
Adsorbat	ʔatzɔʀˈbaːt
Adsorbens	ʔatˈzɔʀbɛns
Adsorbent	ʔatzɔʀˈbɛnt
Adsorbentia	ʔatzɔʀˈbɛnʦjaː
Adsorbenzien	ʔatzɔʀˈbɛnʦjən
Adsorption	ʔatzɔʀpˈʦjoːn
Adsorptionen	ʔatzɔʀpˈʦjoːnən
Adstrat	ʔaʦˈtʀaːt
Adstringens	ʔatˈstʀɪŋgɛns
Adstringentia	ʔaʦtʀɪŋˈgɛnʦjaː
Adstringenzien	ʔaʦtʀɪŋˈgɛnʦjən
Adua	ʔaːduaː
Adular	ʔaduˈlaːʀ
Advance	ʔɛdˈvaːns
Advantage	ʔɛdˈvaːntɪʤ
Advantages	ʔɛdˈvaːntɪʤs
Advektion	ʔatvɛkˈʦjoːn
Adveniat	ʔatveˈnjaːt
Advent	ʔatˈvɛnt
Advente	ʔatˈvɛntə
Adventen	ʔatˈvɛntən
Adventes	ʔatˈvɛntəs
Adventist	ʔatvɛnˈtɪst
Adventisten	ʔatvɛnˈtɪstən
Adventivbildung	ʔatvɛnˈtiːfˌbɪldʊŋ
Advents	ʔatˈvɛnʦ
Adverb	ʔatˈvɛʀp
Adverbs	ʔatˈvɛʀps
Advokat	ʔatvoˈkaːt
