a	ˈa
a_tal_efecto	aˈtaleˈfekto
a_teixeira	atejˈsejɾa
a_tenor_de	ateˈnoɾðe
a_título_de	aˈtituloðe
a_toda_costa	aˈtoðaˈkosta
a_toda_máquina	aˈtoðaˈmakina
a_toda_pastilla	aˈtoðapasˈtiʎa
a_toda_prisa	aˈtoðaˈpɾisa
a_todas_estas	aˈtoðaˈsestas
a_todas_horas	aˈtoðaˈsoɾas
a_todo_esto	aˈtoðoˈesto
a_tope	aˈtope
a_traición	atɾajˈθjon
a_través_de	atɾaˈβezðe
a_través_del	atɾaˈβezðel
a_trompicones	atɾompiˈkones
a_ultranza	aulˈtɾanθa
a_un_lado_y_otro	awnˈlaðoˈʤotɾo
a_uno_y_otro_lado	aˈunoˈʤotɾoˈlaðo
a_veiga	aˈβejɣa
a_vida_o_muerte	aˈβiðaoˈmweɾte
a_vista_de_pájaro	aˈβistaðeˈpaxaɾo
a_vuelta_de_correo	aˈβweltaðekoˈreo
a_y_g_bolsa	ajˈxeˈbolsa
a_y_g_international_markets	ajˈxeinteɾˈnasonlˈmaɾkits
a_y_g_renta_fija	ajˈxeˈɾentaˈfija
a.c.	ˈantesdeˈkɾisto
a.m.	ˈantesdelmeðjoˈðia
aalborg	ˈalβoɾɣ
aarón	aaˈɾon
ab_ceuta	aˈβeˈθewta
abaco	aˈβako
abad	aˈβað
abada	aˈβaða
abadal	aβaˈðal
abadan	aˈβaðan
abadengo	aβaˈðeŋɡo
abades	aˈβaðes
abadesa	aβaˈðesa
abadía	aβaˈðia
abadía_del_sacromonte	aβaˈðiaðelsakɾoˈmonte
abadiana	aβaˈðjana
abadín	aβaˈðin
abadiño	aβaˈðiɲo
abaijón	aβajˈxon
abain	ˈaβajn
abaiz	aˈβajθ
abajo	aˈβaxo
abalanzaron	aβalanˈθaɾon
abalanzó	aβalanˈθo
abalde_y_moreno	aˈβaldejmoˈɾeno
aballanet	aβaʤaˈneð
aballi	aˈbaʤi
aballo	aˈβaʤo
ábalos	ˈaβalos
abánades	aˈβanaðes
abanco	aˈβaŋko
abandera	aβanˈdeɾa
abanderada	aβandeˈɾaða
abanderado	aβandeˈɾaðo
abanderados	aβandeˈɾaðos
abanderamiento	aβandeɾaˈmjento
abando_equities	aˈβandoeˈkitjes
abandona	aβanˈdona
abandonaba	aβandoˈnaβa
abandonaban	aβandoˈnaβan
abandonada	aβandoˈnaða
abandonadas	aβandoˈnaðas
abandonado	aβandoˈnaðo
abandonados	aβandoˈnaðos
abandonamos	aβandoˈnamos
abandonan	aβanˈdonan
abandonando	aβandoˈnando
abandonar	aβandoˈnaɾ
abandonara	aβandoˈnaɾa
abandonará	aβandonaˈɾa
abandonaran	aβandoˈnaɾan
abandonarán	aβandonaˈɾan
abandonaría	aβandonaˈɾia
abandonarlo	aβandoˈnaɾlo
abandonaron	aβandoˈnaɾon
abandonarse	aβandoˈnaɾse
abandonase	aβandoˈnase
abandone	aβanˈdone
abandoné	aβandoˈne
abandonen	aβanˈdonen
abandones	aβanˈdones
abandono	aβanˈdono
abandonó	aβandoˈno
abandonos	aβanˈdonos
abanico	aβaˈniko
abanicos	aβaˈnikos
abanilla	aβaˈniʎa
abanses	aˈβanses
abante	aˈβante
abantos	aˈβantos
abarán	aβaˈɾan
abarata	aβaˈɾata
abaratado	aβaɾaˈtaðo
abaratamiento	aβaɾataˈmjento
abaratando	aβaɾaˈtando
abaratar	aβaɾaˈtaɾ
abarca	aˈβaɾka
abarcaba	aβaɾˈkaβa
abarcan	aˈβaɾkan
abarcapital_inversiones	aβaɾkapiˈtalimbeɾˈsjones
abarcar	aβaɾˈkaɾ
abarcará	aβaɾkaˈɾa
abardero	aβaɾˈðeɾo
abardias	aˈβaɾðjas
abarea	aβaˈɾea
abarne	aˈβaɾne
abarquen	aˈβaɾken
abarrota	aβaˈrota
abarrotaba	aβaroˈtaβa
abarrotaban	aβaroˈtaβan
abarrotada	aβaroˈtaða
abarrotadas	aβaroˈtaðas
abarrotado	aβaroˈtaðo
abarrotados	aβaroˈtaðos
abarrotan	aβaˈrotan
abarrotaron	aβaroˈtaɾon
abarrotó	aβaroˈto
abarzuza	aβaɾˈθuθa
abas	ˈaβas
abasanz	aβaˈsanθ
abashiri	aβaˈsiɾi
abastece	aβasˈteθe
abastecedor	aβasteθeˈðoɾ
abastecer	aβasteˈθeɾ
abastecerás	aβasteθeˈɾas
abasteceré	aβasteθeˈɾe
abastecerse	aβasteˈθeɾse
abastecimiento	aβasteθiˈmjento
abastillas	aβasˈtiʤas
abasto	aˈβasto
abat	aˈβað
abate	aˈβate
abati	aˈβati
abatibles	aβaˈtiβles
abatida	aβaˈtiða
abatido	aβaˈtiðo
abatidos	aβaˈtiðos
abatieron	aβaˈtjeɾon
abatimiento	aβatiˈmjento
abatió	aβaˈtjo
abatir	aβaˈtiɾ
abay	aˈβaj
abaya	aˈβaʤa
abazolo	aβaˈθolo
abb	ˈaβ
abbott	ˈaβoð
abc	aβeˈθe
abdalá	aβðaˈla
abdelaziz	aβðelaˈθiθ
abdica	aβˈðika
abdicación	aβðikaˈθjon
abdicando	aβðiˈkando
abdicar	aβðiˈkaɾ
abdique	aβˈðike
abdomen	aβˈðomen
abdominal	aβðomiˈnal
abdominales	aβðomiˈnales
abdón_terradas	aβˈðonteˈraðas
abductor	aβðukˈtoɾ
abductores	aβðukˈtoɾes
abdul	aβˈðul
abdulá	aβðuˈla
abecedario	aβeθeˈðaɾjo
abedul	aβeˈðul
abedúl	aβeˈðul
abedul_1.999	aβeˈðulˈmilnoβeˈθjentoznoˈβentajˈnweβe
abegón	aβeˈɣon
abegondo	aβeˈɣondo
abegue	aˈβeɣe
abeille	aˈβejʎe
abeja	aˈβexa
abéjar	aˈβexaɾ
abejaruco	aβexaˈɾuko
abejas	aˈβexas
abejuela	aβeˈxwela
abel	aˈβel
abelaidas	aβeˈlajðas
abelan	aˈβelan
abelardo	aβeˈlaɾðo
abelias	aˈβeljas
abelina	aβeˈlina
abelio	aˈβeljo
abella	aˈβeʎa
abellán	aβeˈʎan
abellana	aβeˈʤana
abellaned	aβeʎaˈneð
abellanera	aβeʤaˈneɾa
abellanet	aβeʤaˈneð
abelló	aβeˈʎo
abellot	aβeˈʤoð
abemoza	aβeˈmoθa
abengibre	aβeŋˈxiβɾe
abengoa	aβeŋˈɡoa
abengoechea	abeŋɡoeˈʧea
abenójar	aβeˈnoxaɾ
abenojar_inversiones	aβenoˈxaɾimbeɾˈsjones
aberchales	aβeɾˈʧales
aberdeen	aβeɾˈðeen
abero	aˈβeɾo
aberoa	aβeˈɾoa
aberración	aβeraˈθjon
aberraciones	aβeraˈθjones
aberrante	aβeˈrante
aberrantes	aβeˈrantes
aberri	aˈβeri
abertura	aβeɾˈtuɾa
aberturas	aβeɾˈtuɾas
abertzale	aβeɾˈʧale
abertzales	aβeɾˈʧales
aberystwyth	aβeɾizðˈwit
abetlla	aˈβeðʤa
abeto	aˈβeto
abey	aˈβej
abi	ˈaβi
abia_de_la_obispalía	ˈaβjaðelaoβispaˈlia
abiade	aˈβjaðe
abianza	aˈβjanθa
abidjan	aˈβiðxan
abiego	aˈβjeɣo
abierta	aˈβjeɾta
abiertamente	aˈβjeɾtaˈmente
abiertas	aˈβjeɾtas
abierto	aˈβjeɾto
abierto_de_australia	aˈβjeɾtoðeawsˈtɾalja
abierto_de_eeuu	aˈβjeɾtoðeesˈtaðosuˈniðos
abiertos	aˈβjeɾtos
abigaíl	aβiɣaˈil
abigarrada	aβiɣaˈraða
abigarrado	aβiɣaˈraðo
abilla	aˈβiʤa
abillar	aβiˈʤaɾ
abillera	aβiˈʤeɾa
abingdon	aˈβiŋɡðon
abiol	aˈβjol
abión	aˈβjon
abir	aˈβiɾ
abismal	aβizˈmal
abismales	aβizˈmales
abismo	aˈβizmo
abismos	aˈβizmos
abizanda	aβiˈθanda
abla	ˈaβla
ablación	aβlaˈθjon
ablaciones	aβlaˈθjones
ablandar	aβlanˈdaɾ
ablanedo	aβlaˈneðo
ablánquez	aˈβlaŋkeθ
able	ˈaβle
ablitas	aˈβlitas
abn_amro	aβeˈeneˈamɾo
abo	ˈaβo
abocada	aβoˈkaða
abocado	aβoˈkaðo
abocados	aβoˈkaðos
abodi	aˈβoði
abofeteado	aβofeteˈaðo
aboga	aˈβoɣa
abogaba	aβoˈɣaβa
abogacía	aβoɣaˈθia
abogada	aβoˈɣaða
abogado	aβoˈɣaðo
abogados	aβoˈɣaðos
abogan	aˈβoɣan
abogar	aβoˈɣaɾ
abogaron	aβoˈɣaɾon
abogo	aˈβoɣo
abogó	aβoˈɣo
abolacio	aβoˈlaθjo
abolengo	aβoˈleŋɡo
abolición	aβoliˈθjon
abolida	aβoˈliða
abolido	aβoˈliðo
abolir	aβoˈliɾ
abollaneda	aβoʤaˈneða
abominable	aβomiˈnaβle
abominables	aβomiˈnaβles
abominación	aβominaˈθjon
abomino	aβoˈmino
abona	aˈβona
abonada	aβoˈnaða
abonadas	aβoˈnaðas
abonado	aβoˈnaðo
abonados	aβoˈnaðos
abonamiento	aβonaˈmjento
abonan	aˈβonan
abonar	aβoˈnaɾ
abonará	aβonaˈɾa
abonarán	aβonaˈɾan
abonarlas	aβoˈnaɾlas
abonaron	aβoˈnaɾon
abonarse	aβoˈnaɾse
abone	aˈβone
abono	aˈβono
abonó	aβoˈno
abonos	aˈβonos
aborda	aˈβoɾða
abordaba	aβoɾˈðaβa
abordada	aβoɾˈðaða
abordado	aβoɾˈðaðo
abordados	aβoɾˈðaðos
abordaje	aβoɾˈðaxe
abordan	aˈβoɾðan
abordar	aβoɾˈðaɾ
abordará	aβoɾðaˈɾa
abordarán	aβoɾðaˈɾan
abordaremos	aβoɾðaˈɾemos
abordaron	aβoɾˈðaɾon
abordarse	aβoɾˈðaɾse
aborde	aˈβoɾðe
aborden	aˈβoɾðen
abordo	aˈβoɾðo
abordó	aβoɾˈðo
aborigen	aβoˈɾixen
aborígenes	aβoˈɾixenes
aborrece	aβoˈreθe
aborrecen	aβoˈreθen
aborregados	aβoreˈɣaðos
aborregar	aβoreˈɣaɾ
aborrezco	aβoˈreθko
abortada	aβoɾˈtaða
abortado	aβoɾˈtaðo
abortan	aˈβoɾtan
abortar	aβoɾˈtaɾ
abortista	aβoɾˈtista
abortistas	aβoɾˈtistas
abortiva	aβoɾˈtiβa
abortivas	aβoɾˈtiβas
abortivo	aβoɾˈtiβo
aborto	aˈβoɾto
abortó	aβoɾˈto
abortos	aˈβoɾtos
abp	aβeˈpe
abra	ˈaβɾa
abraham	aβɾaˈam
abrahim_&_sons	aβɾaˈimansons
abráis	aˈβrais
abram	aˈβɾam
abramos	aˈβɾamos
abrams	aˈβɾam
abran	ˈaβɾan
abranet	aβɾaˈneð
abrantes	aˈβɾantes
abras	ˈaβɾas
abrasoft	aβɾaˈsofð
abraza	aˈβɾaθa
abrazado	aβɾaˈθaðo
abrazan	aˈβɾaθan
abrazar	aβɾaˈθaɾ
abrazarle	aβɾaˈθaɾle
abrazaron	aβɾaˈθaɾon
abrazarse	aβɾaˈθaɾse
abrazo	aˈβɾaθo
abrazó	aβɾaˈθo
abrazos	aˈβɾaθos
abre	ˈaβɾe
abren	ˈaβɾen
abrero	aˈβɾeɾo
abres	ˈaβɾes
abreviación	aβɾeβjaˈθjon
abreviado	aβɾeˈβjaðo
abreviar	aβɾeˈβjaɾ
abreviaste	aβɾeˈβjaste
abreviatura	aβɾeβjaˈtuɾa
abrevié	aβɾeˈβje
abrí	aˈβɾi
abría	aˈβɾia
abrian	ˈaβɾjan
abrían	aˈβɾian
abrid	aˈβɾið
abriendo	aˈβɾjendo
abriéndose	aˈβɾjendose
abriera	aˈβɾjeɾa
abrieran	aˈβɾjeɾan
abrieron	aˈβɾjeɾon
abrigo	aˈβɾiɣo
abrigos	aˈβɾiɣos
abril	aˈβɾil
abril_publicidad	aˈβɾilpuβliθiˈðað
abrimos	aˈβɾimos
abrió	aˈβɾjo
abriol	aˈβɾjol
abrir	aˈβɾiɾ
abrirá	aβɾiˈɾa
abrirán	aβɾiˈɾan
abriría	aβɾiˈɾia
abrirías	aβɾiˈɾias
abrirla	aˈβɾiɾla
abrirle	aˈβɾiɾle
abrirlo	aˈβɾiɾlo
abrirlos	aˈβɾiɾlos
abrirme	aˈβɾiɾme
abrirnos	aˈβɾiɾnos
abrirse	aˈβɾiɾse
abrirte	aˈβɾiɾte
abro	ˈaβɾo
abrochar	aβroˈʧar
abrochó	aβɾoˈʧo
abrucena	aβɾuˈθena
abruma	aˈβɾuma
abrumado	aβɾuˈmaðo
abrumador	aβɾumaˈðoɾ
abrumadora	aβɾumaˈðoɾa
abrumadoramente	aβɾumaˈðoɾaˈmente
abrupta	aˈβɾupta
abruptamente	aˈβɾuptaˈmente
abruptas	aˈβɾuptas
abrupto	aˈβɾupto
absceso	aβsˈθeso
absentismo	aβsenˈtizmo
ábside	ˈaβsiðe
absolución	aβsoluˈθjon
absolut	aβsoˈluð
absoluta	aβsoˈluta
absolutamente	aβsoˈlutaˈmente
absolutas	aβsoˈlutas
absolutismo	aβsoluˈtizmo
absolutista	aβsoluˈtista
absolutistas	aβsoluˈtistas
absoluto	aβsoˈluto
absolutoria	aβsoluˈtoɾja
absolutos	aβsoˈlutos
absolver	aβsolˈβeɾ
absolvió	aβsolˈβjo
absorba	aβˈsoɾβa
absorbe	aβˈsoɾβe
absorben	aβˈsoɾβen
absorbente	aβsoɾˈβente
absorber	aβsoɾˈβeɾ
absorberá	aβsoɾβeˈɾa
absorberán	aβsoɾβeˈɾan
absorbida	aβsoɾˈβiða
absorbidas	aβsoɾˈβiðas
absorbido	aβsoɾˈβiðo
absorbidos	aβsoɾˈβiðos
absorbió	aβsoɾˈβjo
absorción	aβsoɾˈθjon
abstemio	aβsˈtemjo
abstemios	aβsˈtemjos
abstención	aβstenˈθjon
abstenciones	aβstenˈθjones
abstenerme	aβsteˈneɾme
abstenerse	aβsteˈneɾse
abstenga	aβsˈteŋɡa
abstengan	aβsˈteŋɡan
abstenido	aβsteˈniðo
abstienen	aβsˈtjenen
abstinencia	aβstiˈnenθja
abstracción	aβstɾakˈθjon
abstracta	aβsˈtɾakta
abstractas	aβsˈtɾaktas
abstracto	aβsˈtɾakto
abstractos	aβsˈtɾaktos
abstraerse	aβstɾaˈeɾse
abstuvieron	aβstuˈβjeɾon
abstuvo	aβsˈtuβo
absuelto	aβˈswelto
absueltos	aβˈsweltos
absuelve	aβˈswelβe
absurda	aβˈsuɾða
absurdamente	aβˈsuɾðaˈmente
absurdas	aβˈsuɾðas
absurdidad	aβsuɾðiˈðað
absurdo	aβˈsuɾðo
absurdos	aβˈsuɾðos
abtao	aβˈtao
abu_dhabi	aβuˈðaβi
abuado	aˈβwaðo
abubilla	aβuˈβiʎa
abucheado	aβuʧeˈaðo
abucheo	aβuˈʧeo
abucheos	aβuˈʧeos
abuela	aˈβwela
abuelas	aˈβwelas
abuelete	aβweˈlete
abueletes	aβweˈletes
abuelita	aβweˈlita
abuelitas	aβweˈlitas
abuelito	aβweˈlito
abuelitos	aβweˈlitos
abuelo	aˈβwelo
abuelos	aˈβwelos
abuja	aˈβuxa
abulense	aβuˈlense
abuli	aˈβuli
abulia	aˈβulja
abúlico	aˈβuliko
abulleiro	aβuˈʤejɾo
abullon	aˈβuʤon
abultada	aβulˈtaða
abultadas	aβulˈtaðas
abultado	aβulˈtaðo
abunda	aˈβunda
abundaban	aβunˈdaβan
abundan	aˈβundan
abundancia	aβunˈdanθja
abundante	aβunˈdante
abundantes	aβunˈdantes
abundar	aβunˈdaɾ
abundaron	aβunˈdaɾon
abundó	aβunˈdo
abuñol	aβuˈɲol
abur	aˈβuɾ
aburran	aˈβuran
aburre	aˈβure
aburren	aˈβuren
aburres	aˈβures
aburría	aβuˈria
aburrida	aβuˈriða
aburridas	aβuˈriðas
aburrido	aβuˈriðo
aburridos	aβuˈriðos
aburriendo	aβuˈrjendo
aburrimiento	aβuriˈmjento
aburrió	aβuˈrjo
aburrir	aβuˈriɾ
aburrirme	aβuˈriɾme
aburrirse	aβuˈriɾse
aburrís	aβuˈris
aburro	aˈβuro
abusa	aˈβusa
abusado	aβuˈsaðo
abusan	aˈβusan
abusando	aβuˈsando
abusar	aβuˈsaɾ
abuse	aˈβuse
abusen	aˈβusen
abuses	aˈβuses
abusiva	aβuˈsiβa
abusivas	aβuˈsiβas
abusivo	aβuˈsiβo
abusivos	aβuˈsiβos
abuso	aˈβuso
abusó	aβuˈso
abusones	aβuˈsones
abusos	aˈβusos
abuvilla_inversiones	aβuˈβiʎaimbeɾˈsjones
abw	aˈɾuβa
abyecta	aβˈʤekta
abyecto	aβˈʤekto
ac_consulting	aθekonˈsultiŋ
ac_hoteles	aθeoˈteles
acá	aˈka
acaba	aˈkaβa
acababa	akaˈβaβa
acabábamos	akaˈβaβamos
acababan	akaˈβaβan
acabada	akaˈβaða
acabadas	akaˈβaðas
acabado	akaˈβaðo
acabados	akaˈβaðos
acabamos	akaˈβamos
acaban	aˈkaβan
acabando	akaˈβando
acabar	akaˈβaɾ
acabara	akaˈβaɾa
acabará	akaβaˈɾa
acabaran	akaˈβaɾan
acabarán	akaβaˈɾan
acabarás	akaβaˈɾas
acabaré	akaβaˈɾe
acabaréis	akaβaˈɾejs
acabaremos	akaβaˈɾemos
acabaría	akaβaˈɾia
acabaríamos	akaβaˈɾiamos
acabarían	akaβaˈɾian
acabaron	akaˈβaɾon
acabarse	akaˈβaɾse
acabas	aˈkaβas
acabase	akaˈβase
acabe	aˈkaβe
acabé	akaˈβe
acabemos	akaˈβemos
acaben	aˈkaβen
acabes	aˈkaβes
acabo	aˈkaβo
acabó	akaˈβo
acabóse	akaˈβose
acacia	aˈkaθja
acacia_bonomix	aˈkaθjaβonoˈmiɣs
acacia_premium	aˈkaθjaˈpɾemjum
acacias	aˈkaθjas
acacio	aˈkaθjo
academia	akaˈðemja
academia_ar	akaˈðemjaaˈere
academia_de_ciencias	akaˈðemjaðeˈθjenθjas
academia_de_cine	akaˈðemjaðeˈθine
academia_de_la_policia_nacional	akaˈðemjaðelapoˈliθjanaθjoˈnal
academias	akaˈðemjas
académica	akaˈðemika
académicas	akaˈðemikas
academicismo	akaðemiˈθizmo
académico	akaˈðemiko
académicos	akaˈðemikos
academos	akaˈðemos
acaecida	akaeˈθiða
acaecido	akaeˈθiðo
acaecidos	akaeˈθiðos
acaiña	aˈkajɲa
acaiñas	aˈkajɲas
acallar	akaˈʎaɾ
acalorado	akaloˈɾaðo
acam	aˈkam
acamar	akaˈmaɾ
acampa	aˈkampa
acampada	akamˈpaða
acampados	akamˈpaðos
acampan	aˈkampan
acampar	akamˈpaɾ
acampora	akamˈpoɾa
acantilado	akantiˈlaðo
acantilado_de_los_órganos	akantiˈlaðoðelosˈoɾɣanos
acantilados	akantiˈlaðos
acantilados_de_los_gigantes	akantiˈlaðozðelosxiˈɣantes
acantita	akanˈtita
acanto	aˈkanto
acanto_de_inversiones	aˈkantoðeimbeɾˈsjones
acapara	akaˈpaɾa
acaparan	akaˈpaɾan
acaparando	akapaˈɾando
acaparar	akapaˈɾaɾ
acapararon	akapaˈɾaɾon
acaparé	akapaˈɾe
acaparó	akapaˈɾo
acapulco	akaˈpulko
acaraz	akaˈɾaθ
acaricia	akaˈɾiθja
acariciaba	akaɾiˈθjaβa
acarician	akaˈɾiθjan
acariciando	akaɾiˈθjando
acariciar	akaɾiˈθjaɾ
acarició	akaɾiˈθjo
ácaro	ˈakaɾo
acaro_multimedia	aˈkaɾomultiˈmeðja
ácaros	ˈakaɾos
acarrea	akaˈrea
acarrean	akaˈrean
acarrear	akareˈaɾ
acarreará	akareaˈɾa
acarrearía	akareaˈɾia
acarreo	akaˈreo
acaso	aˈkaso
acata	aˈkata
acatamiento	akataˈmjento
acatan	aˈkatan
acatar	akaˈtaɾ
acate	aˈkate
acaten	aˈkaten
acb	aθeˈβe
acceda	akˈθeða
accedan	akˈθeðan
accede	akˈθeðe
acceden	akˈθeðen
acceder	akθeˈðeɾ
accederá	akθeðeˈɾa
accederías	akθeðeˈɾias
accederse	akθeˈðeɾse
accedí	akθeˈði
accedía	akθeˈðia
accedido	akθeˈðiðo
accediendo	akθeˈðjendo
accediera	akθeˈðjeɾa
accedieran	akθeˈðjeɾan
accedieron	akθeˈðjeɾon
accedió	akθeˈðjo
accedo	akˈθeðo
accenture	akθenˈtuɾe
accesibilidad	akθesiβiliˈðað
accesible	akθeˈsiβle
accesibles	akθeˈsiβles
accésit	akˈθesið
acceso	akˈθeso
accesoria	akθeˈsoɾja
accesorio	akθeˈsoɾjo
accesorios	akθeˈsoɾjos
accesos	akˈθesos
access_mode	ˈaksezmowð
accidentada	akθiðenˈtaða
accidentado	akθiðenˈtaðo
accidentados	akθiðenˈtaðos
accidental	akθiðenˈtal
accidentalmente	akθiðenˈtalˈmente
accidente	akθiˈðente
accidentes	akθiˈðentes
acción	akˈθjon
acción_contra_el_hambre	akˈθjoŋkontɾaelˈambɾe
acción_sindical_de_ugt	akˈθjonsindiˈkaldeuxeˈte
acción_social	akˈθjonsoˈθjal
